# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
19,0.333333351,-24.689064026,-19.391775131,+10.442335129,-2.603033066,-0.854694724,+0.474737644,-0.055757906,-0.123762161,+61.406089783,+61.406089783,+253.551666260,+2.457901478,+0.426396132,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
20,0.350000018,-24.444765091,-19.332954407,+10.399215698,-2.557276726,-0.851512551,+0.464455605,-0.055455852,-0.116958305,+65.355163574,+65.355163574,+259.550598145,+1.502209663,+0.425586462,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
21,0.366666686,-24.248271942,-19.328105927,+10.375288963,-2.534846306,-0.871339619,+0.459317207,-0.054826934,-0.105171062,+56.073001862,+65.955062866,+134.756256104,+1.978064299,+0.436450571,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
22,0.383333353,-24.323276520,-19.363746643,+10.362126350,-2.516684055,-0.891539335,+0.455443382,-0.054236904,-0.102887124,+48.376491547,+53.475624084,+83.488822937,+2.745598078,+0.450476229,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
23,0.400000021,-24.148180008,-19.436975479,+10.334511757,-2.471588135,-0.896620333,+0.446080208,-0.053791333,-0.105358779,+48.348884583,+48.348884583,+71.673568726,+2.566372871,+0.443101436,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
24,0.416666688,-24.206289291,-19.559906006,+10.289722443,-2.417329073,-0.891564250,+0.434384823,-0.054064319,-0.127082005,+47.167358398,+47.167358398,+112.148910522,+2.317037821,+0.403781682,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
25,0.433333356,-24.644546509,-19.759279251,+10.242177010,-2.397894382,-0.880863309,+0.428897381,-0.055114076,-0.157772526,+51.214889526,+51.214889526,+188.054519653,+2.213118076,+0.372066140,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
26,0.450000023,-25.310569763,-20.081996918,+10.204587936,-2.372913361,-0.872464299,+0.422866344,-0.056084018,-0.136566550,+58.805450439,+58.805450439,+332.424346924,+2.170756102,+0.390263528,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
27,0.466666691,-26.071590424,-20.442703247,+10.181097031,-2.367883205,-0.871453106,+0.420997620,-0.058049403,-0.187520757,+73.242431641,+73.242431641,+338.704650879,+2.206614017,+0.347356170,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
28,0.483333359,-26.910295486,-20.917463303,+10.163357735,-2.350620508,-0.868738353,+0.417196751,-0.059914477,-0.181805164,+73.870468140,+73.870468140,+378.620483398,+2.278244734,+0.382768869,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
