# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
19,0.333333351,+18.605056763,+18.588739395,+8.817976952,-10.878408432,+0.682497680,+1.694628835,+0.049511265,-0.303443491,+84.865837097,+84.865837097,+103.285247803,+0.368520111,-0.342749953,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,8,15
20,0.350000018,+17.749826431,+17.581388474,+8.759409904,-10.812861443,+0.546152771,+1.672984958,+0.048874650,-0.046912014,+50.328521729,+50.328525543,+53.575378418,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
21,0.366666686,+17.535583496,+16.690469742,+8.735483170,-10.636830330,+0.476536810,+1.640613794,+0.044998817,-0.271820217,+45.357536316,+45.357536316,+171.392501831,+0.000000000,-0.723499417,+0.000000000,+0.292171210,+0.000000000,-0.107417189,+0.000000000,-0.002385315,3,13
22,0.383333353,+17.263208389,+15.285139084,+8.688882828,-10.952901840,+0.615422964,+1.681536913,+0.043798294,+0.080622688,+4.371528149,+57.139251709,+174.613464355,-0.892683089,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,15
23,0.400000021,+16.397499084,+14.175066948,+8.639529228,-11.757334709,+0.603806555,+1.798178673,+0.042202942,-0.225893229,+57.461349487,+57.461349487,+244.699264526,-0.115994647,-0.096571751,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,6,14
24,0.416666688,+15.117885590,+13.741097450,+8.546398163,-11.063874245,+0.566897333,+1.671141386,+0.036159627,-0.335134894,+64.469924927,+64.469924927,+525.204833984,-0.166719601,+0.220366538,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,7,14
25,0.433333356,+13.540322304,+12.898035049,+8.460272789,-10.771528244,+0.555387437,+1.609526634,+0.037256613,+0.163539767,-92.520484924,+92.520484924,+181.297485352,+0.189352006,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
26,0.450000023,+12.382618904,+11.997399330,+8.422989845,-12.250486374,+0.530796289,+1.828885317,+0.036235414,-0.171473548,+58.129749298,+58.129749298,+94.786056519,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
27,0.466666691,+11.595061302,+11.719889641,+8.399500847,-12.210140228,+0.642311513,+1.817592621,+0.028329652,-0.177723393,+49.478607178,+49.478607178,+598.937316895,+0.000000000,+0.762777746,+0.000000000,+0.376567960,+0.000000000,-0.117570214,+0.000000000,-0.004120401,6,13
28,0.483333359,+11.023207664,+10.889481544,+8.363137245,-11.816825867,+0.660131633,+1.749713659,+0.029530901,+0.165134057,-99.893737793,+99.893737793,+474.622497559,-1.032712817,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,13
29,0.500000026,+10.265769958,+9.944098473,+8.349046707,-12.539635658,+0.510093451,+1.856999636,+0.028902076,-0.118880160,+87.462242126,+87.462249756,+108.801742554,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
30,0.516666694,+9.252820969,+9.579772949,+8.313941956,-12.828565598,+0.578305721,+1.893240690,+0.024153963,-0.216739535,+50.880172729,+50.880172729,+414.326965332,+0.000000000,+0.383469433,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,14
31,0.533333361,+8.196641922,+8.828736305,+8.261245728,-13.203185081,+0.637353539,+1.938142300,+0.024619251,+0.037487444,-81.432693481,+81.432693481,+384.231384277,-0.440583944,+0.000000000,+0.496464580,+0.000000000,+0.148687050,+0.000000000,+0.006051435,+0.000000000,4,13
32,0.550000029,+7.680744648,+8.139015198,+8.219104767,-13.438846588,+0.481037825,+1.963956833,+0.022955209,-0.109459363,+78.423133850,+78.423141479,+224.747833252,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
33,0.566666696,+7.278140068,+7.959459782,+8.171972275,-14.002791405,+0.550553977,+2.037924528,+0.020587936,-0.325678110,+62.474781036,+62.474784851,+131.504394531,+0.000000000,+0.066405833,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,12
34,0.583333364,+6.846110821,+7.489149094,+8.147158623,-14.294729233,+0.612125695,+2.075886726,+0.020338792,+0.055227622,-53.150440216,+53.150440216,+232.255187988,-0.415248334,+0.018677667,+0.514384687,+0.000000000,-0.162390053,+0.000000000,+0.003781089,+0.000000000,4,13
35,0.600000031,+6.625470638,+7.178748608,+8.116596222,-13.635742188,+0.421650320,+1.968971968,+0.016496330,-0.103056163,+63.225513458,+63.225517273,+243.961212158,-0.049477994,+0.455882996,+0.000000000,+0.067135558,+0.000000000,-0.029614879,+0.000000000,-0.000875953,6,15
36,0.616666699,+6.182247639,+6.490507603,+8.062951088,-14.135228157,+0.512048721,+2.030544519,+0.017748469,+0.146896258,-64.396118164,+64.396118164,+178.300262451,-0.002825433,+0.000000000,+0.084141694,+0.000000000,-0.025328040,+0.000000000,+0.000804130,+0.000000000,1,14
37,0.633333366,+5.804668427,+5.704008102,+8.029456139,-14.743473053,+0.521196723,+2.113001347,+0.016239380,-0.086475916,+57.830024719,+57.830024719,+427.712463379,-0.449516416,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,14
38,0.650000034,+5.237991333,+5.605802536,+7.983533382,-14.259487152,+0.440977544,+2.028966427,+0.011201067,-0.406988770,+82.771247864,+82.771247864,+530.059692383,-0.033011854,+0.615986705,+0.000000000,+0.133117676,+0.000000000,-0.119017594,+0.000000000,-0.003866969,7,14
39,0.666666701,+4.390719414,+4.776639938,+7.908475399,-14.233778954,+0.594630897,+2.006113768,+0.011945707,+0.229983196,-93.005966187,+93.005966187,+391.490600586,-0.351782203,+0.009192944,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,15
40,0.683333369,+3.822798729,+4.001327991,+7.879754066,-15.416116714,+0.505439460,+2.172831059,+0.011238136,-0.267461956,+79.149063110,+79.149063110,+67.777351379,+0.000000000,-0.129987359,+0.000000000,+0.072420307,+0.000000000,+0.044745207,+0.000000000,-0.001187076,2,14
41,0.700000037,+3.430459738,+3.340291023,+7.863751411,-14.753053665,+0.410888761,+2.070801497,+0.008203175,+0.015692621,-46.777736664,+46.777736664,+30.480051041,-0.008429809,+0.000000000,+0.010196987,+0.000000000,-0.003687584,+0.000000000,+0.000077069,+0.000000000,1,13
42,0.716666704,+3.547194958,+2.904184580,+7.841995716,-14.709228516,+0.499924809,+2.058659077,+0.008375909,-0.038729962,+43.048004150,+43.048004150,+431.229614258,-0.527264118,-0.016731083,+0.000000000,-0.102917746,+0.000000000,+0.127008140,+0.000000000,-0.004514119,5,13
43,0.733333372,+3.030140400,+2.684569359,+7.798563957,-14.761611938,+0.546237886,+2.054880857,+0.004782810,-0.008254382,-28.495201111,+83.122962952,+519.143188477,+0.124867946,+1.132149816,+0.028823106,+0.051578142,-0.010007819,-0.034447026,+0.000370266,-0.000954635,9,14
44,0.750000039,+2.048325062,+1.745745063,+7.733042240,-15.264518738,+0.474778980,+2.110374928,+0.005103046,+0.005146087,-120.744972229,+128.680053711,+25.396045685,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,15
45,0.766666707,+1.431019425,+0.844124973,+7.695224762,-15.892167091,+0.458127171,+2.190905333,+0.003171960,-0.138698176,+59.555446625,+59.555446625,+74.619636536,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,12
46,0.783333374,+0.818687439,+0.351070583,+7.660448074,-15.394787788,+0.542664707,+2.109289169,-0.003448624,-0.125579283,+47.461963654,+47.461963654,+525.898559570,-0.226897761,+1.497390270,+0.000000000,+0.020465165,+0.000000000,-0.008989292,+0.000000000,-0.000241603,7,14
47,0.800000042,-0.358084261,-0.657563388,+7.622461319,-15.889574051,+0.530311167,+2.169815779,-0.001203081,+0.069833308,-92.589859009,+92.589859009,+86.908264160,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
48,0.816666709,-1.138508320,-1.374619722,+7.584950447,-15.879996300,+0.353791893,+2.157767296,-0.003966490,-0.149693698,+48.690826416,+48.690826416,+156.617797852,-0.008648448,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,14
49,0.833333377,-1.764577031,-1.546647429,+7.529881954,-15.232086182,+0.490610093,+2.050352335,-0.009882791,-0.145338237,+55.661781311,+55.661781311,+233.496673584,-0.222670943,+1.124240398,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,6,13
50,0.850000044,-2.983781099,-2.250220537,+7.463155270,-15.906596184,+0.486910850,+2.126864672,-0.006924342,+0.074619256,-63.349666595,+63.349670410,+260.838531494,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
51,0.866666712,-3.592535973,-2.782951117,+7.421965122,-16.087814331,+0.363663524,+2.140530586,-0.010667421,-0.440619409,+66.083854675,+66.083854675,+207.716140747,+0.035068624,+0.192290932,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,13
52,0.883333379,-4.117870331,-3.440979481,+7.397305965,-15.556151390,+0.451411903,+2.059263706,-0.012834047,+0.106729962,-60.771614075,+60.771614075,+319.564697266,-0.140250251,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
