# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
19,0.333333351,-13.745683670,-13.604591370,+8.628476143,+12.605390549,-0.495701224,-1.929545403,-0.038002625,+0.257416159,-55.252155304,+55.252155304,+87.303787231,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
20,0.350000018,-12.846450806,-12.522762299,+8.580729485,+12.691001892,-0.487618566,-1.932335138,-0.034028675,+0.163889706,-48.730377197,+48.730377197,+91.042785645,+0.286653638,+0.000000000,-0.112591043,+0.000000000,-0.092380553,+0.000000000,+0.002230174,+0.000000000,3,14
21,0.366666686,-11.706885338,-11.729026794,+8.539840698,+12.925617218,-0.590414584,-1.959903717,-0.030852489,+0.029182993,+49.104278564,+49.104278564,+99.875297546,+0.000000000,+0.861096859,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,6,15
22,0.383333353,-10.471801758,-10.510661125,+8.495345116,+13.221074104,-0.436528414,-1.995862246,-0.029547663,+0.195784211,-49.987529755,+49.987529755,+164.986968994,+0.034722880,+0.002516519,-0.101161540,+0.000000000,-0.144993305,+0.000000000,+0.003458991,+0.000000000,3,15
23,0.400000021,-9.879583359,-9.273444176,+8.436105728,+13.025215149,-0.535019159,-1.951539516,-0.023618888,+0.284180433,-56.498695374,+56.498695374,+233.104309082,-0.399046779,+0.143182263,-0.321247846,+0.000000000,+0.126123682,+0.000000000,+0.003191275,+0.000000000,6,14
24,0.416666688,-8.492465973,-7.985784054,+8.368860245,+13.442099571,-0.616863549,-2.000243187,-0.021131169,+0.041434862,+63.310428619,+63.310432434,+218.189849854,+0.000000000,+0.185617238,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,14
25,0.433333356,-6.883306980,-6.582536221,+8.313007355,+13.897496223,-0.425420046,-2.056875944,-0.019875837,+0.181481048,-61.818984985,+61.818984985,+87.868743896,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,14
26,0.450000023,-6.458592415,-5.379639626,+8.277082443,+13.641522408,-0.520280421,-2.008787632,-0.015127687,+0.175875157,-48.786872864,+48.786872864,+383.007385254,-1.043206096,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,5,13
27,0.466666691,-5.522068501,-4.762521267,+8.238470078,+13.832821846,-0.640696764,-2.028567314,-0.010958476,+0.050957311,-73.989799500,+78.300735474,+482.778594971,+0.000000000,+0.380544305,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
28,0.483333359,-4.040759563,-3.674724340,+8.208179474,+14.693265915,-0.545745909,-2.152344465,-0.011572958,+0.105510399,-88.277862549,+88.277862549,+62.351890564,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
29,0.500000026,-3.327649117,-2.432024956,+8.173414230,+14.696469307,-0.617700160,-2.143716812,-0.005885450,+0.227744639,-46.235187531,+46.235187531,+430.076904297,-1.088463187,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,13
30,0.516666694,-2.143269300,-1.692094564,+8.109642029,+14.457879066,-0.536622822,-2.090936899,-0.001873299,+0.318462342,-83.007690430,+83.007690430,+363.378692627,+0.000000000,+0.322441489,+0.000000000,-0.171256915,+0.000000000,-0.055631548,+0.000000000,-0.002169091,2,14
31,0.533333361,-0.835934281,-0.837956846,+8.071287155,+15.226507187,-0.507400334,-2.196930647,-0.002716376,+0.024732435,-15.276316643,+76.337875366,+73.187576294,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,15
32,0.550000029,-0.268499136,-0.146914020,+8.062248230,+15.626379013,-0.491000980,-2.255022049,-0.000998204,+0.113424174,-47.318756104,+47.318756104,+53.692607880,-0.195521057,+0.000000000,+0.027549531,+0.000000000,-0.005617619,+0.000000000,+0.002203805,+0.000000000,2,12
33,0.566666696,-0.041005094,+0.497085124,+8.020426750,+15.521491051,-0.501605868,-2.227501154,+0.001212765,+0.059711166,-45.369262695,+45.369262695,+100.530715942,+0.000000000,-0.084421411,+0.000000000,-0.005202969,+0.000000000,+0.001306719,+0.000000000,-0.000043288,1,13
34,0.583333364,+0.172639832,+0.991202354,+7.962362289,+16.008180618,-0.470192492,-2.284401178,+0.001799447,+0.145324871,-50.053070068,+50.053070068,+40.266334534,-0.387443453,+0.000000000,+0.027389400,+0.000000000,+0.022605831,+0.000000000,+0.000761309,+0.000000000,5,14
35,0.600000031,+0.634487033,+1.347341299,+7.921938896,+16.104610443,-0.474877030,-2.287240744,+0.003902323,+0.066230103,-44.026634216,+44.026634216,+199.062225342,+0.000000000,-0.001897880,+0.000000000,-0.191212997,+0.000000000,+0.044028543,+0.000000000,-0.001437684,1,13
36,0.616666699,+1.403063416,+1.765597343,+7.887505531,+16.578418732,-0.497342944,-2.348133087,+0.005158867,+0.027819928,+59.906223297,+59.906223297,+304.332702637,-0.114419252,+0.359893560,+0.009822426,+0.000000000,-0.008130393,+0.000000000,+0.000209984,+0.000000000,3,15
37,0.633333366,+2.164247036,+2.350186825,+7.867259979,+16.507490158,-0.487624615,-2.331507683,+0.008171579,+0.079507068,-70.433273315,+70.433273315,+264.109344482,+0.000000000,+0.272290111,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
38,0.650000034,+2.853915930,+2.917056561,+7.844829559,+16.775445938,-0.508520305,-2.364825964,+0.009506742,+0.038189195,+59.752445221,+66.410934448,+163.156250000,-0.174993694,+0.174359575,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,4,14
39,0.666666701,+3.619621038,+3.548026562,+7.808553696,+16.849266052,-0.582465768,-2.364869595,+0.014177432,+0.136465713,-56.315628052,+56.315628052,+59.214569092,-1.802418828,+0.354820430,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,5,16
40,0.683333369,+5.069687366,+4.279246330,+7.741417885,+16.207487106,-0.407990545,-2.250186920,+0.016725227,+0.006841097,+45.921455383,+45.921455383,+101.324401855,+0.000000000,+0.250356734,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
41,0.700000037,+6.459396839,+4.770252705,+7.682712555,+16.530826569,-0.413176268,-2.280220032,+0.018322047,-0.018823335,-70.185409546,+70.185409546,+130.053604126,-0.262933791,+0.270404100,+0.058354262,+0.000000000,-0.064744122,+0.000000000,+0.001054241,+0.000000000,3,14
