# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
19,0.333333351,+13.200527191,+15.781863213,+10.646619797,+2.475349426,+0.871257126,-0.460252285,+0.035601228,+0.072103210,+48.606243134,+48.606243134,+111.849456787,-0.448972583,-0.451795638,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
20,0.350000018,+12.222018242,+14.418108940,+10.643506050,+2.352560043,+0.887027204,-0.437267303,+0.032146774,+0.056745898,+51.184940338,+51.184944153,+140.602569580,-0.487127066,-0.971756220,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
21,0.366666686,+11.153620720,+12.986889839,+10.636341095,+2.237206936,+0.901252985,-0.415524483,+0.028671350,+0.108595282,+54.060256958,+54.060256958,+178.196502686,-0.470179141,-0.712610841,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
22,0.383333353,+10.065451622,+11.835264206,+10.610725403,+2.168668032,+0.908821762,-0.401812077,+0.026006971,+0.185401499,+57.819644928,+57.819648743,+175.439300537,-0.421968967,-0.141756147,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
23,0.400000021,+9.013845444,+11.103009224,+10.579025269,+2.122816086,+0.909035027,-0.392133713,+0.023613729,+0.192819223,+57.543930054,+57.543930054,+167.703903198,-0.372628599,+0.073393464,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
24,0.416666688,+8.021460533,+10.433843613,+10.557228088,+2.016449451,+0.895806968,-0.371701241,+0.021648096,+0.181706190,+56.770389557,+56.770393372,+119.280014038,-0.371507883,+0.142663121,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
25,0.433333356,+7.093460083,+9.685084343,+10.550849915,+1.866416574,+0.875876248,-0.343816757,+0.019768219,+0.176287189,+51.928001404,+51.928001404,+108.434326172,-0.366449207,+0.327917725,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
26,0.450000023,+6.303531647,+8.941914558,+10.552432060,+1.677544713,+0.854266346,-0.309049606,+0.018132675,+0.177527606,+50.843433380,+50.843433380,+121.724464417,-0.432193935,+0.517991781,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
27,0.466666691,+5.715078831,+8.313810349,+10.555618286,+1.505294800,+0.829757869,-0.277384758,+0.016803320,+0.186783582,+50.727832794,+52.172447205,+126.868568420,-0.494784534,+0.699886978,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
28,0.483333359,+5.364897728,+7.850389957,+10.556715965,+1.354264140,+0.797706664,-0.249568939,+0.016069803,+0.193359077,+23.386005402,+52.686859131,+125.349555969,-0.538647890,+0.807559013,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
29,0.500000026,+5.250729561,+7.548865318,+10.555186272,+1.219907165,+0.759959579,-0.224768639,+0.015792618,+0.194411069,+4.261525631,+52.534957886,+106.854957581,-0.572614014,+0.898762882,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
30,0.516666694,+5.333694458,+7.378468513,+10.551956177,+1.104442358,+0.720132113,-0.203426361,+0.015845111,+0.193063810,-12.864384651,+50.685497284,+103.743354797,-0.606648564,+0.944115996,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
31,0.533333361,+5.555410385,+7.299166679,+10.547964096,+1.014868021,+0.680595994,-0.186853409,+0.016091503,+0.190559760,-24.168088913,+50.374336243,+108.086730957,-0.639826715,+0.972270727,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
32,0.550000029,+5.851362705,+7.276195049,+10.543390274,+0.956814706,+0.643417478,-0.176086426,+0.016435914,+0.188351572,-31.233535767,+50.808673859,+114.880630493,-0.669149041,+0.986788273,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
33,0.566666696,+6.161369324,+7.289317608,+10.538966179,+0.958574295,+0.606207013,-0.176336288,+0.016646467,+0.180792153,-28.931989670,+51.488063812,+126.321876526,-0.686924279,+0.995017409,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
34,0.583333364,+6.426045895,+7.311234951,+10.533365250,+0.857995093,+0.603912055,-0.157747269,+0.017105028,+0.187132478,-49.481540680,+52.632186890,+132.173492432,-0.710713148,+0.967847347,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
35,0.600000031,+6.623355389,+7.278288364,+10.519280434,+0.822084427,+0.555578828,-0.150941849,+0.016805707,+0.117333293,-4.768377304,+53.217350006,+86.909553528,-0.767462254,+1.096521139,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
36,0.616666699,+6.704605103,+7.014384270,+10.510044098,+0.895934761,+0.513528526,-0.164359093,+0.016497307,+0.124970943,+4.426795959,+48.690956116,+126.953689575,-0.709441841,+1.132096291,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
37,0.633333366,+6.670235634,+6.936958790,+10.504800797,+1.024985909,+0.490326136,-0.187944412,+0.015842695,+0.154870808,-39.248355865,+52.695369720,+208.810394287,-0.698035240,+0.872737706,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
38,0.650000034,+6.519183636,+7.029779434,+10.495858192,+1.240751624,+0.479530245,-0.227325439,+0.015780421,+0.200960368,-60.881042480,+60.881042480,+177.327987671,-0.686601520,+1.021416426,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
39,0.666666701,+6.297059536,+7.201828957,+10.482709885,+1.467737913,+0.465098411,-0.268592834,+0.015928928,+0.200938925,-57.732799530,+57.732799530,+154.507446289,-0.644407928,+0.960803270,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
40,0.683333369,+6.034914970,+7.297522068,+10.469884872,+1.678592801,+0.450914204,-0.306823730,+0.015726870,+0.181406662,-50.879501343,+55.450744629,+135.557922363,-0.620190442,+0.852556586,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
41,0.700000037,+5.755293369,+7.227496624,+10.459821701,+1.870640159,+0.440452933,-0.341622353,+0.015244195,+0.168613076,-37.686649323,+53.555793762,+123.595191956,-0.628395319,+0.788035989,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
42,0.716666704,+5.475466728,+7.000544071,+10.451580048,+2.034554243,+0.432314545,-0.371288300,+0.014587482,+0.158124268,-28.302181244,+52.359519958,+120.224510193,-0.657321513,+0.775748491,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
43,0.733333372,+5.188901901,+6.684792042,+10.442764282,+2.172847509,+0.426458329,-0.396214485,+0.013950070,+0.148489624,-4.738136292,+52.022453308,+108.940658569,-0.767987013,+0.786739409,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
44,0.750000039,+4.871759892,+6.321434498,+10.432044983,+2.272313595,+0.418976814,-0.413945198,+0.013215368,+0.145859867,-7.670959949,+50.894065857,+106.382598877,-0.698990345,+0.805167794,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
45,0.766666707,+4.592204094,+5.980270863,+10.419527054,+2.310554504,+0.410412252,-0.420413971,+0.012629440,+0.141292885,-15.214504242,+50.638259888,+100.071594238,-0.767819047,+0.821394026,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
46,0.783333374,+4.380209446,+5.684160233,+10.407713890,+2.350964546,+0.398682445,-0.427289963,+0.012132618,+0.136602342,-19.911931992,+50.007160187,+93.024391174,-0.765333712,+0.874429703,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
47,0.800000042,+4.246300697,+5.442316532,+10.398057938,+2.361555099,+0.387952328,-0.428818703,+0.011881491,+0.132027060,-32.305683136,+49.302440643,+87.744171143,-0.781033814,+0.889307261,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
