# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.400000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,+14.579138756,+15.261681557,+12.810035706,-0.324118763,+0.624098599,+0.072466373,+0.034283917,+0.399375349,-55.560630798,+55.560630798,+373.836059570,-0.303538352,+0.222412586,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,+14.248667717,+15.872855186,+12.828323364,-0.159575343,+0.615528703,+0.035728455,+0.035135187,+0.453032523,-77.383605957,+77.383605957,+259.904113770,-0.404637605,-0.113784358,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,+13.815173149,+16.297880173,+12.806701660,-0.134554461,+0.612671018,+0.030075550,+0.035883628,+0.431825280,-65.990402222,+65.990409851,+201.615829468,-0.144275129,-0.121324033,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,+13.497396469,+16.738206863,+12.768750191,-0.019980121,+0.596743047,+0.004452705,+0.035866488,+0.435676455,-60.161579132,+60.161582947,+164.381072998,-0.330827802,-0.322171509,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,+13.200870514,+17.129100800,+12.743957520,+0.139264435,+0.589116693,-0.030975819,+0.036133591,+0.460118920,-56.438110352,+56.438110352,+270.758422852,-0.437745929,-0.490686297,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,+12.828142166,+17.399597168,+12.731542587,+0.239709720,+0.581655025,-0.053265572,+0.036420833,+0.441333979,-67.075843811,+67.075843811,+350.120208740,-0.326179266,-0.587639928,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,+12.422101021,+17.528385162,+12.719951630,+0.324397355,+0.578705788,-0.072018623,+0.036334455,+0.416512519,-75.012023926,+75.012023926,+417.215698242,-0.344534993,-0.672812939,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,+12.036128998,+17.502904892,+12.704460144,+0.414079487,+0.581241071,-0.091817379,+0.035998672,+0.396475822,-81.721572876,+81.721572876,+457.413116455,-0.360259652,-0.728658915,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,+11.699222565,+17.299728394,+12.677707672,+0.491637111,+0.575055897,-0.108786106,+0.035063244,+0.307488084,-85.741317749,+85.741317749,+441.187835693,-0.364961386,-0.647972703,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,+11.334930420,+16.237955093,+12.654743195,+0.527244329,+0.600774705,-0.116454124,+0.033022795,+0.196707770,-84.118789673,+84.118789673,+281.038452148,-0.397384048,-0.205808967,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,+10.782734871,+15.114055634,+12.667770386,+0.502822816,+0.633853793,-0.111174107,+0.030614102,+0.187132806,-68.103843689,+68.103843689,+185.528182983,-0.472827673,-0.632258713,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,+10.019341469,+13.621232033,+12.674642563,+0.473413616,+0.654380023,-0.104728222,+0.027771603,+0.242025733,-58.552818298,+58.552818298,+166.500640869,-0.494189292,-0.588745892,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
12,0.216666678,+9.096136093,+12.147470474,+12.648502350,+0.513724744,+0.662711084,-0.113411903,+0.024859814,+0.290952176,-56.650058746,+56.650062561,+148.151733398,-0.432921827,-0.245183513,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
13,0.233333346,+8.092704773,+10.982277870,+12.601169586,+0.570116699,+0.667986751,-0.125391006,+0.021892313,+0.251058698,-54.815170288,+54.815174103,+137.212768555,-0.389265537,-0.091393664,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
14,0.250000013,+7.002608299,+9.829058647,+12.562249184,+0.619937181,+0.675858140,-0.135928154,+0.018833045,+0.213320836,-23.714717865,+53.721275330,+141.997772217,-0.324321210,-0.022186771,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
15,0.266666681,+5.873950958,+8.499271393,+12.540632248,+0.595140159,+0.686180711,-0.130266190,+0.015630981,+0.189637184,+47.618679047,+54.199775696,+130.617019653,-0.344748139,+0.163387835,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
16,0.283333348,+4.765959740,+7.105997562,+12.532169342,+0.525861263,+0.691191971,-0.115023613,+0.012413464,+0.168603167,+53.061702728,+53.061702728,+143.007812500,-0.366888106,+0.406391561,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
17,0.300000016,+3.777419329,+5.832379341,+12.528681755,+0.438499749,+0.690025568,-0.095887184,+0.009521127,+0.168247446,+54.300781250,+54.300781250,+156.770507812,-0.404552162,+0.629259646,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
18,0.316666683,+2.977594852,+4.776107311,+12.524929047,+0.330006748,+0.678671479,-0.072140694,+0.007424683,+0.183753103,+55.677051544,+55.677051544,+149.178680420,-0.437704176,+0.811265647,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
