# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,-34.296104431,-31.081008911,+11.305737495,+0.284830272,-0.602119327,-0.056203842,-0.080208428,-0.046420306,+116.442253113,+116.442253113,+262.585876465,+1.285639048,+0.447923094,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,-34.797500610,-30.771793365,+11.329584122,+0.040493105,-0.584726453,-0.008007050,-0.079048403,-0.045457732,+66.258590698,+66.258590698,+357.729736328,+1.771172285,+0.514418900,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,-35.205623627,-30.374389648,+11.295814514,-0.100957267,-0.560702145,+0.019903660,-0.079015173,-0.086510614,+75.772979736,+75.772979736,+463.532836914,+1.599968433,+0.469655663,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,-36.111553192,-29.963075638,+11.227584839,-0.379299313,-0.522068501,+0.074327946,-0.079816900,-0.143212616,+86.353286743,+86.353286743,+620.456909180,+1.709302664,+0.492710620,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,-37.094497681,-29.555192947,+11.166841507,-0.677685380,-0.486728549,+0.132085800,-0.081157811,-0.126130804,+102.045692444,+102.045692444,+794.078979492,+1.765595078,+0.392664433,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,-37.916099548,-29.212167740,+11.126710892,-0.982675910,-0.472357631,+0.190852165,-0.081613153,-0.082651161,+119.407897949,+119.407897949,+807.902160645,+1.823081970,+0.394906223,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,-38.306377411,-28.977973938,+11.100851059,-1.311967134,-0.473488063,+0.254233360,-0.081858799,-0.084415667,+120.790206909,+120.790214539,+806.429199219,+1.908770323,+0.423365563,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,-38.350910187,-28.863513947,+11.074628830,-1.640997648,-0.481273025,+0.317273140,-0.081866302,-0.085141733,+120.642921448,+120.642921448,+757.132873535,+1.977475762,+0.441597819,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,-38.129161835,-28.853357315,+11.035895348,-1.949983478,-0.489293277,+0.375736713,-0.081791624,-0.088271208,+115.713287354,+115.713287354,+698.129882812,+1.992948771,+0.448584497,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,-37.768657684,-28.911602020,+10.982778549,-2.230021238,-0.495510161,+0.427679062,-0.081723362,-0.094478317,+109.812988281,+109.812988281,+642.544799805,+1.987030983,+0.438985109,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,-37.371841431,-29.004322052,+10.921947479,-2.452865124,-0.507668078,+0.467860699,-0.081717283,-0.102709308,+104.254478455,+104.254478455,+598.296142578,+1.990094662,+0.421455204,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,-36.983951569,-29.117433548,+10.859680176,-2.673598289,-0.514038920,+0.507114410,-0.081733868,-0.124914028,+99.829620361,+99.829620361,+571.543151855,+2.014482737,+0.405066907,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
12,0.216666678,-36.663768768,-29.259544373,+10.800851822,-2.854319811,-0.528823316,+0.538514614,-0.081791207,-0.153192952,+97.154312134,+97.154312134,+545.176757812,+2.052806854,+0.392623901,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
