# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.500000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
19,0.333333351,+33.140972137,+37.087257385,+11.876585960,+1.118104219,+0.635003448,-0.231796265,+0.083612680,+0.280918777,-68.187271118,+68.187271118,+257.109039307,-0.493041635,-1.301189899,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
20,0.350000018,+34.179355621,+37.221866608,+11.826221466,+1.161364913,+0.653177261,-0.239746094,+0.083540395,+0.280838013,-65.710906982,+65.710906982,+200.744308472,-0.485460877,-1.645493984,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
21,0.366666686,+35.069252014,+37.484409332,+11.773132324,+1.217000604,+0.673247695,-0.250106812,+0.084214032,+0.282263637,-60.074432373,+60.074432373,+305.007110596,-0.513028443,-1.927225351,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
22,0.383333353,+35.775890350,+37.551719666,+11.725367546,+1.254287362,+0.693815470,-0.256726265,+0.084342435,+0.232028678,-70.500709534,+70.500709534,+327.730926514,-0.562939227,-2.164496183,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
23,0.400000021,+36.244010925,+37.371860504,+11.682053566,+1.283232927,+0.713758111,-0.261682510,+0.084220216,+0.194207281,-72.773094177,+72.773094177,+347.343994141,-0.568349779,-2.386822939,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
24,0.416666688,+36.493808746,+36.983066559,+11.633354187,+1.293785691,+0.728451848,-0.262735367,+0.083933532,+0.174068376,-74.734405518,+74.734405518,+342.522735596,-0.604254782,-2.519450426,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
25,0.433333356,+36.523441315,+36.522857666,+11.576055527,+1.236255169,+0.757745385,-0.249812126,+0.083745077,+0.180323794,-74.252273560,+74.252273560,+334.349395752,-0.626638651,-2.539465189,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
26,0.450000023,+36.334133148,+35.684696198,+11.507298470,+1.180162549,+0.762650132,-0.237057686,+0.083276764,+0.142562196,-73.434936523,+73.434936523,+299.684661865,-0.650355577,-2.137723446,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
27,0.466666691,+35.945072174,+34.433422089,+11.441894531,+1.164170027,+0.771392226,-0.232515335,+0.082250334,+0.133341163,-69.968467712,+69.968467712,+252.274765015,-0.660997212,-1.575467110,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
28,0.483333359,+35.393352509,+34.734531403,+11.399318695,+1.167487144,+0.772992373,-0.232310295,+0.082063079,+0.150988087,-65.227478027,+65.227478027,+197.481307983,-0.672840893,-1.748774886,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
29,0.500000026,+34.766635895,+35.051399231,+11.344205856,+1.191737056,+0.761183560,-0.235990524,+0.082291387,+0.187530667,-59.748130798,+59.748130798,+137.140747070,-0.711330473,-1.434973478,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
30,0.516666694,+33.978729248,+35.847434998,+11.269911766,+1.301364779,+0.761858046,-0.256018639,+0.082340106,+0.278190494,-53.714073181,+53.714073181,+137.494201660,-0.667907238,-1.208731055,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
31,0.533333361,+33.083076477,+37.022953033,+11.189975739,+1.367943883,+0.752029181,-0.267212868,+0.082558095,+0.237170279,-53.749420166,+53.749420166,+220.565765381,-0.474927306,-1.117400408,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
32,0.550000029,+32.168460846,+37.881912231,+11.128705025,+1.504576921,+0.754708171,-0.292304993,+0.082534522,+0.228718966,-62.056579590,+62.056579590,+359.622741699,-0.476633042,-1.142070651,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
33,0.566666696,+31.323453903,+38.392398834,+11.082901001,+1.578371525,+0.773211718,-0.305386543,+0.082435384,+0.206391171,-75.962280273,+75.962280273,+446.694335938,-0.458791792,-1.232190013,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
34,0.583333364,+30.658046722,+38.592639923,+11.042516708,+1.671036601,+0.779929578,-0.322147369,+0.082305983,+0.200473383,-84.669425964,+84.669433594,+520.076232910,-0.438870966,-1.324113488,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
35,0.600000031,+30.237792969,+38.573352814,+10.995330811,+1.712095976,+0.788821459,-0.328657150,+0.082271002,+0.205962390,-92.007629395,+92.007629395,+583.458862305,-0.423793674,-1.422784686,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
36,0.616666699,+30.072002411,+38.389614105,+10.940629959,+1.733744264,+0.790463865,-0.331159592,+0.082190178,+0.208933711,-98.345886230,+98.345886230,+627.331665039,-0.404716462,-1.526260257,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
37,0.633333366,+30.119995117,+38.087505341,+10.885184288,+1.729691029,+0.789783657,-0.328710556,+0.082139760,+0.212164417,-102.733169556,+102.733169556,+639.503601074,-0.385563672,-1.642990351,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
38,0.650000034,+30.332418442,+37.699924469,+10.834781647,+1.699035764,+0.789823532,-0.321386337,+0.082127184,+0.214348465,-103.950363159,+103.950363159,+622.594116211,-0.372866333,-1.767696857,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
39,0.666666701,+30.671081543,+37.312557220,+10.789341927,+1.646600008,+0.789135098,-0.310155869,+0.082192332,+0.219608158,-102.259414673,+102.259414673,+578.337097168,-0.368621051,-1.891066432,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
40,0.683333369,+31.116216660,+36.987659454,+10.745513916,+1.606140852,+0.785639226,-0.301301956,+0.082318768,+0.224440575,-97.833709717,+97.833709717,+519.266235352,-0.374288380,-1.988010168,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
41,0.700000037,+31.653615952,+36.713901520,+10.696399689,+1.577025056,+0.783027232,-0.294485092,+0.082357451,+0.226623535,-91.926620483,+91.926620483,+446.977996826,-0.385261595,-2.050000191,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
42,0.716666704,+32.227821350,+36.516822815,+10.652029037,+1.488436937,+0.794808447,-0.276782036,+0.082598768,+0.237252712,-84.697799683,+84.697799683,+366.923461914,-0.408937275,-2.110958576,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
43,0.733333372,+32.789600372,+36.316173553,+10.611669540,+1.388300180,+0.804455459,-0.257175446,+0.082665548,+0.232577533,-76.692352295,+76.692352295,+297.584594727,-0.439881086,-2.126459122,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
44,0.750000039,+33.307373047,+36.000396729,+10.559861183,+1.372887015,+0.791812301,-0.253077507,+0.082579352,+0.211813658,-69.758460999,+69.758460999,+228.158660889,-0.455346018,-1.989872694,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
45,0.766666707,+33.764930725,+34.961956024,+10.508866310,+1.376007795,+0.786424279,-0.252428055,+0.082289994,+0.177376911,-62.815864563,+62.815864563,+139.742904663,-0.457472116,-1.527272940,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
46,0.783333374,+34.134140015,+34.885707855,+10.481315613,+1.381441355,+0.790262699,-0.252760887,+0.082246020,+0.191277489,-53.974288940,+53.974288940,+152.980255127,-0.479005575,-2.087745190,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
47,0.800000042,+34.411399841,+34.881298065,+10.448345184,+1.408362269,+0.795291960,-0.256877899,+0.082232296,+0.204668164,-55.298027039,+55.298027039,+169.082550049,-0.502819836,-2.131330490,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
