# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.400000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
19,0.333333351,-13.957439423,-9.005946159,+12.225437164,-0.833528519,-0.717766285,+0.177865982,-0.025997203,-0.038085613,-15.251186371,+52.234931946,+128.021820068,+0.566255093,+0.379514337,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
20,0.350000018,-13.533094406,-8.512454987,+12.201269150,-0.846278727,-0.728182554,+0.180230141,-0.024819896,-0.039836213,-29.049316406,+52.802181244,+142.366912842,+0.475980937,+0.367647648,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
21,0.366666686,-13.121018410,-8.027628899,+12.178297997,-0.850297213,-0.737422168,+0.180745125,-0.023673039,-0.040354632,-50.255687714,+54.236690521,+155.753875732,+0.395147443,+0.359330207,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
22,0.383333353,-12.670472145,-7.558787346,+12.158407211,-0.843052208,-0.746179163,+0.178912163,-0.022486441,-0.034025896,-55.575386047,+55.575386047,+158.360961914,+0.309890717,+0.352869928,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
23,0.400000021,-12.155315399,-7.111426353,+12.141374588,-0.826893628,-0.754159570,+0.175236702,-0.021213390,-0.025006892,-55.836097717,+55.836097717,+147.831436157,+0.212105408,+0.349018455,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
24,0.416666688,-11.163496971,-6.771333694,+12.113227844,-0.771194935,-0.744176567,+0.163052559,-0.020816127,-0.003109254,-54.783142090,+54.783142090,+192.211181641,-0.193838298,+0.333193958,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
25,0.433333356,-10.128352165,-6.355290890,+12.113848686,-0.624174654,-0.759727359,+0.131972313,-0.018461253,+0.031285454,-82.909561157,+82.909568787,+33.775779724,-0.144611865,+0.376293987,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
26,0.450000023,-9.368780136,-5.956153870,+12.114957809,-0.500940859,-0.766519189,+0.105924606,-0.016312340,-0.010381692,-43.377578735,+43.377578735,+42.287677765,-0.144773528,+0.433480740,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
27,0.466666691,-8.958612442,-5.578963757,+12.097071648,-0.483949393,-0.756919742,+0.102180481,-0.015133763,-0.047160894,-37.351852417,+44.228767395,+48.979877472,-0.407671332,+0.401399642,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
28,0.483333359,-8.829073906,-5.235960484,+12.071506500,-0.502427161,-0.743238389,+0.105857849,-0.014588548,-0.034578428,-44.897987366,+44.897987366,+37.282161713,-0.515103519,+0.356257290,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
29,0.500000026,-8.674983978,-4.937778473,+12.055252075,-0.493713677,-0.725180745,+0.103881836,-0.014005211,+0.006103313,-43.728218079,+43.728218079,+44.184268951,-0.482714355,+0.354543686,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
30,0.516666694,-8.342166901,-4.688607216,+12.052041054,-0.474079251,-0.704083741,+0.099723816,-0.013367535,+0.007180485,-62.185794830,+62.185794830,+59.191795349,-0.503628135,+0.377854794,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
31,0.533333361,-7.942652225,-4.516664028,+12.051904678,-0.429347426,-0.689986050,+0.090312958,-0.013003459,-0.010278060,-64.286849976,+64.286849976,+42.734046936,-0.592187762,+0.398387849,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
32,0.550000029,-7.621438026,-4.418385029,+12.047441483,-0.403383225,-0.674464226,+0.084819794,-0.012484767,+0.001708735,-44.273399353,+44.273403168,+30.824085236,-0.698963046,+0.425586492,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
33,0.566666696,-7.370249271,-4.382158756,+12.037847519,-0.391549438,-0.659708023,+0.082265854,-0.012123164,+0.003111146,-60.315372467,+60.315372467,+38.033809662,-0.748805761,+0.444821119,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
34,0.583333364,-7.136313438,-4.373711109,+12.026399612,-0.386452138,-0.639647603,+0.081117630,-0.011811957,+0.008469591,-61.324733734,+61.324733734,+65.242790222,-0.780299187,+0.451191097,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
35,0.600000031,-6.892335892,-4.360558987,+12.015466690,-0.385116607,-0.621001899,+0.080763817,-0.011488786,+0.012168632,-65.133995056,+65.133995056,+94.517425537,-0.808725834,+0.456790119,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
36,0.616666699,-6.640181065,-4.318865299,+12.004991531,-0.393763393,-0.601717651,+0.082505226,-0.011090105,+0.016694315,-49.451744080,+49.451744080,+114.058624268,-0.834265947,+0.470024437,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
37,0.633333366,-6.390954494,-4.240934849,+11.994289398,-0.405047715,-0.585302770,+0.084794044,-0.010710947,+0.016295917,-51.405860901,+51.405860901,+125.440589905,-0.856520295,+0.488147080,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
38,0.650000034,-6.157162189,-4.124537468,+11.982957840,-0.426341504,-0.568711340,+0.089167595,-0.010310072,+0.019320829,-52.544059753,+52.544059753,+133.287185669,-0.884906530,+0.506273866,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
39,0.666666701,-5.772158623,-4.053208351,+11.965253830,-0.457028359,-0.540989101,+0.095444679,-0.010804951,+0.011872853,-53.328720093,+53.328720093,+32.649532318,-0.920951128,+0.514425993,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
40,0.683333369,-5.349288940,-3.897345781,+11.962005615,-0.348400265,-0.531405330,+0.072738647,-0.010091502,+0.040828422,-43.264949799,+43.264953613,+98.723266602,-1.029887319,+0.535975575,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
