# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,+29.930898666,+31.478609085,+11.446907043,-0.590803862,+0.622058332,+0.118038654,+0.073799521,+0.307406992,-93.219306946,+93.219314575,+154.317962646,-0.553314030,-1.481061578,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,+29.275407791,+31.776491165,+11.446465492,-0.312790841,+0.594139040,+0.062489510,+0.074663207,+0.419178933,-55.431797028,+55.431797028,+377.994934082,-0.440236479,-1.457387686,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,+28.650466919,+32.585914612,+11.398576736,-0.129549906,+0.563796878,+0.025773048,+0.075864010,+0.431721568,-77.799499512,+77.799499512,+521.796325684,-0.297170281,-1.525576830,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,+28.092323303,+33.741001129,+11.341228485,+0.156903490,+0.526946604,-0.031057835,+0.077013828,+0.438549340,-92.179634094,+92.179634094,+741.294555664,-0.445745468,-1.739626288,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,+27.550933838,+34.934371948,+11.305224419,+0.470017940,+0.501150131,-0.092742920,+0.078426257,+0.427976012,-114.129455566,+114.129455566,+925.473083496,-0.408061653,-1.882905245,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,+27.165246964,+36.060001373,+11.284704208,+0.762225270,+0.488296986,-0.150133133,+0.079374909,+0.403119832,-132.547286987,+132.547302246,+1044.510742188,-0.367635757,-2.010788679,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,+27.007841110,+37.045265198,+11.262977600,+1.057600141,+0.480868489,-0.207922459,+0.080235481,+0.331983775,-144.451080322,+144.451080322,+1066.456176758,-0.387632072,-2.109230518,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,+27.092910767,+37.692592621,+11.228101730,+1.379329085,+0.481074512,-0.270355701,+0.080850139,+0.269489527,-146.645629883,+146.645629883,+1048.192138672,-0.400335252,-2.098740101,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,+27.383815765,+37.874416351,+11.182277679,+1.712570071,+0.485158592,-0.334337711,+0.081048042,+0.243788525,-144.819213867,+144.819213867,+964.055725098,-0.399858564,-2.061640978,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,+27.809816360,+37.692348480,+11.130258560,+2.017997026,+0.494448870,-0.392177582,+0.081112996,+0.224812135,-136.405578613,+136.405578613,+864.119262695,-0.394076526,-2.023828030,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,+28.309347153,+37.290946960,+11.075204849,+2.265994072,+0.509308815,-0.438242435,+0.081142098,+0.213677883,-126.411933899,+126.411926270,+755.949523926,-0.377407908,-1.978442073,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,+28.862113953,+36.838947296,+11.017198563,+2.496884346,+0.518374145,-0.480421066,+0.081186399,+0.214322031,-115.594955444,+115.594955444,+651.973815918,-0.365037471,-1.946721077,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
12,0.216666678,+29.472040176,+36.480026245,+10.955703735,+2.684866190,+0.530874848,-0.513757706,+0.081343107,+0.223664224,-105.197380066,+105.197380066,+560.761108398,-0.363207489,-1.931445241,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
13,0.233333346,+30.127645493,+36.310539246,+10.893630981,+2.774566412,+0.562150359,-0.527940273,+0.081673540,+0.246008754,-96.076110840,+96.076110840,+468.105865479,-0.368157089,-1.935507774,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
14,0.250000013,+30.780473709,+36.283538818,+10.839431763,+2.821530819,+0.588225543,-0.534219742,+0.082005724,+0.251578748,-86.810592651,+86.810592651,+401.678710938,-0.386959374,-1.940333128,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
15,0.266666681,+31.389764786,+36.342144012,+10.787834167,+2.874517202,+0.609320939,-0.541677952,+0.082310162,+0.256724775,-80.167877197,+80.167877197,+343.173004150,-0.402112842,-1.965417743,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
16,0.283333348,+31.936231613,+36.477603912,+10.735967636,+2.915497065,+0.633264542,-0.546772003,+0.082692608,+0.261502415,-74.317306519,+74.317306519,+290.407867432,-0.412749648,-2.021958590,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
17,0.300000016,+32.374969482,+36.166732788,+10.673865318,+2.999074697,+0.663799167,-0.559220791,+0.082982913,+0.217834607,-69.040786743,+69.040786743,+317.173889160,-0.539960027,-1.573890209,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
18,0.316666683,+32.690898895,+35.865253448,+10.636007309,+2.913017988,+0.681186318,-0.541219711,+0.083011955,+0.155336425,-71.717391968,+71.717391968,+192.336700439,-0.408163548,-1.726570129,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
19,0.333333351,+32.892196655,+35.755985260,+10.612373352,+2.877571583,+0.721179068,-0.533434868,+0.082605511,+0.165388584,-59.233673096,+59.233673096,+124.636642456,-0.465895027,-2.182681322,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
20,0.350000018,+33.018013000,+35.567119598,+10.571455002,+2.874094963,+0.762075305,-0.530735016,+0.082586192,+0.198057130,-52.463665009,+52.463665009,+141.863128662,-0.545863450,-2.181503773,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
21,0.366666686,+33.079292297,+35.605892181,+10.508329391,+2.791091681,+0.777037024,-0.512305260,+0.082654998,+0.168352529,-54.186313629,+54.186313629,+115.796028137,-0.462078452,-2.062152147,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
22,0.383333353,+33.152572632,+35.688247681,+10.438762665,+2.751510620,+0.798440397,-0.501685619,+0.082326792,+0.175402999,-51.579605103,+51.579605103,+191.882522583,-0.567977309,-1.999568939,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
23,0.400000021,+33.199642181,+35.827838898,+10.376266479,+2.675384998,+0.808514297,-0.484864712,+0.082397513,+0.179985151,-59.188255310,+59.188255310,+151.181320190,-0.487682700,-1.975568056,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
24,0.416666688,+33.243335724,+36.003166199,+10.324097633,+2.632628918,+0.828886151,-0.474706173,+0.082300738,+0.206851721,-55.118133545,+55.118133545,+216.688796997,-0.616006613,-1.956121683,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
25,0.433333356,+33.184665680,+36.250743866,+10.276773453,+2.548784733,+0.840600252,-0.457460880,+0.082532838,+0.205343544,-61.668880463,+61.668880463,+173.963256836,-0.507525563,-1.892566085,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
26,0.450000023,+33.060787201,+36.501445770,+10.229539871,+2.500200272,+0.861160755,-0.446667194,+0.082503691,+0.212853104,-57.396324158,+57.396324158,+241.387115479,-0.597745359,-1.838146806,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
27,0.466666691,+32.833621979,+36.722965240,+10.180255890,+2.429044962,+0.872863173,-0.431849003,+0.082638174,+0.192695230,-64.138710022,+64.138710022,+226.813629150,-0.485041171,-1.786592126,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
28,0.483333359,+32.580364227,+36.846279144,+10.131157875,+2.395758629,+0.889534354,-0.423870087,+0.082471102,+0.187095195,-62.681369781,+62.681365967,+310.961486816,-0.555890024,-1.774915218,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
29,0.500000026,+32.299140930,+36.908424377,+10.083643913,+2.340497017,+0.896068811,-0.412139893,+0.082484670,+0.168584794,-71.096145630,+71.096145630,+308.208190918,-0.457262039,-1.784782648,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
30,0.516666694,+32.071914673,+36.929859161,+10.032190323,+2.294783115,+0.911305547,-0.402019501,+0.082219712,+0.168502539,-70.820816040,+70.820816040,+386.372253418,-0.523557067,-1.825609088,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
31,0.533333361,+31.870302200,+36.904552460,+9.989355087,+2.181617498,+0.922231197,-0.380542755,+0.082306720,+0.161724776,-78.637222290,+78.637222290,+383.381225586,-0.463429093,-1.854100227,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
32,0.550000029,+31.742864609,+36.792011261,+9.947105408,+2.119350433,+0.923610508,-0.368107796,+0.082097262,+0.161413059,-78.338119507,+78.338119507,+432.046325684,-0.516144216,-1.871202230,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
33,0.566666696,+31.690057755,+36.707042694,+9.900329590,+2.079263926,+0.916835189,-0.359440804,+0.082126163,+0.162952915,-83.204635620,+83.204635620,+395.027221680,-0.449929744,-1.883599162,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
34,0.583333364,+31.756290436,+36.689674377,+9.851100922,+2.090448618,+0.913428962,-0.359579086,+0.082098864,+0.172542736,-79.502723694,+79.502723694,+410.430603027,-0.503512144,-1.898466945,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
35,0.600000031,+31.890886307,+35.623653412,+9.783634186,+2.185686588,+0.907342851,-0.373401642,+0.082849972,+0.206951886,-81.043060303,+81.043060303,+423.443420410,-0.447771847,-1.059570312,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
