# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.500000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
0,0.016666668,-21.627305984,-19.600492477,+12.391263962,+0.547643542,-0.632313848,-0.118441582,-0.048821263,-0.202483863,+50.103984833,+50.103988647,+116.973724365,+0.557239234,+0.402269751,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
1,0.033333335,-23.061046600,-19.564849854,+12.411671638,+0.425447404,-0.606494009,-0.092164040,-0.051181383,-0.162509128,+51.697372437,+51.697372437,+132.558181763,+0.934688985,+0.245496765,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
2,0.050000003,-24.265348434,-19.446008682,+12.396455765,+0.378583312,-0.593432486,-0.081911087,-0.053057555,-0.162982300,+53.255817413,+53.255817413,+331.249877930,+1.001888394,+0.301392317,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
3,0.066666670,-25.559906006,-19.441633224,+12.361741066,+0.231341556,-0.573935688,-0.049912930,-0.054779850,-0.195681691,+73.124984741,+73.124984741,+513.183654785,+1.212901115,+0.388366461,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
4,0.083333338,-26.907976151,-19.586799622,+12.330383301,+0.039444350,-0.552508533,-0.008488655,-0.057013951,-0.224912360,+91.318367004,+91.318367004,+685.199340820,+1.404785156,+0.330802321,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
5,0.100000005,-28.255365372,-19.903240204,+12.306653976,-0.134724811,-0.538538218,+0.028937817,-0.059498738,-0.232919797,+108.519927979,+108.519935608,+811.961547852,+1.612698317,+0.315824211,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
6,0.116666673,-29.511091232,-20.377983093,+12.285327911,-0.298080236,-0.530965209,+0.063914776,-0.061982289,-0.235203713,+121.196159363,+121.196159363,+876.936340332,+1.828053474,+0.319114715,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
7,0.133333340,-30.637628555,-20.994361877,+12.260152817,-0.463685930,-0.531003535,+0.099221706,-0.064349800,-0.237143159,+127.693626404,+127.693634033,+879.974548340,+2.003849983,+0.328799009,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
8,0.150000008,-31.655086517,-21.747825623,+12.227386475,-0.617235482,-0.536083043,+0.131728172,-0.066678539,-0.242892221,+127.997451782,+127.997459412,+863.618041992,+2.098960400,+0.339624047,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
9,0.166666675,-32.590469360,-22.633298874,+12.184829712,-0.761265337,-0.538430929,+0.161904335,-0.068941645,-0.244674191,+126.361808777,+126.361808777,+836.211669922,+2.122410059,+0.343158424,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
10,0.183333343,-33.080947876,-23.538270950,+12.123224258,-0.898030877,-0.555092573,+0.190030098,-0.068770885,-0.186375469,+123.621177673,+123.621170044,+527.330322266,+1.343372941,+0.355649710,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
11,0.200000010,-32.764190674,-24.492231369,+12.095926285,-0.847137511,-0.552182257,+0.178855419,-0.071540862,-0.259666383,+92.733032227,+92.733032227,+744.489990234,+1.169096708,+0.402417302,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
12,0.216666678,-33.287815094,-25.389999390,+12.095359802,-0.851824760,-0.571560264,+0.179836750,-0.073208742,-0.177906588,+114.448989868,+114.448997498,+567.589355469,+1.673312306,+0.354400545,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
13,0.233333346,-33.665397644,-26.319995880,+12.064971924,-0.992175341,-0.597294033,+0.208946705,-0.073754892,-0.249759465,+96.758941650,+96.758941650,+558.851989746,+1.976743698,+0.451137364,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
14,0.250000013,-33.833480835,-27.377418518,+11.999699593,-1.014901280,-0.566671073,+0.212577343,-0.077331997,-0.304726958,+95.885200500,+95.885200500,+649.377197266,+1.214181423,+0.397980928,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
15,0.266666681,-34.603656769,-28.574485779,+11.925341606,-1.010310531,-0.542306006,+0.210304260,-0.080885947,-0.215698883,+104.937721252,+104.937721252,+690.085205078,+1.527317643,+0.349438965,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
16,0.283333348,-36.057571411,-29.949459076,+11.867694855,-1.100883722,-0.548304439,+0.228054523,-0.082965396,-0.215717301,+109.008522034,+109.008522034,+629.269592285,+1.927918196,+0.372508943,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
