# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.430000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-17.391004562,-17.145517349,+12.550732613,+0.856651902,-0.650019467,-0.187664986,-0.039795864,-0.093029819,+32.578273773,+12000.000000000,+139.981033325,-1.107348680,-0.392888516,-16.378709793,-14.431850433,-740.919006348,+143.834884644,+173.420089722,+9.390845299,-0.896647394,+0.209911019,-0.005170378,+0.022352729,+0.025754429,+0.093969829,+0.109662607,+0.056653246,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-12.834462166,+29.404111862,+74.146926880,-214.848831177,+0.000000000,-0.000000089,+0.000000000,+0.000000000,-190.371215820,-35.906517029,+5.036339283,-18.323232651,+25.234872818,+26.188461304,+23.624799728,+25.240064621,+62.766170502,+55.186115265,+65.050201416,+59.194622040,1,1,1,1,true,true
0,0.016666668,released,-18.354740143,-17.214733124,+12.569647789,+0.718853056,-0.655407965,-0.157711506,-0.041094147,-0.120600834,+25.572225571,+53.998104095,+305.596069336,-1.364871860,+0.190143436,-17.444204330,-14.266687393,-780.559631348,+113.590248108,+174.732315063,+19.660652161,+0.166320264,+0.372239590,+0.000951857,+0.018933227,-0.004493561,+0.079718515,+0.115870565,+0.053085353,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-38.211124420,+62.389335632,+221.016708374,-460.294311523,-0.000001907,+0.000000000,+0.000000000,+0.000000000,-258.793762207,+84.881202698,-0.954764366,-15.617750168,+24.782878876,+25.828182220,+22.095684052,+25.421001434,+60.434364319,+55.385200500,+62.907043457,+59.379829407,1,1,1,1,true,true
1,0.033333335,released,-19.233272552,-16.939126968,+12.590911865,+0.606039762,-0.631733060,-0.133183956,-0.042042334,-0.086869918,+43.335224152,+70.559608459,+114.118408203,-1.144300461,+0.397201926,-18.011625290,-13.901008606,-786.285522461,+0.950238943,+169.057769775,+19.831216812,+0.516800702,+0.345339745,+0.003056947,+0.017413946,-0.015687779,+0.071984276,+0.120128840,+0.051714111,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+3.972074747,+27.948150635,-22.944015503,-206.293609619,-0.000001848,+0.000003815,+0.000000000,+0.000000000,-309.620819092,+86.515266418,-3.154461861,-14.172849655,+24.148988724,+25.972913742,+20.974002838,+25.851877213,+58.828083038,+55.410724640,+61.558586121,+59.455856323,1,1,1,1,true,true
2,0.050000004,released,-19.922517776,-16.474264145,+12.571566582,+0.578706086,-0.618128836,-0.126981258,-0.042895243,-0.090659186,+51.411842346,+51.411842346,+57.401161194,-1.286615849,+0.345055670,-18.520828247,-13.423653603,-830.644958496,-31.119537354,+166.538314819,+11.249162674,+0.543439567,+0.192914188,+0.003263150,+0.017149204,-0.017885197,+0.069413528,+0.117973842,+0.054565538,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+40.980422974,-0.559477925,-236.877700806,+4.087885857,+0.000000238,-0.000003815,+0.000000000,+0.000000000,-367.450561523,+27.345151901,-3.561590433,-13.681510925,+23.442752838,+26.415533066,+20.102275848,+26.369451523,+58.328125000,+55.870758057,+61.240921021,+59.790237427,1,1,1,1,true,true
3,0.066666670,released,-20.748645782,-16.088525772,+12.532506943,+0.446699470,-0.598858953,-0.097710133,-0.043472670,-0.114789650,+45.740116119,+45.740116119,+254.640380859,-1.419213891,+0.239950567,-19.398355484,-12.822416306,-890.368347168,-106.813964844,+173.873046875,+24.047334671,+0.749378264,+0.393671095,+0.004309916,+0.016370675,-0.024384003,+0.066069454,+0.116111279,+0.055609696,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+92.723114014,-37.146316528,-537.509887695,+269.445190430,+0.000001907,+0.000003815,+0.000000000,+0.000000000,-420.994628906,+42.891162872,-4.820529938,-13.036643028,+22.585102081,+26.652582169,+18.993629456,+26.709060669,+57.767707825,+56.653629303,+60.830295563,+60.332984924,1,1,1,1,true,true
4,0.083333336,released,-21.617717743,-15.762441635,+12.501966476,+0.268947124,-0.579722166,-0.058684826,-0.044607557,-0.129217088,+65.464035034,+65.464035034,+429.616638184,-1.371492386,+0.169752210,-20.348501205,-12.443673134,-936.271606445,-208.098648071,+180.498077393,+22.013149261,+0.950274527,+0.338416189,+0.005264735,+0.015373365,-0.029948298,+0.062193442,+0.117065541,+0.055857655,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+137.282531738,-74.681655884,-797.825866699,+538.857666016,-0.000001907,+0.000000000,+0.000000000,+0.000000000,-459.463134766,+71.125808716,-5.922421455,-12.289799690,+21.705394745,+26.783056259,+17.923049927,+26.952161789,+57.150806427,+57.561130524,+60.356487274,+60.946941376,1,1,1,1,true,true
5,0.100000009,released,-22.429971695,-15.508855820,+12.482709885,+0.124030575,-0.566742659,-0.027021885,-0.045870997,-0.118731640,+82.961669922,+82.961669922,+565.711303711,-1.234837174,+0.116392151,-21.192092896,-12.161352158,-967.380310059,-281.213928223,+184.156570435,+20.169004440,+1.134151459,+0.290905356,+0.006158626,+0.014423387,-0.035276286,+0.058541331,+0.118897766,+0.055634566,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+174.215316772,-108.003410339,-1014.316223145,+775.631469727,-0.000007629,+0.000000000,+0.000000000,+0.000000000,-499.176940918,+65.697937012,-6.993972778,-11.582445145,+20.950170517,+26.883010864,+16.965097427,+27.146526337,+56.426681519,+58.409706116,+59.780735016,+61.531402588,1,1,1,1,true,true
6,0.116666675,released,-23.112407684,-15.347507477,+12.466638565,-0.010030538,-0.561093330,+0.002182484,-0.046867974,-0.117953457,+96.571136475,+96.571136475,+664.945983887,-1.041517735,+0.082905784,-21.852138519,-11.947525978,-994.019653320,-330.022674561,+186.874389648,+23.849355698,+1.319949150,+0.320992768,+0.007063296,+0.013459180,-0.041132528,+0.054684184,+0.120161608,+0.054463591,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+206.920898438,-134.801483154,-1206.536376953,+965.450988770,-0.000007629,+0.000000000,+0.000000000,+0.000000000,-537.001281738,+43.054286957,-8.167808533,-10.831982613,+20.355741501,+26.946199417,+16.149068832,+27.313135147,+55.673984528,+59.018856049,+59.158977509,+61.970680237,1,1,1,1,true,true
7,0.133333340,released,-23.614788055,-15.277997017,+12.446778297,-0.140675455,-0.559654176,+0.030560017,-0.047752462,-0.123043895,+106.494598389,+106.494598389,+714.879211426,-0.857931852,+0.012897346,-22.292821884,-11.818365097,-1023.408752441,-356.896392822,+189.683654785,+25.920570374,+1.459720612,+0.325502574,+0.007695553,+0.012557694,-0.045706950,+0.050720524,+0.120466903,+0.053205565,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+227.093490601,-151.423171997,-1325.990722656,+1083.678588867,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-560.075439453,+15.278022766,-9.082328796,-10.056112289,+19.901527405,+26.965620041,+15.532967567,+27.447013855,+55.090282440,+59.374065399,+58.675590515,+62.238517761,1,1,1,1,true,true
8,0.150000006,released,-23.950784683,-15.314787865,+12.420793533,-0.259608001,-0.562601805,+0.056279182,-0.048501574,-0.129271194,+111.487922668,+111.487922668,+737.076721191,-0.712307572,-0.095511004,-22.531074524,-11.761289597,-1059.515991211,-377.349334717,+192.554702759,+28.554595947,+1.555975437,+0.337686479,+0.008080693,+0.011825994,-0.048683256,+0.047207396,+0.120170012,+0.052066509,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+239.702178955,-160.963226318,-1401.478393555,+1153.862670898,-0.000003815,-0.000007629,+0.000000000,+0.000000000,-573.499267578,+1.301071167,-9.680850983,-9.367209435,+19.556440353,+26.898347855,+15.097270012,+27.492609024,+54.701820374,+59.515941620,+58.363082886,+62.364337921,1,1,1,1,true,true
