# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.460000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+16.661592484,+16.510269165,+12.595535278,-0.805841267,+0.651767135,+0.177162647,+0.039851420,+0.390126258,-80.584640503,+12000.000000000,+213.812286377,+0.282520115,+0.352895051,+13.919423103,+15.434003830,+217.050720215,-513.285827637,+14.334253311,+172.026672363,-0.316118181,+1.042538404,-0.022053340,+0.006060330,+0.092202663,+0.030053273,+0.054351777,+0.110493600,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-26.001943588,-63.943035126,+189.808471680,+368.620727539,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+33.948894501,+193.765411377,+17.997825623,-5.890084267,+26.670801163,+26.107278824,+25.827417374,+24.645170212,+54.316162109,+63.156223297,+58.602745056,+65.357398987,1,1,1,1,true,true
0,0.016666668,released,+16.794559479,+17.520898819,+12.617277145,-0.693915725,+0.651188672,+0.152816772,+0.039954547,+0.434167832,-61.381225586,+61.381229401,+363.745361328,-0.171683758,+0.816992640,+13.727184296,+16.479356766,+192.599395752,-555.531799316,+15.724446297,+173.302719116,-0.297282100,-0.035185724,-0.018905727,-0.000203030,+0.078229606,-0.000768177,+0.052268721,+0.116323441,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-81.541213989,-19.686901093,+601.548583984,+113.661399841,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-71.658775330,+284.037475586,+15.344409943,+0.222369522,+26.266010284,+25.627124786,+25.967575073,+23.059841156,+54.453128815,+60.740425110,+58.722759247,+63.152473450,1,1,1,1,true,true
1,0.033333335,released,+16.588401794,+18.347120285,+12.636881828,-0.552246988,+0.632725358,+0.121804714,+0.041570116,+0.476382524,-76.374534607,+76.374542236,+243.959136963,-0.279015273,+0.449620217,+13.456229210,+17.118980408,+101.792030334,-588.828063965,+13.463521004,+171.275024414,-0.239527225,-0.399735838,-0.017790832,-0.002333883,+0.072250098,-0.011780623,+0.052219160,+0.121109828,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-41.134368896,-57.202930450,+302.902160645,+329.716003418,+0.000000000,+0.000003338,+0.000000000,+0.000000000,-50.209518433,+332.725250244,+14.216931343,+2.409260988,+26.408283234,+25.051897049,+26.315727234,+21.991161346,+54.524425507,+59.058403015,+58.819168091,+61.765205383,1,1,1,1,true,true
2,0.050000004,released,+16.349304199,+19.008359909,+12.616802216,-0.490114987,+0.625561595,+0.107928276,+0.042797666,+0.462568313,-64.395912170,+64.395912170,+159.859497070,-0.172755539,+0.526458800,+13.151452065,+17.622241974,+40.844547272,-597.507812500,+14.566312790,+171.198822021,-0.253446072,-0.449019074,-0.017399466,-0.002622793,+0.069712944,-0.014154166,+0.054478325,+0.119969465,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-8.709194183,-92.532279968,+63.711074829,+533.314514160,+0.000003815,+0.000000477,+0.000000000,+0.000000000,-8.352043152,+402.861724854,+13.729628563,+2.868615627,+26.582870483,+24.401441574,+26.574113846,+21.146638870,+55.083953857,+58.393680573,+59.220474243,+61.322425842,1,1,1,1,true,true
3,0.066666670,released,+16.220106125,+19.751893997,+12.579828262,-0.365659446,+0.608176351,+0.080285072,+0.043512348,+0.480486363,-55.985950470,+55.985950470,+209.046630859,-0.030922152,+0.595422089,+12.801029205,+18.439886093,-36.960247040,-607.613281250,+19.106180191,+178.292022705,-0.319611579,-0.685610294,-0.016728178,-0.003845434,+0.067051753,-0.021672353,+0.055655438,+0.118128218,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+13.147479057,-122.018432617,-95.841499329,+704.777526855,-0.000007629,+0.000000000,+0.000000000,+0.000000000,-39.959110260,+447.013610840,+13.212829590,+4.337045670,+26.551198959,+23.653875351,+26.628274918,+20.100654602,+55.920303345,+57.703178406,+59.794490814,+60.792926788,1,1,1,1,true,true
4,0.083333336,released,+16.144575119,+20.495914459,+12.550403595,-0.190818295,+0.591610610,+0.041798115,+0.044569537,+0.508709729,-60.904666901,+60.904663086,+361.337341309,-0.026907966,+0.548015535,+12.651881218,+19.266546249,-147.122863770,-633.973449707,+22.900329590,+184.743637085,-0.363932341,-0.885290861,-0.015892014,-0.004791996,+0.064055212,-0.027403232,+0.055410888,+0.118260063,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+44.482181549,-158.871261597,-323.938446045,+919.553222656,-0.000003815,+0.000003815,+0.000000000,+0.000000000,-86.692306519,+483.003784180,+12.640254974,+5.466765404,+26.422674179,+22.880128860,+26.591657639,+19.139154434,+56.800609589,+57.143039703,+60.417076111,+60.357765198,1,1,1,1,true,true
5,0.100000009,released,+16.077220917,+21.194360733,+12.529083252,-0.057844408,+0.578327894,+0.012649059,+0.045804493,+0.501171529,-76.133735657,+76.133735657,+456.782592773,-0.028058810,+0.482160985,+12.580418587,+19.976613998,-221.629409790,-663.761718750,+18.827995300,+187.589019775,-0.281536609,-1.040417075,-0.014953084,-0.005546258,+0.060399838,-0.031968512,+0.055482410,+0.118935771,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+67.415420532,-182.618957520,-489.853820801,+1058.887451172,+0.000007629,+0.000000000,+0.000000000,+0.000000000,-84.932189941,+506.698577881,+11.935979843,+6.377802849,+26.332881927,+22.180177689,+26.603826523,+18.287723541,+57.684101105,+56.629402161,+61.030891418,+59.955970764,1,1,1,1,true,true
6,0.116666675,released,+16.045507431,+21.810600281,+12.508780479,+0.058591347,+0.572435558,-0.012791634,+0.046871524,+0.486943841,-85.678260803,+85.678260803,+543.079589844,-0.040952571,+0.387160152,+12.485420227,+20.546859741,-278.385223389,-701.883300781,+24.172397614,+189.029449463,-0.338943779,-1.193924665,-0.014021935,-0.006316077,+0.056696452,-0.036714323,+0.054617040,+0.119383894,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+89.825759888,-206.952438354,-651.634277344,+1201.996582031,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-61.882804871,+531.885620117,+11.219328880,+7.325014591,+26.267890930,+21.596549988,+26.636074066,+17.548099518,+58.375198364,+56.115112305,+61.533294678,+59.538646698,1,1,1,1,true,true
7,0.133333340,released,+16.058546066,+22.321245193,+12.486000061,+0.169403061,+0.571452320,-0.036916733,+0.047871284,+0.475047886,-94.307960510,+94.307960510,+599.934020996,-0.001466054,+0.294630259,+12.463264465,+20.954999924,-315.939086914,-746.464965820,+25.549224854,+189.881530762,-0.335811287,-1.310383081,-0.013143698,-0.006901056,+0.052899204,-0.040422119,+0.053835556,+0.119475231,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+107.069915771,-224.910583496,-776.091674805,+1308.352294922,+0.000000000,-0.000003815,+0.000000000,+0.000000000,-29.000047684,+546.527160645,+10.479545593,+8.062731743,+26.202770233,+21.105932236,+26.676130295,+16.947153091,+58.888843536,+55.694648743,+61.908332825,+59.197929382,1,1,1,1,true,true
8,0.150000006,released,+16.149368286,+22.734079361,+12.460563660,+0.269783735,+0.575029314,-0.058672428,+0.048771955,+0.462153047,-99.993400574,+99.993408203,+636.443481445,+0.087159514,+0.218770504,+12.487170219,+21.238466263,-345.323791504,-792.201660156,+27.882884979,+190.795196533,-0.345604956,-1.397620559,-0.012394878,-0.007325240,+0.049469441,-0.043079831,+0.053001221,+0.119455770,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+119.842956543,-238.611892700,-869.748535156,+1390.135742188,+0.000000000,-0.000003815,+0.000000000,+0.000000000,-8.765123367,+556.520812988,+9.808037758,+8.592597961,+26.074474335,+20.691995621,+26.652738571,+16.464563370,+59.217830658,+55.356193542,+62.157661438,+58.930179596,1,1,1,1,true,true
