# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.410000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-16.617179871,-16.460025787,+12.603261948,+0.845082700,-0.652846992,-0.185904980,-0.038065612,-0.096696600,-26.311252594,+12000.000000000,+170.075363159,-1.081138134,-0.345718741,-15.605261803,-13.738717079,-730.613281250,+147.519775391,+172.291244507,+9.198451996,-0.995761395,+0.205792546,-0.005779524,+0.022372520,+0.028637670,+0.093838096,+0.109354943,+0.056549869,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-24.876327515,+32.065917969,+143.576782227,-232.066970825,-0.000001907,+0.000000477,+0.000000000,+0.000000000,-179.378997803,-112.297637939,+5.601250648,-18.301580429,+25.973100662,+26.900190353,+24.484874725,+25.934381485,+63.093132019,+54.986778259,+65.312232971,+59.141704559,1,1,1,1,true,true
0,0.016666668,released,-17.532716751,-16.517129898,+12.621621132,+0.726037085,-0.656181574,-0.159946442,-0.039163791,-0.111765787,-14.074397087,+57.007537842,+347.600891113,-1.335635304,+0.169487774,-16.626348495,-13.543800354,-764.594238281,+136.879013062,+173.475479126,+16.841787338,+0.055282980,+0.319601297,+0.000318679,+0.018976685,-0.001310125,+0.079763532,+0.115399987,+0.053483386,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-50.733833313,+68.399360657,+293.125488281,-499.162719727,+0.000001907,-0.000001907,+0.000000000,+0.000000000,-247.143707275,+74.026519775,-0.330189615,-15.624340057,+25.567394257,+26.580820084,+23.011323929,+26.125175476,+60.806964874,+55.367637634,+63.212821960,+59.343875885,1,1,1,1,true,true
1,0.033333335,released,-18.359441757,-16.228750229,+12.643787384,+0.605102301,-0.635194719,-0.133536339,-0.039794993,-0.081559010,+23.702163696,+74.760086060,+120.295181274,-1.099419117,+0.429985046,-17.141912460,-13.157435417,-775.913208008,+6.971014977,+168.179229736,+24.209182739,+0.413974822,+0.422994018,+0.002461510,+0.017472461,-0.012481321,+0.072373115,+0.119478986,+0.051239129,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.175415799,+31.024011612,-1.011878729,-226.778732300,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-305.320251465,+94.957031250,-2.526221037,-14.249967575,+24.981176376,+26.712213516,+21.942796707,+26.538194656,+59.217353821,+55.345981598,+61.881839752,+59.408687592,1,1,1,1,true,true
2,0.050000004,released,-18.981840134,-15.698620796,+12.626997948,+0.586295128,-0.623279333,-0.129213810,-0.040570728,-0.080857426,+52.029514313,+52.029518127,+68.341789246,-1.229190230,+0.426732153,-17.592748642,-12.640155792,-820.594116211,-22.215297699,+165.748001099,+10.173936844,+0.436843157,+0.175209701,+0.002635586,+0.017221427,-0.014273524,+0.069711447,+0.117217772,+0.054090783,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+33.105747223,+6.078508854,-191.037139893,-43.976272583,-0.000004053,+0.000000000,+0.000000000,+0.000000000,-358.391723633,+38.555633545,-2.856046200,-13.742654800,+24.331605911,+27.215759277,+21.147249222,+27.121274948,+58.756206512,+55.780601501,+61.599929810,+59.725158691,1,1,1,1,true,true
3,0.066666670,released,-19.733194351,-15.233937263,+12.588693619,+0.465454429,-0.602214754,-0.102269173,-0.040957760,-0.096366040,+46.834178925,+46.834178925,+215.666305542,-1.361697674,+0.303261518,-18.411045074,-11.960817337,-877.574951172,-83.346382141,+173.033935547,+21.171035767,+0.633440018,+0.348807573,+0.003660785,+0.016475698,-0.020427905,+0.066411734,+0.115243763,+0.055641778,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+83.012527466,-29.341121674,-480.223785400,+210.356002808,-0.000001907,-0.000003815,+0.000000000,+0.000000000,-410.278472900,+42.136283875,-4.051866531,-13.104551315,+23.543405533,+27.550064087,+20.122039795,+27.547359467,+58.229114532,+56.582012177,+61.218406677,+60.273067474,1,1,1,1,true,true
4,0.083333336,released,-20.517410278,-14.838684082,+12.558275223,+0.288127542,-0.585197806,-0.063153267,-0.041804291,-0.116071470,+61.566627502,+61.566631317,+399.922973633,-1.294982910,+0.254699767,-19.281377792,-11.499107361,-922.869262695,-192.884475708,+179.621902466,+24.187755585,+0.832343102,+0.373335242,+0.004633862,+0.015434885,-0.025933173,+0.062450677,+0.116130464,+0.055565782,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+130.046234131,-67.986236572,-753.873901367,+484.591125488,-0.000003815,+0.000003815,+0.000000000,+0.000000000,-450.911071777,+72.749130249,-5.145871639,-12.343289375,+22.749425888,+27.748394012,+19.142196655,+27.858385086,+57.623863220,+57.478633881,+60.754146576,+60.883880615,1,1,1,1,true,true
5,0.100000009,released,-21.223337173,-14.490324020,+12.540016174,+0.150461867,-0.573798835,-0.032930851,-0.042849265,-0.103745647,+79.992294312,+79.992294312,+528.596191406,-1.140884995,+0.224408671,-20.020332336,-11.124307632,-952.972778320,-269.492706299,+183.124847412,+20.339595795,+1.009223819,+0.293890059,+0.005511125,+0.014449160,-0.030980207,+0.058624342,+0.117794052,+0.055254593,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+163.927551270,-99.606536865,-951.550292969,+706.126159668,-0.000007629,+0.000003815,+0.000000000,+0.000000000,-487.126525879,+71.089889526,-6.166248322,-11.603202820,+22.096723557,+27.939487457,+18.300750732,+28.147838593,+56.928962708,+58.321220398,+60.204509735,+61.463844299,1,1,1,1,true,true
6,0.116666675,released,-21.785619736,-14.218734741,+12.525156975,+0.027124098,-0.567527652,-0.005929470,-0.043601498,-0.090266816,+92.859611511,+92.859619141,+627.519897461,-0.942916274,+0.195040569,-20.564577103,-10.795352936,-978.444274902,-314.214935303,+185.614807129,+22.924343109,+1.183941960,+0.309540033,+0.006378489,+0.013502679,-0.036363453,+0.054804169,+0.118787274,+0.054326274,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+194.554748535,-126.329612732,-1130.500610352,+891.804626465,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-521.931274414,+47.066295624,-7.249589443,-10.859680176,+21.612920761,+28.115745544,+17.617124557,+28.419473648,+56.230548859,+58.953517914,+59.631645203,+61.918849945,1,1,1,1,true,true
7,0.133333340,released,-22.156213760,-14.034767151,+12.506614685,-0.095307656,-0.566942394,+0.020803928,-0.044169545,-0.091708407,+102.751991272,+102.751991272,+680.241333008,-0.750778139,+0.130903989,-20.878322601,-10.555719376,-1007.221313477,-340.098541260,+188.200988770,+25.689390182,+1.313745737,+0.324290067,+0.006980546,+0.012623502,-0.040439226,+0.050969608,+0.118810281,+0.053184789,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+214.635910034,-143.203521729,-1248.327148438,+1008.569580078,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-543.199218750,+19.537746429,-8.069372177,-10.109766006,+21.279420853,+28.251363754,+17.145826340,+28.656999588,+55.711547852,+59.338554382,+59.205314636,+62.208770752,1,1,1,1,true,true
8,0.150000006,released,-22.347900391,-13.950424194,+12.482249260,-0.208337024,-0.569966555,+0.045387745,-0.044580977,-0.094883166,+108.024131775,+108.024131775,+699.676452637,-0.594716311,+0.029154267,-20.979408264,-10.384779930,-1042.307495117,-359.056427002,+190.717468262,+28.117982864,+1.396920443,+0.335223913,+0.007324554,+0.011922047,-0.042843256,+0.047636237,+0.118280292,+0.052107304,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+225.583923340,-151.775741577,-1313.119628906,+1068.926513672,-0.000011444,+0.000000000,+0.000000000,+0.000000000,-553.137023926,+6.424303055,-8.558959961,-9.455585480,+21.068624496,+28.307802200,+16.871465683,+28.809995651,+55.394901276,+59.510513306,+58.955074310,+62.355743408,1,1,1,1,true,true
