# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.440000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+16.029138565,+15.747061729,+12.654247284,-0.600241363,+0.647228956,+0.132573128,+0.038137496,+0.393008620,-59.886341095,+12000.000000000,+211.083282471,+0.185315266,+0.358891308,+13.083840370,+14.501856804,+216.385772705,-457.012695312,+15.199634552,+172.297164917,-0.334114611,+1.079022884,-0.021981753,+0.006262569,+0.091096826,+0.031499609,+0.053959619,+0.109340236,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-27.147193909,-58.574996948,+196.949188232,+337.205596924,+0.000000000,+0.000003815,+0.000000000,+0.000000000,+22.385343552,+201.561569214,+17.798522949,-6.176840305,+27.318250656,+26.831083298,+26.477594376,+25.441934586,+54.150768280,+63.409572601,+58.468757629,+65.543632507,1,1,1,1,true,true
0,0.016666668,released,+16.071029663,+16.724248886,+12.674147606,-0.515703022,+0.645759344,+0.114079475,+0.038004987,+0.427964687,-61.108325958,+61.108329773,+363.395599365,-0.230938226,+0.835366130,+12.829531670,+15.512986183,+187.700408936,-505.414306641,+16.299114227,+171.850646973,-0.307618618,+0.052856386,-0.018873334,+0.000307572,+0.077500671,+0.001750849,+0.052552834,+0.114058182,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-81.346099854,-21.081727982,+594.891235352,+121.655113220,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-87.369689941,+286.312805176,+15.213479996,-0.281685650,+26.994424820,+26.320301056,+26.682537079,+23.890028000,+54.380264282,+61.307796478,+58.668338776,+63.595176697,1,1,1,1,true,true
1,0.033333335,released,+15.805058479,+17.529205322,+12.690273285,-0.391468853,+0.626352429,+0.086706638,+0.039466612,+0.470542222,-76.339561462,+76.339561462,+250.305511475,-0.303812802,+0.453807205,+12.529837608,+16.175710678,+91.427902222,-554.381286621,+13.555562019,+168.948623657,-0.240550086,-0.283169150,-0.017745489,-0.001676067,+0.071818262,-0.008286897,+0.052940458,+0.118769318,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-41.972202301,-58.323833466,+305.747131348,+336.106689453,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-63.073558807,+323.083648682,+14.138786316,+1.714895964,+27.186927795,+25.733037949,+27.064922333,+22.862340927,+54.614696503,+59.842700958,+58.873508453,+62.395210266,1,1,1,1,true,true
2,0.050000004,released,+15.533187866,+18.165287018,+12.669375420,-0.361522466,+0.624952018,+0.079941750,+0.040634871,+0.452312887,-65.030548096,+65.030548096,+169.556335449,-0.206681117,+0.494277626,+12.206789017,+16.689085007,+22.123313904,-573.547668457,+15.828155518,+167.860397339,-0.273746699,-0.317886233,-0.017294921,-0.001893754,+0.069402210,-0.009864867,+0.054987732,+0.118272081,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-9.784365654,-92.986907959,+70.761390686,+535.634643555,+0.000000000,-0.000000954,+0.000000000,+0.000000000,-21.709743500,+387.425842285,+13.672887802,+2.025853157,+27.382143021,+25.121860504,+27.337310791,+22.088020325,+55.279052734,+59.259494781,+59.345912933,+62.028324127,1,1,1,1,true,true
3,0.066666670,released,+15.363263130,+18.857698441,+12.634560585,-0.248038873,+0.605415344,+0.054696560,+0.041209634,+0.460195929,-56.955635071,+56.955635071,+200.724380493,-0.091027498,+0.539258897,+11.836701393,+17.458299637,-51.053432465,-593.306823730,+20.025110245,+173.433105469,-0.331872255,-0.548801780,-0.016572805,-0.003164343,+0.066703051,-0.017168444,+0.055831932,+0.116754666,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+10.097476959,-119.694061279,-72.730270386,+690.622314453,+0.000000000,-0.000003099,+0.000000000,+0.000000000,-51.226146698,+427.070495605,+13.148969650,+3.460257530,+27.393457413,+24.465175629,+27.434934616,+21.135326385,+56.138542175,+58.548542023,+59.938102722,+61.481204987,1,1,1,1,true,true
4,0.083333336,released,+15.225454330,+19.525154114,+12.609634399,-0.093950510,+0.592782617,+0.020676613,+0.042117000,+0.489436299,-60.072437286,+60.072441101,+348.349822998,-0.117707953,+0.469173640,+11.640925407,+18.199768066,-148.713806152,-628.024169922,+23.887445450,+179.080017090,-0.375670761,-0.737940311,-0.015726702,-0.004120729,+0.063659787,-0.022681907,+0.055316761,+0.116817296,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+40.571414948,-155.098022461,-291.708587646,+896.337097168,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-90.099105835,+460.733398438,+12.567655563,+4.549408913,+27.341451645,+23.788261414,+27.474081039,+20.278228760,+56.975547791,+57.972724915,+60.534214020,+61.033721924,1,1,1,1,true,true
5,0.100000009,released,+15.070599556,+20.114383698,+12.593093872,+0.018664235,+0.582871497,-0.004102230,+0.043119501,+0.477742612,-74.834983826,+74.834983826,+443.189422607,-0.151376531,+0.377224326,+11.466238976,+18.780801773,-212.870819092,-668.278076172,+20.990087509,+181.591049194,-0.310455739,-0.876927376,-0.014790588,-0.004829133,+0.059914887,-0.026758198,+0.055073071,+0.117256828,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+63.278652191,-178.647048950,-453.633331299,+1033.862426758,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-85.430053711,+484.558135986,+11.847017288,+5.367673397,+27.351890564,+23.187772751,+27.589902878,+19.547203064,+57.771472931,+57.471900940,+61.091640472,+60.649044037,1,1,1,1,true,true
6,0.116666675,released,+14.931480408,+20.587375641,+12.576282501,+0.118932381,+0.577657342,-0.026105404,+0.043851599,+0.456952095,-84.318939209,+84.318939209,+514.924865723,-0.151978105,+0.247519672,+11.260189056,+19.212259293,-256.432006836,-713.092956543,+23.633205414,+183.145385742,-0.329308301,-1.016114354,-0.013934136,-0.005548130,+0.056368969,-0.030912811,+0.054449394,+0.117547020,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+82.497550964,-199.094375610,-589.521606445,+1153.686523438,+0.000000000,-0.000005722,+0.000000000,+0.000000000,-57.284893036,+505.308044434,+11.159994125,+6.205975533,+27.413927078,+22.723140717,+27.740034103,+18.950984955,+58.407600403,+56.969543457,+61.550231934,+60.251377106,1,1,1,1,true,true
7,0.133333340,released,+14.839696884,+20.913152695,+12.555947304,+0.218935773,+0.578723848,-0.047978401,+0.044389606,+0.440915734,-91.492492676,+91.492492676,+559.596557617,-0.108078398,+0.105979040,+11.114758492,+19.463504791,-291.302673340,-759.070556641,+26.073888779,+184.611190796,-0.343776911,-1.124568701,-0.013184720,-0.006091552,+0.053079735,-0.034076825,+0.053693227,+0.117705368,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+96.655303955,-213.847015381,-689.211242676,+1240.398681641,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-27.974031448,+518.034606934,+10.518093109,+6.848317623,+27.465662003,+22.400987625,+27.875198364,+18.536903381,+58.876625061,+56.535259247,+61.895606995,+59.907966614,1,1,1,1,true,true
8,0.150000006,released,+14.813277245,+21.095718384,+12.532963753,+0.313418031,+0.582957923,-0.068558216,+0.044743951,+0.423979938,-95.959655762,+95.959655762,+574.924072266,-0.034716304,-0.018041395,+11.014574051,+19.548982620,-322.197906494,-801.038940430,+27.994779587,+186.109497070,-0.351686060,-1.203642964,-0.012562559,-0.006467391,+0.050168291,-0.036251068,+0.052868154,+0.117776245,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+104.253135681,-221.460327148,-743.300598145,+1285.402343750,+0.000000000,+0.000003815,+0.000000000,+0.000000000,-15.888048172,+335.892669678,+9.948247910,+7.294652939,+27.459600449,+22.213905334,+27.950992584,+18.293943405,+59.184459686,+56.168586731,+62.132301331,+59.621826172,1,1,1,1,true,true
