# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.470000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+17.015089035,+16.916135788,+12.569602966,-0.814494491,+0.651292145,+0.178696632,+0.040712282,+0.390994370,-124.958885193,+12000.000000000,+226.477905273,+0.303612947,+0.353321522,+14.281242371,+15.846002579,+211.935394287,-516.127319336,+15.033450127,+172.843856812,-0.331604183,+0.988408446,-0.022057757,+0.005718505,+0.092306420,+0.028452720,+0.054375380,+0.110669151,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-26.326988220,-71.087974548,+193.168365479,+409.991516113,-0.000000954,+0.000003815,+0.000000000,+0.000000000,+31.704872131,+201.029510498,+18.016242981,-5.576257229,+26.302209854,+25.721225739,+25.473182678,+24.189363480,+54.339344025,+62.974647522,+58.617698669,+65.211547852,1,1,1,1,true,true
0,0.016666668,released,+17.169357300,+17.949928284,+12.590982437,-0.696950674,+0.650319457,+0.153165340,+0.040998250,+0.440847635,-62.647785187,+62.647789001,+357.418457031,-0.145241424,+0.833130419,+14.126445770,+16.916219711,+188.506683350,-558.845275879,+15.012847900,+174.038467407,-0.283608913,-0.092075482,-0.018891079,-0.000529052,+0.078208208,-0.002414729,+0.052399471,+0.116541415,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-78.938278198,-21.984603882,+585.498840332,+126.996482849,+0.000000000,-0.000000954,+0.000000000,+0.000000000,-69.590255737,+286.566223145,+15.338846207,+0.544870734,+25.875101089,+25.216651917,+25.597091675,+22.579771042,+54.481254578,+60.547588348,+58.741264343,+62.993942261,1,1,1,1,true,true
1,0.033333335,released,+16.994132996,+18.800996780,+12.610234261,-0.556020021,+0.631562829,+0.122378349,+0.042718336,+0.481281638,-75.741851807,+75.741851807,+235.899078369,-0.245686308,+0.475392669,+13.875183105,+17.576467514,+96.584968567,-590.319946289,+13.520251274,+171.850799561,-0.240126729,-0.453230023,-0.017760523,-0.002637346,+0.072175696,-0.013419770,+0.052323729,+0.121426523,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-38.344356537,-59.491939545,+283.984313965,+343.137145996,+0.000003815,-0.000000477,+0.000000000,+0.000000000,-48.354400635,+335.873992920,+14.201152802,+2.730120659,+25.985296249,+24.619525909,+25.916709900,+21.487451553,+54.550083160,+58.864574432,+58.837425232,+61.603534698,1,1,1,1,true,true
2,0.050000004,released,+16.788509369,+19.499429703,+12.589756012,-0.489501268,+0.623481929,+0.107562065,+0.044036761,+0.467298150,-63.589908600,+63.589908600,+150.304718018,-0.138617098,+0.563585818,+13.605199814,+18.110183716,+34.170120239,-600.306091309,+14.972602844,+171.587356567,-0.259948730,-0.506203473,-0.017361626,-0.002950121,+0.069606036,-0.016051043,+0.054535363,+0.120325476,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-5.532210350,-95.342079163,+40.725620270,+549.989624023,+0.000000000,+0.000003338,+0.000000000,+0.000000000,-7.573104858,+407.103057861,+13.707700729,+3.237776518,+26.124902725,+23.937095642,+26.143638611,+20.600145340,+55.102649689,+58.184520721,+59.236942291,+61.144805908,1,1,1,1,true,true
3,0.066666670,released,+16.695083618,+20.290685654,+12.552337646,-0.363602579,+0.605761766,+0.079658985,+0.044878289,+0.486501575,-55.030471802,+55.030471802,+225.452789307,+0.011091229,+0.639914155,+13.296417236,+18.970041275,-43.101921082,-612.235290527,+18.920272827,+178.584808350,-0.315803587,-0.745058775,-0.016691281,-0.004172016,+0.066926166,-0.023702990,+0.055780664,+0.118538126,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+16.783048630,-125.199035645,-123.162658691,+723.940002441,+0.000000000,-0.000006676,+0.000000000,+0.000000000,-38.148475647,+451.259521484,+13.186872482,+4.729956150,+26.057621002,+23.143093109,+26.164512634,+19.502758026,+55.940010071,+57.482498169,+59.811668396,+60.605098724,1,1,1,1,true,true
4,0.083333336,released,+16.661706924,+21.089298248,+12.522345543,-0.186195120,+0.588816524,+0.040694237,+0.046064340,+0.514573514,-62.545276642,+62.545280457,+381.383361816,+0.019393966,+0.600138307,+13.187014580,+19.846803665,-154.170303345,-640.417907715,+23.238948822,+185.027526855,-0.368334949,-0.946753979,-0.015849898,-0.005116828,+0.063906983,-0.029517960,+0.055503849,+0.118760377,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+48.863201141,-163.376022339,-358.460174561,+946.896667480,+0.000003815,-0.000001907,+0.000000000,+0.000000000,-85.309005737,+488.777740479,+12.609687805,+5.874100208,+25.885353088,+22.316177368,+26.087221146,+18.483512878,+56.818477631,+56.909248352,+60.433956146,+60.159511566,1,1,1,1,true,true
5,0.100000009,released,+16.642822266,+21.853302002,+12.500432014,-0.050010547,+0.574801207,+0.010910988,+0.047449030,+0.507411122,-78.138336182,+78.138336182,+477.241424561,+0.029947372,+0.542224288,+13.168172836,+20.620677948,-228.454071045,-671.314941406,+18.647268295,+187.934631348,-0.278048724,-1.107245922,-0.014910962,-0.005891655,+0.060238339,-0.034297191,+0.055633724,+0.119557664,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+72.082099915,-187.485473633,-527.943115234,+1088.872558594,+0.000007629,+0.000005722,+0.000000000,+0.000000000,-82.403526306,+513.177246094,+11.902721405,+6.825834751,+25.746616364,+21.555269241,+26.053117752,+17.560800552,+57.706897736,+56.368019104,+61.049564362,+59.734222412,1,1,1,1,true,true
6,0.116666675,released,+16.668594360,+22.542230606,+12.479572296,+0.070813060,+0.568705916,-0.015423775,+0.048683763,+0.494324774,-87.724143982,+87.724143982,+566.373901367,+0.021806005,+0.451818347,+13.129281044,+21.262172699,-286.511871338,-710.134643555,+24.479568481,+189.551452637,-0.342124224,-1.267194033,-0.013975909,-0.006685224,+0.056525640,-0.039311722,+0.054701462,+0.120168775,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+95.291908264,-212.976547241,-697.376342773,+1239.318359375,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-59.867309570,+540.441284180,+11.183363914,+7.824145317,+25.622529984,+20.905956268,+26.029811859,+16.742212296,+58.392833710,+55.815483093,+61.548976898,+59.284133911,1,1,1,1,true,true
7,0.133333340,released,+16.743816376,+23.130958557,+12.456222534,+0.184996784,+0.567616165,-0.040218830,+0.049869686,+0.483108938,-96.637390137,+96.637390137,+623.977905273,+0.065194473,+0.363583535,+13.170069695,+21.745010376,-324.894348145,-754.831359863,+25.731134415,+190.566375732,-0.336663783,-1.390165687,-0.013083908,-0.007294916,+0.052655172,-0.043324456,+0.053889632,+0.120416448,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+112.990478516,-231.486114502,-826.964843750,+1349.526733398,+0.000007629,-0.000003815,+0.000000000,+0.000000000,-26.817945480,+556.773254395,+10.428936958,+8.620025635,+25.492811203,+20.344110489,+26.012517929,+16.055316925,+58.898582458,+55.352626801,+61.917922974,+58.906764984,1,1,1,1,true,true
8,0.150000006,released,+16.901817322,+23.625932693,+12.429949760,+0.289370149,+0.570793867,-0.062777519,+0.050966490,+0.470941603,-102.397796631,+102.397796631,+661.878967285,+0.159524068,+0.292697608,+13.259670258,+22.107419968,-354.916473389,-800.638488770,+28.056125641,+191.676849365,-0.345561564,-1.484624863,-0.012316796,-0.007745457,+0.049128309,-0.046313066,+0.053015258,+0.120536096,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+126.344772339,-245.930664062,-926.824523926,+1436.313964844,+0.000007629,+0.000000000,+0.000000000,+0.000000000,-6.121471405,+568.720520020,+9.739236832,+9.212374687,+25.295598984,+19.853755951,+25.928487778,+15.480575562,+59.216991425,+54.972316742,+62.159336090,+58.602794647,1,1,1,1,true,true
