# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.440000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-17.382928848,-17.123226166,+12.513710022,+0.862898886,-0.633489013,-0.188476086,-0.040883102,-0.128673464,-267.972961426,+12000.000000000,+38.033370972,-1.881851077,-0.328858167,-16.251380920,-14.435100555,-722.774475098,+103.298767090,+184.196838379,+7.178607941,-0.911065876,+0.161025569,-0.004946154,+0.022431308,+0.025695238,+0.094242044,+0.106514797,+0.056175187,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-17.970830917,+2.284521580,+103.765930176,-16.678508759,+0.000001907,-0.000000477,+0.000000000,+0.000000000,-213.559402466,-42.605979919,+5.112862110,-18.381992340,+25.044952393,+26.201787949,+23.460128784,+25.247615814,+62.290897369,+55.028892517,+64.684875488,+59.089057922,1,1,1,1,true,true
0,0.016666668,released,-18.933164597,-17.201524734,+12.524466515,+0.704586387,-0.638130069,-0.154025555,-0.042478018,-0.159895554,+43.803333282,+43.803337097,+184.642700195,-1.976120234,+0.085288227,-18.025455475,-14.321894646,-752.013671875,+74.408126831,+183.050979614,+8.201585770,+0.225478083,+0.153680071,+0.001231777,+0.018737849,-0.006390128,+0.078803711,+0.115447603,+0.053919375,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-10.633255959,+42.625480652,+61.560226440,-313.530090332,+0.000001431,+0.000000000,+0.000000000,+0.000000000,-298.537445068,+52.419277191,-1.276036382,-15.434564590,+24.079719543,+25.832828522,+21.336364746,+25.447452545,+60.106658936,+55.576862335,+62.673210144,+59.477802277,1,1,1,1,true,true
1,0.033333335,released,-20.365158081,-17.156208038,+12.547129631,+0.569310606,-0.621973872,-0.124676704,-0.044325504,-0.131470427,+58.464271545,+58.464271545,+61.484439850,-1.614917994,+0.054825321,-19.232847214,-14.296700478,-750.397888184,+17.669277191,+175.450149536,+10.966249466,+0.665481269,+0.187280342,+0.003792993,+0.017077884,-0.020195849,+0.070997678,+0.122349404,+0.053497002,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+41.151088715,-1.546332002,-237.958984375,+11.382360458,+0.000001907,-0.000003815,+0.000000000,+0.000000000,-358.033752441,+18.673269272,-3.997237682,-13.961008072,+23.100662231,+25.784149170,+19.718229294,+25.678096771,+58.179317474,+55.748863220,+61.022571564,+59.628757477,1,1,1,1,true,true
2,0.050000004,released,-21.498126984,-17.028472900,+12.539957047,+0.503095984,-0.614164770,-0.110112190,-0.045887083,-0.158772185,+46.148445129,+46.148445129,+302.408294678,-1.667584300,+0.186968476,-20.018581390,-14.037384987,-809.204162598,-67.879150391,+169.283935547,+32.446475983,+0.734136283,+0.529569268,+0.004336716,+0.016321318,-0.024910729,+0.066879079,+0.120417260,+0.052175701,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+101.569381714,-45.196525574,-588.068969727,+333.525970459,+0.000005722,+0.000000000,+0.000000000,+0.000000000,-438.707855225,+21.920307159,-4.885676384,-13.186620712,+22.116588593,+25.781150818,+18.436811447,+25.859086990,+57.430816650,+55.855117798,+60.465454102,+59.785064697,1,1,1,1,true,true
3,0.066666670,released,-22.732383728,-16.826107025,+12.513549805,+0.393170118,-0.592160702,-0.085870743,-0.047739446,-0.163080812,+70.240829468,+70.240829468,+449.614990234,-1.845622420,+0.091102526,-21.211137772,-13.679454803,-886.641235352,-100.984283447,+174.985519409,+20.094038010,+0.938318610,+0.310071349,+0.005362264,+0.015431012,-0.032132760,+0.061985672,+0.117346510,+0.053902894,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+138.844909668,-75.930152893,-807.690612793,+558.993835449,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-471.217346191,+36.504295349,-6.254773140,-12.241856575,+20.864511490,+25.816276550,+16.909940720,+26.087154388,+56.904331207,+56.364307404,+60.075347900,+60.137748718,1,1,1,1,true,true
4,0.083333336,released,-24.038803101,-16.720808029,+12.483510971,+0.222992137,-0.567726672,-0.048585415,-0.049589053,-0.182799190,+84.961502075,+84.961502075,+670.296325684,-1.839145899,-0.104576439,-22.562999725,-13.450664520,-957.374572754,-179.078445435,+182.309082031,+21.775938034,+1.136926174,+0.317497969,+0.006236257,+0.014580220,-0.037461996,+0.058133800,+0.118055098,+0.055198558,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+200.198928833,-123.354919434,-1170.576904297,+905.420776367,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-520.128906250,+45.334236145,-7.296290398,-11.497722626,+19.481489182,+25.745347977,+15.357517242,+26.143781662,+56.386657715,+57.125858307,+59.697025299,+60.654323578,1,1,1,1,true,true
5,0.100000009,released,-25.293668747,-16.804096222,+12.457885742,+0.051087059,-0.553542435,-0.011107922,-0.051755361,-0.195380270,+107.029632568,+107.029632568,+804.757934570,-1.641762018,-0.312698781,-23.881347656,-13.517455101,-1004.130859375,-264.107421875,+186.688964844,+20.813335419,+1.358444691,+0.285919935,+0.007276513,+0.013737343,-0.043633811,+0.054830488,+0.121024542,+0.055632036,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+241.492843628,-158.149429321,-1418.020874023,+1159.773193359,+0.000003815,+0.000007629,+0.000000000,+0.000000000,-562.937011719,+34.638954163,-8.550422668,-10.850557327,+18.256437302,+25.509328842,+13.892310143,+26.012510300,+55.562206268,+57.952602386,+59.044231415,+61.213359833,1,1,1,1,true,true
6,0.116666675,released,-26.381433487,-17.117410660,+12.436982155,-0.099320881,-0.548274279,+0.021559238,-0.053798281,-0.195884988,+120.475791931,+120.475791931,+867.931518555,-1.339520812,-0.479487121,-25.007438660,-13.772120476,-1024.919067383,-328.128143311,+190.205520630,+23.386512756,+1.593697548,+0.302375078,+0.008378819,+0.012929464,-0.051116411,+0.051779859,+0.124163181,+0.054553941,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+267.140167236,-179.279678345,-1573.592407227,+1319.736083984,-0.000011444,+0.000000000,+0.000000000,+0.000000000,-599.534790039,+20.219575882,-10.062543869,-10.248929977,+17.290067673,+25.086853027,+12.616775513,+25.693206787,+54.531398773,+58.561000824,+58.183856964,+61.645778656,1,1,1,1,true,true
7,0.133333340,released,-27.224014282,-17.617574692,+12.416038513,-0.234926537,-0.547444046,+0.050909042,-0.055670686,-0.203524977,+126.793144226,+126.793151855,+872.826721191,-1.064400315,-0.608171344,-25.834598541,-14.211288452,-1037.019775391,-364.682647705,+193.628906250,+25.507604599,+1.772749305,+0.310495138,+0.009155396,+0.012172650,-0.057787642,+0.048578400,+0.125878975,+0.052974440,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+277.208984375,-186.533309937,-1637.138061523,+1384.237792969,+0.000000000,+0.000015259,+0.000000000,+0.000000000,-623.389709473,+8.085643768,-11.396558762,-9.619488716,+16.557970047,+24.523479462,+11.610057831,+25.253620148,+53.627384186,+58.867649078,+57.414848328,+61.886638641,1,1,1,1,true,true
8,0.150000006,released,-27.884500504,-18.254995346,+12.389434814,-0.362471431,-0.553261936,+0.078380585,-0.057408381,-0.210732386,+127.282669067,+127.282676697,+827.488586426,-0.900752485,-0.714919269,-26.385280609,-14.768048286,-1085.784423828,-384.565734863,+198.044433594,+28.184215546,+1.899215460,+0.324412644,+0.009589845,+0.011510437,-0.062805861,+0.045382231,+0.127293900,+0.051555596,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+271.209381104,-180.971313477,-1605.624267578,+1358.378784180,+0.000007629,+0.000007629,+0.000000000,+0.000000000,-625.443603516,+5.095592499,-12.383552551,-8.995105743,+15.953824997,+23.847768784,+10.785708427,+24.721265793,+52.837535858,+58.922592163,+56.772014618,+61.960987091,1,1,1,1,true,true
