# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.460000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-18.136545181,-17.754125595,+12.463505745,+0.862968624,-0.630055308,-0.187735081,-0.042631820,-0.129375875,-218.997848511,+12000.000000000,+10.899559021,-1.901878119,-0.375661433,-16.994785309,-15.078422546,-737.357238770,+91.554260254,+185.135391235,+7.146090984,-0.811740756,+0.159985885,-0.004384579,+0.022387888,+0.022835020,+0.094228685,+0.106823221,+0.056440070,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-5.815790653,-0.430448145,+33.622810364,+3.170676470,+0.000000000,+0.000000954,+0.000000000,+0.000000000,-225.096084595,-44.041458130,+4.554652691,-18.376010895,+24.322814941,+25.537828445,+22.615110397,+24.615074158,+61.958389282,+55.152137756,+64.420112610,+59.171543121,1,1,1,1,true,true
0,0.016666668,released,-19.740566254,-17.885068893,+12.473854065,+0.693401039,-0.634975076,-0.150967598,-0.044451654,-0.173915297,+41.089954376,+41.089954376,+153.996963501,-2.017609119,+0.030261442,-18.832025528,-15.021720886,-769.027954102,+62.304889679,+184.320526123,+8.269287109,+0.329103380,+0.154683694,+0.001785495,+0.018705808,-0.009323619,+0.078833982,+0.115935951,+0.054199636,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-4.420283318,+37.005294800,+25.628730774,-274.849487305,-0.000003338,-0.000003815,+0.000000000,+0.000000000,-303.987884521,+49.094806671,-1.848976016,-15.436568260,+23.305624008,+25.114860535,+20.437673569,+24.761911392,+59.743034363,+55.701587677,+62.377170563,+59.564888000,1,1,1,1,true,true
1,0.033333335,released,-21.236202240,-17.895755768,+12.496197701,+0.554069757,-0.618210137,-0.120846272,-0.046490911,-0.144832864,+55.399696350,+55.399696350,+91.984680176,-1.666458964,+0.004872926,-20.087869644,-15.051203728,-763.059204102,+1.169657826,+176.486679077,+11.301569939,+0.765868604,+0.192146569,+0.004339526,+0.017001759,-0.023312878,+0.070836112,+0.123148665,+0.053628020,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+47.786582947,-7.457789421,-276.827667236,+55.490539551,-0.000001907,+0.000000000,+0.000000000,+0.000000000,-365.515289307,+17.823720932,-4.605235100,-13.926318169,+22.276155472,+25.003587723,+18.756458282,+24.941324234,+57.779899597,+55.865890503,+60.691112518,+59.712093353,1,1,1,1,true,true
2,0.050000004,released,-22.443227768,-17.822267532,+12.488426208,+0.481988341,-0.609540284,-0.105058670,-0.048226081,-0.169665411,+49.198467255,+49.198467255,+331.438476562,-1.723044038,+0.140631378,-20.936302185,-14.847845078,-821.144775391,-84.161392212,+170.145797729,+32.451492310,+0.838131547,+0.525906444,+0.004925961,+0.016205925,-0.028613832,+0.066498265,+0.121371627,+0.052250560,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+108.759979248,-51.031333923,-631.093627930,+380.983795166,+0.000000000,-0.000003815,+0.000000000,+0.000000000,-447.962738037,+20.149181366,-5.605154037,-13.110322952,+21.234580994,+24.945579529,+17.391040802,+25.080581665,+56.972377777,+55.957077026,+60.079105377,+59.860054016,1,1,1,1,true,true
3,0.066666670,released,-23.756412506,-17.679611206,+12.460695267,+0.353312552,-0.583507597,-0.076839447,-0.050218940,-0.181365192,+73.143844604,+73.143844604,+479.678741455,-1.907582402,+0.025625423,-22.199359894,-14.547104836,-901.488281250,-115.840751648,+175.968032837,+20.332181931,+1.043654680,+0.311028987,+0.005930933,+0.015297374,-0.036067337,+0.061478239,+0.118426122,+0.054000095,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+147.633132935,-81.999801636,-861.137634277,+611.230468750,-0.000007629,+0.000000000,+0.000000000,+0.000000000,-482.219451904,+31.594509125,-7.013506889,-12.141249657,+19.909982681,+24.923072815,+15.781234741,+25.259792328,+56.416095734,+56.457321167,+59.663585663,+60.206394196,1,1,1,1,true,true
4,0.083333336,released,-25.150239944,-17.646823883,+12.429855347,+0.185890347,-0.562664390,-0.040327549,-0.052276623,-0.205598950,+87.967880249,+87.967880249,+704.320068359,-1.911253333,-0.181247145,-23.626466751,-14.389194489,-973.634521484,-194.255538940,+183.441986084,+22.095520020,+1.242114663,+0.319384724,+0.006771158,+0.014454728,-0.041421905,+0.057628382,+0.119231828,+0.055276908,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+211.087127686,-130.491882324,-1238.385742188,+970.842285156,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-533.611022949,+39.655220032,-8.055185318,-11.396659851,+18.438196182,+24.779430389,+14.135602951,+25.248041153,+55.885101318,+57.202449799,+59.275157928,+60.711479187,1,1,1,1,true,true
5,0.100000009,released,-26.503755569,-17.810606003,+12.403294563,+0.006808550,-0.547045648,-0.001473904,-0.054645747,-0.217315450,+110.431999207,+110.432006836,+842.792297363,-1.722134352,-0.395217568,-25.025470734,-14.527591705,-1022.349487305,-283.273712158,+188.026428223,+21.738750458,+1.467087507,+0.296015441,+0.007802560,+0.013616948,-0.047796167,+0.054313388,+0.122371592,+0.055595141,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+254.575408936,-166.406845093,-1500.973388672,+1238.872558594,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-579.022216797,+32.269935608,-9.345700264,-10.747744560,+17.116954803,+24.458648682,+12.562455177,+25.038526535,+55.035961151,+58.008724213,+58.599811554,+61.258106232,1,1,1,1,true,true
6,0.116666675,released,-27.706033707,-18.212158203,+12.381244659,-0.156292617,-0.539775789,+0.033773899,-0.056950375,-0.219447479,+124.279220581,+124.279228210,+903.221557617,-1.429544330,-0.583883762,-26.270484924,-14.880836487,-1042.334594727,-348.193847656,+191.808258057,+22.871879578,+1.703400135,+0.293161988,+0.008880745,+0.012817573,-0.055538420,+0.051248804,+0.125788525,+0.054688446,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+280.025817871,-187.469085693,-1657.489501953,+1402.968383789,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-615.918579102,+16.558532715,-10.904698372,-10.142774582,+16.045030594,+23.947021484,+11.165558815,+24.635854721,+53.969493866,+58.626407623,+57.705696106,+61.694293976,1,1,1,1,true,true
7,0.133333340,released,-28.696891785,-18.820819855,+12.359138489,-0.304032475,-0.540937364,+0.065582752,-0.059115272,-0.223197758,+130.322158813,+130.322158813,+902.112060547,-1.164356709,-0.722247243,-27.226095200,-15.426759720,-1066.935058594,-384.391784668,+195.740966797,+25.805927277,+1.887511969,+0.310857177,+0.009642907,+0.012045960,-0.062731780,+0.048000608,+0.128537297,+0.053080190,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+288.589141846,-194.132812500,-1713.688964844,+1467.605957031,-0.000007629,-0.000007629,+0.000000000,+0.000000000,-638.408386230,+4.139122009,-12.332479477,-9.503125191,+15.194319725,+23.271120071,+9.996985435,+24.093227386,+52.916984558,+58.933151245,+56.819358826,+61.933418274,1,1,1,1,true,true
8,0.150000006,released,-29.525379181,-19.581188202,+12.331142426,-0.441666901,-0.547267735,+0.095057011,-0.061202142,-0.229506940,+130.211212158,+130.211212158,+859.150451660,-1.000169992,-0.835426927,-27.932905197,-16.100503922,-1120.240356445,-402.557495117,+198.695434570,+28.736831665,+2.004699707,+0.325954467,+0.010089309,+0.011342742,-0.068966404,+0.044645853,+0.130742028,+0.051548522,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+283.634826660,-189.766342163,-1689.711547852,+1455.027832031,-0.000022888,+0.000000000,+0.000000000,+0.000000000,-644.810974121,+1.153816223,-13.543257713,-8.847917557,+14.461302757,+22.466716766,+8.974789619,+23.448646545,+51.930961609,+58.962772369,+56.003658295,+61.986080170,1,1,1,1,true,true
