# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.490000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-19.766899109,-19.074729919,+12.401586533,+0.745551765,-0.624590516,-0.161382675,-0.045389500,-0.115312412,+160.086608887,+12000.000000000,+109.448242188,-1.673291802,-0.582700014,-18.542984009,-16.381080627,-734.913879395,+99.756256104,+183.293426514,+9.753820419,-0.551795363,+0.215571985,-0.003010448,+0.022101287,+0.015728626,+0.093054339,+0.107484721,+0.057447847,+0.000000119,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+43.611484528,+10.316090584,-252.874847412,-77.606208801,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-263.554199219,-32.775127411,+3.135582924,-18.144207001,+22.846216202,+24.153261185,+20.830396652,+23.323963165,+61.516349792,+55.400978088,+64.034713745,+59.325912476,1,1,1,1,true,true
0,0.016666668,released,-21.268009186,-19.332363129,+12.414580345,+0.556618452,-0.634540498,-0.120609283,-0.047948897,-0.199020565,+50.944824219,+50.944824219,+125.158332825,-1.911755204,+0.017969742,-20.256610870,-16.395061493,-794.086425781,+26.540262222,+182.990295410,+22.211463928,+0.511308610,+0.410864890,+0.002794184,+0.018497875,-0.014613356,+0.078111507,+0.115549281,+0.053403582,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+10.644139290,+27.181114197,-61.948692322,-207.393707275,-0.000002861,-0.000003815,+0.000000000,+0.000000000,-307.064025879,+86.699966431,-2.891533375,-15.304342270,+21.835014343,+23.549390793,+18.763740540,+23.308839798,+59.396667480,+55.703926086,+62.069080353,+59.602222443,1,1,1,1,true,true
1,0.033333335,released,-22.683610916,-19.281824112,+12.435516357,+0.436167389,-0.608878374,-0.094667912,-0.050264925,-0.159342170,+52.515830994,+52.515834808,+116.884002686,-1.603573203,+0.136783421,-21.371429443,-16.279083252,-802.658813477,-75.751876831,+174.344223022,+15.630514145,+0.892629504,+0.260337412,+0.005119926,+0.016655717,-0.027415961,+0.068923682,+0.122749120,+0.052700747,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+52.938846588,-12.264945030,-308.089111328,+93.811691284,-0.000003815,-0.000003815,+0.000000000,+0.000000000,-359.665039062,+68.773086548,-5.420086861,-13.571737289,+20.805465698,+23.448867798,+17.147020340,+23.563032150,+57.565471649,+55.872646332,+60.508846283,+59.763877869,1,1,1,1,true,true
2,0.050000004,released,-23.868553162,-19.134790421,+12.420846939,+0.395893276,-0.595862746,-0.085824966,-0.052128047,-0.157699972,+51.688400269,+51.688400269,+313.591125488,-1.665706396,+0.052343149,-22.289707184,-16.080932617,-860.179077148,-114.157592773,+168.346786499,+17.759765625,+0.958969831,+0.285708159,+0.005696395,+0.016087383,-0.032690879,+0.065261357,+0.121898651,+0.054705195,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+100.811759949,-49.541007996,-587.943420410,+377.027923584,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-429.330230713,+10.382129669,-6.424301624,-12.870371819,+19.775037766,+23.543653488,+15.793620110,+23.798620224,+56.702156067,+56.316036224,+59.857124329,+60.110687256,1,1,1,1,true,true
3,0.066666670,released,-25.144386292,-19.103580475,+12.386363983,+0.251581907,-0.576448381,-0.054388046,-0.053782921,-0.189119473,+71.359115601,+71.359115601,+501.232971191,-1.785448551,-0.130790085,-23.522186279,-15.872098923,-936.711120605,-169.835708618,+174.379302979,+25.700958252,+1.170765162,+0.393324375,+0.006713900,+0.015303880,-0.040373199,+0.061658394,+0.120090775,+0.055774018,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+155.413146973,-86.545104980,-910.945190430,+657.304687500,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-482.321960449,+17.999855042,-7.886492729,-12.170942307,+18.532922745,+23.433219910,+14.239869118,+23.827842712,+55.991859436,+57.004310608,+59.312335968,+60.594989777,1,1,1,1,true,true
4,0.083333336,released,-26.471357346,-19.217655182,+12.355327606,+0.062888011,-0.555661976,-0.013561249,-0.055967689,-0.218618676,+90.123298645,+90.123298645,+672.677856445,-1.789485812,-0.327258348,-24.871356964,-15.930644989,-1000.541320801,-246.349090576,+181.659149170,+22.774393082,+1.364764929,+0.330168337,+0.007512779,+0.014497350,-0.045952685,+0.058371130,+0.121095300,+0.056229301,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+204.921661377,-124.912063599,-1207.797851562,+949.607849121,-0.000003815,-0.000007629,+0.000000000,+0.000000000,-525.141845703,+36.270805359,-8.967237473,-11.530349731,+17.179372787,+23.145568848,+12.684664726,+23.658271790,+55.351898193,+57.777114868,+58.825084686,+61.114467621,1,1,1,1,true,true
5,0.100000009,released,-27.790706635,-19.499973297,+12.331991196,-0.108031258,-0.541600645,+0.023252010,-0.058364283,-0.227194458,+107.267784119,+107.267784119,+799.982727051,-1.666839242,-0.463905364,-26.204097748,-16.173780441,-1047.721313477,-320.479553223,+186.856994629,+22.887855530,+1.573630810,+0.313437045,+0.008421578,+0.013694470,-0.052217472,+0.055234689,+0.123902358,+0.055630006,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+245.762374878,-157.482666016,-1455.998046875,+1202.338623047,+0.000000000,+0.000015259,+0.000000000,+0.000000000,-571.063110352,+39.033740997,-10.215646744,-10.918130875,+15.902330399,+22.710002899,+11.155303001,+23.335294724,+54.491588593,+58.450618744,+58.135444641,+61.578304291,1,1,1,1,true,true
6,0.116666675,released,-29.009628296,-19.938354492,+12.311172485,-0.267482936,-0.533999741,+0.057474613,-0.060761958,-0.229567260,+119.998275757,+119.998275757,+867.242553711,-1.442812920,-0.559191287,-27.426593781,-16.564718246,-1076.941650391,-378.386138916,+191.051147461,+24.790416718,+1.790628910,+0.317780614,+0.009372511,+0.012818688,-0.059719868,+0.051591929,+0.127032503,+0.054332510,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+272.868072510,-179.331817627,-1623.954589844,+1379.288818359,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-610.344726562,+26.060316086,-11.708955765,-10.206482887,+14.794386864,+22.163864136,+9.734791756,+22.927320480,+53.457523346,+58.916072845,+57.268917084,+61.913414001,1,1,1,1,true,true
7,0.133333340,released,-30.085727692,-20.515960693,+12.286548615,-0.427053839,-0.533852100,+0.091579437,-0.063039683,-0.231404275,+126.724250793,+126.724258423,+872.190063477,-1.231177449,-0.659294665,-28.433135986,-17.070737839,-1125.175659180,-415.781982422,+195.861526489,+27.338758469,+1.969152212,+0.326692760,+0.010053798,+0.011949803,-0.066816024,+0.047656532,+0.130485371,+0.052885011,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+283.294342041,-187.842651367,-1692.720214844,+1459.963623047,+0.000007629,+0.000007629,+0.000000000,+0.000000000,-632.429016113,+6.752376556,-13.105697632,-9.437421799,+13.853477478,+21.522748947,+8.464892387,+22.448963165,+52.325660706,+59.149173737,+56.329082489,+62.095344543,1,1,1,1,true,true
8,0.150000006,released,-31.045667648,-21.228252411,+12.254373550,-0.576708674,-0.538973987,+0.123350143,-0.065259248,-0.236713871,+127.219009399,+127.219009399,+854.302551270,-1.078664541,-0.783752203,-29.272184372,-17.674055099,-1183.883789062,-441.834503174,+197.878173828,+30.246362686,+2.074954033,+0.338452548,+0.010486018,+0.011189859,-0.073813401,+0.043939460,+0.133481339,+0.051652603,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+286.801177979,-190.378570557,-1720.615478516,+1500.283691406,-0.000015259,-0.000007629,+0.000000000,+0.000000000,-649.492004395,-3.846782684,-14.452850342,-8.712777138,+13.014046669,+20.766132355,+7.289180756,+21.867731094,+51.181667328,+59.188087463,+55.373092651,+62.144275665,1,1,1,1,true,true
9,0.166666672,released,-31.926317215,-22.067615509,+12.217097282,-0.724741638,-0.544095039,+0.154543877,-0.067406744,-0.242506132,+125.430259705,+125.430259705,+825.618103027,-1.012209892,-0.920506358,-29.987308502,-18.402887344,-1196.247924805,-522.664245605,+198.141174316,+32.548435211,+2.114229202,+0.342744529,+0.010670317,+0.010530292,-0.080144703,+0.040546913,+0.135843471,+0.050780628,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+286.948822021,-188.801651001,-1728.893676758,+1514.121093750,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-660.764343262,+5.531806946,-15.646813393,-8.056674957,+12.216086388,+19.874689102,+6.183830738,+21.162107468,+50.155769348,+59.151538849,+54.510372162,+62.144130707,1,1,1,1,true,true
10,0.183333337,released,-32.255558014,-22.970607758,+12.164962769,-0.823260665,-0.565804303,+0.174805641,-0.068757534,-0.247130856,+122.561805725,+122.561813354,+726.590515137,-0.336967379,-1.007143259,-30.382175446,-19.140733719,-1276.413940430,-593.241821289,+179.366607666,+35.168483734,+1.455459118,+0.351122528,+0.008114438,+0.009984011,-0.064779855,+0.037681818,+0.149684489,+0.050287146,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+261.885955811,-167.272583008,-1575.928466797,+1369.329223633,+0.000015259,-0.000015259,+0.000000000,+0.000000000,+523.937805176,+43.808227539,-12.830972672,-7.504437923,+11.644170761,+18.892742157,+6.514681816,+20.366079330,+49.642856598,+59.191879272,+53.491287231,+62.201217651,1,1,1,1,true,true
11,0.200000018,released,-32.375965118,-23.918109894,+12.134733200,-0.779960215,-0.567209125,+0.165198803,-0.070786498,-0.242798179,+112.659049988,+112.659049988,+736.230590820,-0.534124672,-1.008598566,-30.321676254,-20.114196777,-1352.727539062,-588.653381348,+175.154556274,+40.934478760,+1.509122610,+0.381503224,+0.008615948,+0.009319850,-0.077656567,+0.034452196,+0.141914532,+0.050474774,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+272.293029785,-173.999603271,-1636.092285156,+1452.879394531,+0.000015259,+0.000007629,+0.000000000,+0.000000000,+628.944824219,+84.462364197,-15.389513016,-6.895102978,+12.332671165,+17.866432190,+5.996092796,+19.542617798,+47.776958466,+59.234729767,+52.699768066,+62.250148773,1,1,1,1,true,true
12,0.216666684,released,-32.707916260,-24.875408173,+12.114109039,-0.822673321,-0.571014464,+0.173950672,-0.071929246,-0.179489300,+113.623062134,+113.623062134,+619.357421875,-0.638423443,-1.157209635,-30.200710297,-20.975460052,-1364.093139648,-548.554931641,+198.848159790,+39.247077942,+1.831581473,+0.375701129,+0.009210955,+0.009572715,-0.091730103,+0.034796402,+0.137589589,+0.049768262,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+228.017028809,-149.200820923,-1372.722656250,+1272.447143555,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+435.564697266,+65.684692383,-17.899648666,-6.978761673,+12.219730377,+17.025648117,+5.332150936,+18.537826538,+46.738750458,+60.222820282,+52.086322784,+62.250087738,1,1,1,1,true,true
13,0.233333349,released,-33.102924347,-25.852556229,+12.072643280,-0.959034622,-0.587197125,+0.202094555,-0.072958097,-0.267495602,+101.935745239,+101.935745239,+614.146057129,-1.207368135,-1.158862710,-30.439743042,-21.876234055,-1417.573730469,-550.359130859,+208.755477905,+39.568283081,+1.810565114,+0.422117412,+0.008673138,+0.010668075,-0.091391087,+0.038365602,+0.134424329,+0.047571484,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+237.322906494,-142.633132935,-1436.480468750,+1245.898559570,+0.000015259,+0.000007629,+0.000000000,+0.000000000,+463.652832031,+31.048028946,-17.595474243,-7.691235542,+11.570759773,+16.055007935,+4.721982956,+17.644243240,+46.698497772,+59.436283112,+52.256244659,+62.064216614,1,1,1,1,true,true
14,0.250000000,released,-34.027442932,-26.937108994,+12.012110710,-1.080187321,-0.585919738,+0.226489067,-0.076330744,-0.330093026,+101.414611816,+101.414611816,+600.204772949,-1.774500847,-1.249643922,-31.137451172,-22.905727386,-1509.737792969,-591.028381348,+221.114273071,+40.180259705,+1.928772330,+0.377556682,+0.008722967,+0.009396572,-0.093197219,+0.033243351,+0.134178758,+0.048374221,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+231.336791992,-141.115859985,-1412.247436523,+1261.700927734,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+574.407043457,+15.885837555,-17.824556351,-6.694311142,+10.393419266,+14.875729561,+3.492432594,+16.778083801,+46.535552979,+59.213569641,+52.215503693,+61.991912842,1,1,1,1,true,true
15,0.266666681,released,-35.389122009,-28.163522720,+11.948675156,-1.136421919,-0.583933890,+0.237024784,-0.079832479,-0.263133228,+100.020477295,+100.020477295,+651.816772461,-1.990406871,-1.452778816,-31.950157166,-24.112443924,-1568.973266602,-683.692565918,+266.545379639,+42.308654785,+2.397942066,+0.377479672,+0.008996375,+0.008922044,-0.097276002,+0.031298444,+0.137683183,+0.049208604,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+286.543548584,-152.586624146,-1765.519897461,+1401.659179688,+0.000000000,+0.000007629,+0.000000000,+0.000000000,+664.892456055,+30.905139923,-18.552944183,-6.323993683,+8.959824562,+13.575433731,+1.873585701,+15.630009651,+45.979064941,+59.366054535,+51.728794098,+62.126579285,1,1,1,1,true,true
16,0.283333361,released,-36.236957550,-29.565845490,+11.897392273,-1.096543431,-0.559693038,+0.227723598,-0.082862362,-0.197998300,+105.181678772,+105.181678772,+673.631652832,-1.756864429,-1.659284115,-32.921283722,-25.639579773,-1606.058349609,-820.017395020,+166.389587402,+42.761199951,+1.424601078,+0.375809848,+0.008561840,+0.008788571,-0.094426438,+0.030769516,+0.126422733,+0.050045963,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+409.667358398,-148.577911377,-2540.396240234,+1410.657470703,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+817.271911621,+27.327720642,-17.949428558,-6.224232674,+7.880999565,+12.106007576,+1.019791603,+14.273181915,+46.879856110,+59.792919159,+52.473354340,+62.433807373,1,1,1,1,true,true
