# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-1.000000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-33.815814972,-31.345420837,+11.282749176,+0.485663563,-0.593302250,-0.095639706,-0.080571830,-0.019648477,+71.570373535,+12000.000000000,+764.422546387,+0.868093967,+0.144269362,-32.156124115,-28.234910965,-940.861450195,-208.763519287,+135.478683472,+23.215675354,-0.084998399,+0.577447295,-0.000627393,+0.024873164,+0.005645916,+0.085672140,+0.131391585,+0.099705577,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+195.882186890,-109.343750000,-1180.885742188,+1057.090576172,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-287.747680664,+14.138178825,+0.720201015,-16.797962189,+8.868641853,+11.194341660,+6.968862057,+11.097776413,+57.746364594,+59.015727997,+59.872676849,+62.018283844,1,1,1,1,true,true
0,0.016666668,released,-34.296104431,-31.081008911,+11.305737495,+0.284830272,-0.602119327,-0.056203842,-0.080208428,-0.046420306,+116.442253113,+116.442253113,+262.585876465,-0.275615305,+0.290959418,-33.229152679,-27.655473709,-1032.135498047,-145.889862061,+169.379638672,+21.395256042,+1.285639048,+0.447923094,+0.007590281,+0.020935627,-0.048399698,+0.071507342,+0.136167735,+0.098823883,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+87.401473999,-37.428150177,-526.330322266,+361.230590820,+0.000003815,+0.000003815,+0.000000000,+0.000000000,-375.110107422,-1.842633247,-9.890210152,-14.062783241,+10.212382317,+11.243521690,+5.510818481,+11.641144753,+53.422199249,+59.573642731,+56.722984314,+62.311660767,1,1,1,1,true,true
1,0.033333335,released,-34.797500610,-30.771793365,+11.329584122,+0.040493105,-0.584726453,-0.008007050,-0.079048403,-0.045457732,+66.258590698,+66.258590698,+357.729736328,-0.230885088,+0.350601614,-33.188426971,-27.205469131,-958.017333984,-216.990585327,+182.527130127,+24.886445999,+1.771172285,+0.514418900,+0.009703611,+0.020670645,-0.069161206,+0.070124216,+0.143774420,+0.095968880,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+115.839401245,-55.800125122,-698.531555176,+535.472473145,+0.000015259,+0.000007629,+0.000000000,+0.000000000,-419.437957764,-9.519322395,-13.733665466,-13.817269325,+10.253666878,+11.562191010,+4.520075321,+12.049607277,+50.720100403,+59.219001770,+54.552520752,+62.089160919,1,1,1,1,true,true
2,0.050000004,released,-35.205623627,-30.374389648,+11.295814514,-0.100957267,-0.560702145,+0.019903660,-0.079015173,-0.086510614,+75.772979736,+75.772979736,+463.532836914,-0.827095449,+0.410150021,-33.092315674,-26.703012466,-1025.566040039,-241.289657593,+177.084182739,+22.811422348,+1.599968433,+0.469655663,+0.009035072,+0.020588618,-0.073777601,+0.068709306,+0.140056521,+0.094619982,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+146.666320801,-75.815864563,-891.124450684,+721.763000488,+0.000015259,-0.000007629,+0.000000000,+0.000000000,-485.912719727,-42.944320679,-14.439028740,-13.554113388,+9.649038315,+11.946844101,+3.550035000,+12.497671127,+50.054264069,+59.209472656,+54.185562134,+61.960460663,1,1,1,1,true,true
3,0.066666670,released,-36.111553192,-29.963075638,+11.227584839,-0.379299313,-0.522068501,+0.074327946,-0.079816900,-0.143212616,+86.353286743,+86.353286743,+620.456909180,-1.229200244,+0.475429446,-33.859500885,-26.163078308,-1142.540405273,-311.045227051,+184.695968628,+25.314247131,+1.709302664,+0.492710620,+0.009254683,+0.019463768,-0.081200898,+0.063889913,+0.137650967,+0.093916573,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+198.630310059,-107.459228516,-1220.816406250,+1015.188476562,+0.000015259,+0.000007629,+0.000000000,+0.000000000,-537.225402832,-2.511241913,-15.735578537,-12.634479523,+8.426185608,+12.215034485,+2.008997679,+12.994844437,+49.581787109,+59.220619202,+53.928066254,+62.059730530,1,1,1,1,true,true
4,0.083333336,released,-37.094497681,-29.555192947,+11.166841507,-0.677685380,-0.486728549,+0.132085800,-0.081157811,-0.126130804,+102.045692444,+102.045692444,+794.078979492,-1.243486881,+0.387886882,-34.886348724,-25.598245621,-1228.434692383,-435.572479248,+187.548492432,+28.219055176,+1.765595078,+0.392664433,+0.009414072,+0.013914868,-0.083973587,+0.058637831,+0.138194799,+0.056450173,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+282.468750000,-142.882705688,-1752.876708984,+1337.724487305,-0.000007629,+0.000000000,+28.196287155,+0.000000000,-628.346252441,+19.148452759,-16.256704330,-11.603513718,+7.200623989,+12.450898170,+0.629750252,+13.422139168,+49.253097534,+59.681350708,+53.782749176,+62.398036957,1,1,1,1,true,true
5,0.100000009,released,-37.916099548,-29.212167740,+11.126710892,-0.982675910,-0.472357631,+0.190852165,-0.081613153,-0.082651161,+119.407897949,+119.407897949,+807.902160645,-0.765695453,+0.297065228,-35.861984253,-25.062187195,-1258.667968750,-545.589782715,+188.636886597,+29.966533661,+1.823081970,+0.394906223,+0.009664504,+0.013178241,-0.086525425,+0.054732349,+0.140078813,+0.056241125,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+317.609954834,-152.858261108,-1981.293945312,+1418.265380859,+0.000000000,+0.000000000,+253.657211304,+0.000000000,-847.232482910,+17.216043472,-16.820569992,-10.842794418,+6.392554760,+12.673439026,-0.376456112,+13.768712997,+48.749881744,+60.311489105,+53.477066040,+62.859813690,1,1,1,1,true,true
6,0.116666675,released,-38.306377411,-28.977973938,+11.100851059,-1.311967134,-0.473488063,+0.254233360,-0.081858799,-0.084415667,+120.790206909,+120.790214539,+806.429199219,-0.264514625,+0.201957211,-36.308105469,-24.572620392,-1295.182495117,-616.777709961,+193.626800537,+34.145103455,+1.908770323,+0.423365563,+0.009857986,+0.012399012,-0.089232400,+0.050939031,+0.141801968,+0.055512726,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+350.087524414,-161.028793335,-2185.177490234,+1482.659057617,+0.000015259,+0.000007629,+289.743652344,+0.000000000,-903.059020996,+1.897994995,-17.450931549,-10.099704742,+6.168326378,+12.835174561,-0.701760888,+14.046831131,+48.129474640,+60.907108307,+52.969753265,+63.299369812,1,1,1,1,true,true
7,0.133333340,released,-38.350910187,-28.863513947,+11.074628830,-1.640997648,-0.481273025,+0.317273140,-0.081866302,-0.085141733,+120.642921448,+120.642921448,+757.132873535,+0.114558280,+0.105925038,-36.234378815,-24.169456482,-1328.129028320,-658.937072754,+197.978546143,+38.085887909,+1.977475762,+0.441597819,+0.009988334,+0.011594788,-0.092831835,+0.047064498,+0.142814711,+0.054163530,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+354.872131348,-159.538970947,-2212.621582031,+1463.222900391,+0.000000000,-0.000007629,+282.951873779,+0.000000000,-897.607849121,-14.131278992,-18.202888489,-9.338435173,+6.280170918,+12.916296959,-0.719164252,+14.256179810,+47.504722595,+61.276294708,+52.416229248,+63.574024200,1,1,1,1,true,true
8,0.150000006,released,-38.129161835,-28.853357315,+11.035895348,-1.949983478,-0.489293277,+0.375736713,-0.081791624,-0.088271208,+115.713287354,+115.713287354,+698.129882812,+0.306793213,+0.027101658,-35.739730835,-23.873495102,-1367.659301758,-690.993774414,+199.464965820,+41.509662628,+1.992948771,+0.448584497,+0.009991473,+0.010806749,-0.095589936,+0.043137431,+0.142577812,+0.052548207,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+344.895996094,-154.035491943,-2148.564453125,+1413.316528320,+0.000045776,+0.000000000,+253.226089478,+0.000000000,-861.605529785,-15.621303558,-18.748138428,-8.569490433,+6.511471748,+12.903479576,-0.556257427,+14.393424034,+47.070137024,+61.385120392,+52.019149780,+63.659893036,1,1,1,1,true,true
