# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.450000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+16.323886871,+16.117944717,+12.622817039,-0.787941396,+0.652677178,+0.173602104,+0.038998339,+0.389533192,-44.966522217,+12000.000000000,+203.689086914,+0.255611390,+0.354002059,+13.559831619,+15.025479317,+219.705551147,-510.343475342,+14.711647987,+171.305862427,-0.324320436,+1.093511581,-0.022045147,+0.006383387,+0.092103265,+0.031561434,+0.054189190,+0.110336989,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-25.774692535,-58.203632355,+187.293930054,+335.397644043,+0.000000000,-0.000003815,+0.000000000,+0.000000000,+33.699325562,+188.261825562,+17.980697632,-6.186734200,+27.019414902,+26.481264114,+26.163841248,+25.084302902,+54.288200378,+63.320858002,+58.585262299,+65.489379883,1,1,1,1,true,true
0,0.016666668,released,+16.430822372,+17.109563828,+12.644851685,-0.679382503,+0.651240051,+0.149942875,+0.038947709,+0.428182006,-60.368911743,+60.368911743,+369.846710205,-0.198803604,+0.804878592,+13.337504387,+16.051528931,+196.979476929,-552.614685059,+15.556514740,+172.667892456,-0.294314146,+0.019468263,-0.018919028,+0.000112750,+0.078200661,+0.000805795,+0.052135572,+0.116113648,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-84.147979736,-17.282995224,+617.686645508,+99.734107971,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-73.773834229,+281.548767090,+15.340685844,-0.087475389,+26.644630432,+26.020673752,+26.329214096,+23.519470215,+54.420978546,+60.920932770,+58.700820923,+63.301109314,1,1,1,1,true,true
1,0.033333335,released,+16.195440292,+17.914394379,+12.664705276,-0.538531542,+0.633569479,+0.119040966,+0.040467568,+0.472470999,-76.984672546,+76.984672546,+251.003723145,-0.307509780,+0.427923620,+13.042137146,+16.675729752,+107.681411743,-587.439147949,+13.461095810,+170.789947510,-0.239891574,-0.347796381,-0.017821103,-0.002036399,+0.072295524,-0.010194939,+0.052140236,+0.120810747,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-43.555088043,-55.352294922,+318.971313477,+318.864196777,+0.000000000,-0.000001907,+0.000000000,+0.000000000,-50.885040283,+330.125701904,+14.227611542,+2.098176718,+26.818593979,+25.464818954,+26.703876495,+22.472238541,+54.498207092,+59.241744995,+58.800342560,+61.918392181,1,1,1,1,true,true
2,0.050000004,released,+15.927279472,+18.542804718,+12.645095825,-0.480946988,+0.627851009,+0.106146812,+0.041612960,+0.458565325,-65.100372314,+65.100372314,+167.885879517,-0.205310047,+0.493074507,+12.704321861,+17.149709702,+45.799457550,-595.228271484,+14.707429886,+170.869766235,-0.256308556,-0.393954515,-0.017427148,-0.002305584,+0.069767810,-0.012346696,+0.054385435,+0.119651556,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-11.270591736,-90.506683350,+81.973022461,+521.247131348,+0.000000000,+0.000000954,+0.000000000,+0.000000000,-9.668355942,+399.672088623,+13.741690636,+2.515114546,+27.020931244,+24.842695236,+26.988267899,+21.665655136,+55.065010071,+58.589790344,+59.204868317,+61.489055634,1,1,1,1,true,true
3,0.066666670,released,+15.765173912,+19.242799759,+12.608636856,-0.358037800,+0.610249221,+0.078791618,+0.042212963,+0.474630803,-56.788585663,+56.788589478,+193.489685059,-0.065935224,+0.554867804,+12.320240021,+17.928695679,-31.289964676,-603.219177246,+18.817768097,+178.012084961,-0.315375328,-0.628084540,-0.016759444,-0.003528325,+0.067138553,-0.019732744,+0.055577453,+0.117747493,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+9.708171844,-118.977149963,-70.327331543,+686.541381836,-0.000007629,-0.000004292,+0.000000000,+0.000000000,-41.575366974,+442.936248779,+13.230688095,+3.961029291,+27.022932053,+24.137348175,+27.073566437,+20.666696548,+55.906326294,+57.910419464,+59.780639648,+60.969264984,1,1,1,1,true,true
4,0.083333336,released,+15.652081490,+19.935180664,+12.579820633,-0.185763597,+0.594514132,+0.040786266,+0.043145515,+0.503402770,-59.348968506,+59.348968506,+344.239837646,-0.071733162,+0.498589277,+12.130984306,+18.708969116,-142.179840088,-627.748229980,+23.054252625,+184.503204346,-0.367156267,-0.825878143,-0.015925750,-0.004476226,+0.064170271,-0.025382414,+0.055270266,+0.117800124,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+40.668479919,-155.148574829,-294.181671143,+896.922546387,+0.000003815,-0.000001907,+0.000000000,+0.000000000,-89.021194458,+478.245086670,+12.664381027,+5.077483654,+26.932043076,+23.414009094,+27.071691513,+19.759849548,+56.784748077,+57.363162994,+60.403049469,+60.544357300,1,1,1,1,true,true
5,0.100000009,released,+15.540039062,+20.572137833,+12.559000015,-0.057486903,+0.581700981,+0.012600899,+0.044247530,+0.495205760,-74.423980713,+74.423980713,+436.317840576,-0.076380067,+0.425507218,+12.018898010,+19.359970093,-214.306854248,-656.111022949,+18.291316986,+187.241500854,-0.274230808,-0.975504160,-0.014992404,-0.005209872,+0.060537249,-0.029750645,+0.055417553,+0.118365370,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+62.783855438,-177.702575684,-452.831878662,+1028.915527344,+0.000000000,+0.000001907,+0.000000000,+0.000000000,-86.401519775,+500.239349365,+11.964178085,+5.950349331,+26.889841080,+22.770631790,+27.128293991,+18.974964142,+57.671260834,+56.877368927,+61.017982483,+60.165889740,1,1,1,1,true,true
6,0.116666675,released,+15.460031509,+21.118743896,+12.539134979,+0.054688841,+0.576262057,-0.011968613,+0.045157228,+0.480113149,-83.631790161,+83.631790161,+521.652832031,-0.096248046,+0.325544983,+11.873157501,+19.862524033,-270.773956299,-693.534667969,+24.341167450,+188.516815186,-0.342328846,-1.122037172,-0.014063781,-0.005951921,+0.056863591,-0.034221239,+0.054515734,+0.118645698,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+84.722763062,-201.472274780,-609.708801270,+1168.204223633,-0.000007629,-0.000001907,+0.000000000,+0.000000000,-63.834545135,+524.142456055,+11.254313469,+6.845188141,+26.874437332,+22.250223160,+27.205821991,+18.311225891,+58.361156464,+56.401710510,+61.520610809,+59.781604767,1,1,1,1,true,true
7,0.133333340,released,+15.417114258,+21.555273056,+12.516977310,+0.161416471,+0.575424850,-0.035263538,+0.045981675,+0.467300147,-92.165283203,+92.165283203,+576.479003906,-0.063925713,+0.229094371,+11.797122002,+20.198522568,-307.657012939,-738.210754395,+25.472883224,+189.173126221,-0.336128980,-1.231457710,-0.013195561,-0.006509686,+0.053113002,-0.037630998,+0.053761669,+0.118584715,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+101.246505737,-218.531677246,-727.501586914,+1268.839843750,+0.000007629,+0.000003815,+0.000000000,+0.000000000,-31.697717667,+536.737304688,+10.523754120,+7.526432037,+26.866628647,+21.827062607,+27.298095703,+17.792314529,+58.876663208,+56.024246216,+61.897197723,+59.477626801,1,1,1,1,true,true
8,0.150000006,released,+15.444044113,+21.889551163,+12.492430687,+0.256737143,+0.579254270,-0.055977821,+0.046693765,+0.453441113,-97.647903442,+97.647903442,+611.671386719,+0.017362703,+0.148245066,+11.757671356,+20.406805038,-336.267333984,-784.032531738,+27.757892609,+189.809082031,-0.345894367,-1.310058832,-0.012461117,-0.006901982,+0.049753938,-0.039958075,+0.052967150,+0.118442878,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+113.441566467,-231.514541626,-815.397460938,+1345.908325195,-0.000007629,+0.000003815,+0.000000000,+0.000000000,-11.892015457,+544.718688965,+9.865483284,+7.992432117,+26.803947449,+21.486076355,+27.333423615,+17.398441315,+59.211925507,+55.729637146,+62.151489258,+59.247474670,1,1,1,1,true,true
