# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.450000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-17.777090073,-17.468742371,+12.487798691,+0.865356266,-0.631756902,-0.188621521,-0.041775938,-0.129332110,-231.792221069,+12000.000000000,+23.996488571,-1.896323919,-0.358675182,-16.640773773,-14.791917801,-729.382934570,+98.386405945,+184.784088135,+7.225896358,-0.858210921,+0.162037611,-0.004644399,+0.022424569,+0.024171162,+0.094301395,+0.106652722,+0.056322321,+0.000000000,+0.000000030,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-10.702364922,+1.727131367,+61.835418701,-12.670363426,+0.000000000,-0.000000954,+0.000000000,+0.000000000,-220.592361450,-42.896751404,+4.816126347,-18.391220093,+24.667839050,+25.841394424,+23.017210007,+24.901670456,+62.112117767,+55.081012726,+64.542167664,+59.123897552,1,1,1,1,true,true
0,0.016666668,released,-19.361104965,-17.578992844,+12.498376846,+0.700971067,-0.636839390,-0.152915955,-0.043531165,-0.168654308,+42.399650574,+42.399650574,+170.440246582,-2.004556417,+0.053292379,-18.455976486,-14.713710785,-759.818481445,+69.012794495,+183.803405762,+8.300421715,+0.279467314,+0.155504093,+0.001520469,+0.018734481,-0.007924367,+0.078878112,+0.115691245,+0.054061197,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-7.730847836,+39.992206573,+44.791107178,-295.747619629,-0.000002384,+0.000000000,+0.000000000,+0.000000000,-301.156494141,+50.963531494,-1.574490309,-15.446908951,+23.669454575,+25.438581467,+20.860469818,+25.068895340,+59.915851593,+55.627925873,+62.517707825,+59.513687134,1,1,1,1,true,true
1,0.033333335,released,-20.833189011,-17.563489914,+12.521022797,+0.564196527,-0.620249212,-0.123299599,-0.045490805,-0.139479384,+57.044021606,+57.044025421,+77.819770813,-1.649202347,+0.032416817,-19.691696167,-14.713136673,-756.360168457,+8.122328758,+176.017333984,+11.397968292,+0.718947649,+0.194229349,+0.004084527,+0.017040700,-0.021858551,+0.070920996,+0.122764960,+0.053510077,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+44.794231415,-4.668469906,-259.265441895,+34.573394775,+0.000005722,-0.000003815,+0.000000000,+0.000000000,-362.306854248,+19.599845886,-4.320945740,-13.944737434,+22.657646179,+25.354063034,+19.201902390,+25.272306442,+57.968631744,+55.792625427,+60.847339630,+59.661487579,1,1,1,1,true,true
2,0.050000004,released,-22.012304306,-17.461137772,+12.513596535,+0.495628446,-0.611768842,-0.108249664,-0.047163513,-0.165191233,+47.781978607,+47.781978607,+317.646789551,-1.704439640,+0.163485885,-20.518381119,-14.482245445,-815.067687988,-76.275276184,+169.691421509,+32.140823364,+0.790097475,+0.522605121,+0.004656084,+0.016259855,-0.026910480,+0.066651851,+0.120914802,+0.052230857,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+105.250679016,-48.261268616,-610.097534180,+358.418090820,+0.000000954,-0.000003815,+0.000000000,+0.000000000,-443.522003174,+21.108978271,-5.273603439,-13.141546249,+21.636310577,+25.325994492,+17.868518829,+25.436092377,+57.188220978,+55.897933960,+60.260452271,+59.817413330,1,1,1,1,true,true
3,0.066666670,released,-23.295608521,-17.291208267,+12.486369133,+0.375095844,-0.587417722,-0.081745148,-0.049098112,-0.173602775,+71.764678955,+71.764678955,+467.249084473,-1.885796547,+0.052550521,-21.756019592,-14.155034065,-894.535827637,-108.394599915,+175.480697632,+20.192411423,+0.995476961,+0.310179114,+0.005672857,+0.015361172,-0.034267228,+0.061708555,+0.117928445,+0.053996354,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+143.899902344,-79.450645447,-838.319946289,+588.814941406,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-477.412902832,+33.141090393,-6.665462494,-12.187191010,+20.338951111,+25.330648422,+16.290378571,+25.637237549,+56.644096375,+56.409923553,+59.855545044,+60.171546936,1,1,1,1,true,true
4,0.083333336,released,-24.655303955,-17.228895187,+12.455868721,+0.206100166,-0.565075636,-0.044805527,-0.051074304,-0.196335226,+86.724906921,+86.724914551,+690.316040039,-1.883666754,-0.151066959,-23.154750824,-13.969841003,-966.101257324,-186.934844971,+182.883331299,+21.864917755,+1.194904208,+0.317374110,+0.006533697,+0.014515221,-0.039637711,+0.057876281,+0.118706793,+0.055268198,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+206.486160278,-127.500335693,-1209.526977539,+942.675170898,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-527.762207031,+41.645397186,-7.712788582,-11.445642471,+18.902906418,+25.216447830,+14.681140900,+25.652406693,+56.115314484,+57.165210724,+59.468547821,+60.683319092,1,1,1,1,true,true
5,0.100000009,released,-25.969573975,-17.361894608,+12.429759026,+0.032170091,-0.550358236,-0.006978989,-0.053371318,-0.207801759,+109.031608582,+109.031608582,+826.112854004,-1.690827966,-0.365385741,-24.523721695,-14.083049774,-1013.272521973,-273.106506348,+187.384780884,+21.062593460,+1.418992877,+0.288096666,+0.007572616,+0.013678120,-0.045943677,+0.054585971,+0.121780261,+0.055647653,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+248.620346069,-162.750793457,-1463.139282227,+1203.326660156,+0.000003815,+0.000000000,+0.000000000,+0.000000000,-571.705871582,+32.468757629,-8.991356850,-10.801350594,+17.620519638,+24.928714752,+13.150914192,+25.471990585,+55.273754120,+57.981945038,+58.800281525,+61.235710144,1,1,1,1,true,true
6,0.116666675,released,-27.125156403,-17.730356216,+12.408206940,-0.126737103,-0.543492496,+0.027446747,-0.055558383,-0.209475607,+122.611289978,+122.611289978,+888.873657227,-1.393709183,-0.541393280,-25.719711304,-14.397850037,-1033.563842773,-338.051513672,+191.018280029,+23.238119125,+1.655414343,+0.299131870,+0.008666261,+0.012872465,-0.053603381,+0.051523738,+0.125074968,+0.054598767,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+274.577148438,-183.996429443,-1621.705810547,+1366.895019531,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-608.962768555,+18.355655670,-10.535961151,-10.197148323,+16.592119217,+24.450126648,+11.803160667,+25.100435257,+54.220535278,+58.587753296,+57.918861389,+61.665840149,1,1,1,1,true,true
7,0.133333340,released,-28.052566528,-18.293561935,+12.386667252,-0.266556293,-0.544360816,+0.057626724,-0.057610571,-0.216279969,+128.887359619,+128.887359619,+889.980834961,-1.123119950,-0.672778070,-26.623931885,-14.900994301,-1051.467651367,-374.667358398,+194.791305542,+25.626152039,+1.838313580,+0.310119987,+0.009437350,+0.012101700,-0.060578801,+0.048260588,+0.127314776,+0.053002972,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+283.711547852,-190.789474487,-1680.597900391,+1430.535156250,-0.000007629,-0.000007629,+0.000000000,+0.000000000,-632.240234375,+6.005996704,-11.924983025,-9.554908752,+15.790287971,+23.820882797,+10.703544617,+24.602254868,+53.238891602,+58.888801575,+57.088035583,+61.901851654,1,1,1,1,true,true
8,0.150000006,released,-28.809783936,-19.000709534,+12.359197617,-0.400493979,-0.549875438,+0.086391449,-0.059547506,-0.221411005,+128.998077393,+128.998077393,+845.554870605,-0.960583389,-0.782919168,-27.262245178,-15.522891998,-1104.422241211,-393.532531738,+198.525115967,+28.461503983,+1.961673737,+0.324838638,+0.009881238,+0.011413263,-0.066248663,+0.044952292,+0.129205644,+0.051529754,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+278.070434570,-185.833679199,-1651.950195312,+1411.546630859,+0.000000000,-0.000015259,+0.000000000,+0.000000000,-636.232849121,+2.986129761,-13.032195091,-8.909276962,+15.110891342,+23.072248459,+9.765960693,+24.007125854,+52.337799072,+58.927711487,+56.349006653,+61.963191986,1,1,1,1,true,true
