# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.500000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+17.973155975,+18.229938507,+12.491052628,-0.814660549,+0.627541959,+0.177616119,+0.043488592,+0.440847218,-349.694732666,+12000.000000000,+281.149291992,+0.365476310,+0.858468175,+15.304923058,+17.112535477,+189.244338989,-512.633056641,+7.009660244,+183.138839722,-0.158603966,+0.857039571,-0.022626484,+0.004679726,+0.094771706,+0.024125535,+0.054859839,+0.109039232,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-20.047149658,-124.275505066,+148.848587036,+718.038269043,+0.000001907,-0.000001907,+0.000000000,+0.000000000,+44.908161163,+269.464508057,+18.476081848,-4.791575432,+25.358781815,+24.325645447,+24.486951828,+22.618589401,+54.279041290,+62.083129883,+58.588462830,+64.538108826,1,1,1,1,true,true
0,0.016666668,released,+18.268735886,+19.854379654,+12.502276421,-0.642573535,+0.631291330,+0.140219212,+0.045231510,+0.527506292,-68.114929199,+68.114929199,+300.226074219,+0.035342798,+1.290966272,+15.362282753,+18.926517487,+145.388336182,-546.992980957,+8.029813766,+183.410873413,-0.150498480,-0.308273196,-0.018742463,-0.001680779,+0.077877134,-0.008691896,+0.053654432,+0.118025869,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-55.320323944,-51.119949341,+415.522796631,+296.167175293,+0.000000000,-0.000001431,+0.000000000,+0.000000000,-29.751724243,+327.848144531,+15.260491371,+1.742996573,+24.731622696,+23.295215607,+24.508321762,+20.394523621,+54.821411133,+59.598896027,+58.938079834,+62.255580902,1,1,1,1,true,true
1,0.033333335,released,+18.390872955,+21.184610367,+12.523425102,-0.489591837,+0.614595294,+0.107015133,+0.048152346,+0.543182194,-70.022605896,+70.022605896,+148.171157837,+0.077527359,+0.843842804,+15.441412926,+20.049312592,+63.386539459,-562.651977539,+10.369042397,+178.430358887,-0.179185346,-0.757221222,-0.017280800,-0.004243792,+0.070885323,-0.022720523,+0.053240873,+0.125141159,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-6.450155735,-92.991401672,+48.588829041,+538.085937500,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-6.509540558,+390.181060791,+13.932575226,+4.532162666,+24.535257339,+22.418569565,+24.561855316,+18.853664398,+54.917869568,+57.548656464,+59.051067352,+60.507671356,1,1,1,1,true,true
2,0.050000004,released,+18.536321640,+22.301458359,+12.511552811,-0.399800926,+0.608124018,+0.087305069,+0.050394781,+0.525874794,-54.817115784,+54.817115784,+319.712158203,+0.122249350,+0.949363172,+15.537631035,+20.854820251,+1.549303412,-574.561584473,+23.414693832,+174.826599121,-0.390484571,-0.842101455,-0.016676903,-0.004816781,+0.067551546,-0.028069239,+0.053523690,+0.123553902,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+35.771327972,-140.476669312,-270.381835938,+814.006591797,+0.000000000,-0.000001907,+0.000000000,+0.000000000,+7.991737366,+475.806579590,+13.300067902,+5.546478271,+24.284435272,+21.451713562,+24.465612411,+17.551361084,+55.171234131,+56.693866730,+59.294918060,+59.861080170,1,1,1,1,true,true
3,0.066666670,released,+18.708152771,+23.516967773,+12.481033325,-0.258904457,+0.587106049,+0.056398869,+0.052223288,+0.550659895,-71.971214294,+71.971214294,+459.153198242,+0.188383490,+1.080908656,+15.467129707,+22.016813278,-66.714836121,-613.594055176,+25.571130753,+180.908126831,-0.402478844,-1.065716624,-0.015739579,-0.005890927,+0.063045062,-0.036179677,+0.053899314,+0.120590769,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+62.742679596,-178.934875488,-476.794433594,+1041.869750977,+0.000000000,+0.000003815,+0.000000000,+0.000000000,-37.548778534,+518.478515625,+12.433738708,+7.087885380,+23.900724411,+20.219089508,+24.283618927,+16.009777069,+55.691925049,+56.092197418,+59.676727295,+59.402683258,1,1,1,1,true,true
4,0.083333336,released,+18.911834717,+24.794988632,+12.449782372,-0.092150383,+0.566231728,+0.020023346,+0.054542016,+0.576422453,-85.915321350,+85.915321350,+635.294738770,+0.322261542,+1.086639524,+15.575526237,+23.342214584,-153.164352417,-670.755493164,+20.398607254,+187.593139648,-0.303570867,-1.258523583,-0.014881941,-0.006708793,+0.059146699,-0.041649729,+0.055133972,+0.120749988,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+100.351562500,-224.679534912,-764.775878906,+1315.394042969,+0.000015259,-0.000003815,+0.000000000,+0.000000000,-61.859085083,+554.213745117,+11.682676315,+8.146807671,+23.494176865,+18.844348907,+24.025476456,+14.467018127,+56.479515076,+55.632541656,+60.217117310,+59.068202972,1,1,1,1,true,true
5,0.100000009,released,+19.262746811,+26.079528809,+12.421257973,+0.072243065,+0.548002660,-0.015661716,+0.056944743,+0.558438063,-103.529479980,+103.529479980,+756.029907227,+0.506581485,+1.008774757,+15.880849838,+24.651741028,-242.543273926,-723.494995117,+20.699949265,+191.149932861,-0.290966511,-1.455404520,-0.014056387,-0.007613942,+0.055858545,-0.047329646,+0.055922989,+0.123035207,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+130.511520386,-259.451385498,-997.840087891,+1526.554809570,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-53.896419525,+588.921936035,+11.043228149,+9.285614014,+22.983562469,+17.554788589,+23.627197266,+12.971269608,+57.387718201,+54.962726593,+60.841629028,+58.542724609,1,1,1,1,true,true
6,0.116666675,released,+19.800994873,+27.273933411,+12.395993233,+0.226300985,+0.541927159,-0.048960686,+0.059263118,+0.539145231,-115.602989197,+115.602989197,+820.021484375,+0.638073742,+0.852104068,+16.367805481,+25.828845978,-323.347656250,-763.150024414,+25.467994690,+193.388458252,-0.336895108,-1.665734768,-0.013228175,-0.008613413,+0.052733216,-0.054284994,+0.055096738,+0.125812083,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+151.082550049,-282.370727539,-1163.627319336,+1668.309326172,-0.000015259,-0.000007629,+0.000000000,+0.000000000,-38.989601135,+619.721008301,+10.431617737,+10.677379608,+22.330997467,+16.457572937,+23.087333679,+11.602079391,+58.121559143,+54.078330994,+61.366775513,+57.805648804,1,1,1,1,true,true
7,0.133333340,released,+20.490957260,+28.321622849,+12.371465683,+0.360502601,+0.542356491,-0.077841759,+0.061574358,+0.523965836,-122.002151489,+122.002151489,+827.775512695,+0.759100199,+0.712121725,+17.020250320,+26.786350250,-369.855895996,-800.960937500,+26.035285950,+195.579452515,-0.323247641,-1.830019712,-0.012415752,-0.009356912,+0.049348749,-0.060689088,+0.053951103,+0.128086179,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+159.983306885,-290.414093018,-1245.773559570,+1722.094482422,+0.000007629,-0.000015259,+0.000000000,+0.000000000,-15.969276428,+636.609741211,+9.767799377,+11.940004349,+21.571941376,+15.523184776,+22.463632584,+10.407342911,+58.606838226,+53.195430756,+61.720222473,+57.063308716,1,1,1,1,true,true
8,0.150000006,released,+21.311264038,+29.265781403,+12.343297005,+0.486455590,+0.548502862,-0.104800224,+0.063819759,+0.512347758,-122.777542114,+122.777549744,+812.167602539,+0.868478000,+0.643349528,+17.772266388,+27.571025848,-396.058502197,-858.904907227,+29.042732239,+197.807830811,-0.338888139,-1.949265122,-0.011668604,-0.009854337,+0.045934014,-0.066310868,+0.052585259,+0.130142137,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+162.425567627,-293.051849365,-1283.902832031,+1744.251708984,+0.000015259,+0.000000000,+0.000000000,+0.000000000,-4.088623047,+646.678649902,+9.101140976,+13.026426315,+20.704866409,+14.664825439,+21.754276276,+9.306862831,+58.815547943,+52.334079742,+61.888721466,+56.353031158,1,1,1,1,true,true
9,0.166666672,released,+22.232044220,+30.051721573,+12.302896500,+0.600864112,+0.548530698,-0.129025936,+0.065882914,+0.453467280,-121.216758728,+121.216758728,+783.344299316,+0.971660018,+0.072129481,+18.621423721,+28.168962479,-508.070495605,-980.432678223,+31.497901917,+197.978302002,-0.344835639,-1.868215561,-0.010947892,-0.009436466,+0.042407289,-0.065914355,+0.051468920,+0.138069302,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+162.426025391,-290.347595215,-1308.399169922,+1730.098388672,+0.000000000,+0.000002384,+0.000000000,+0.000000000,-9.101257324,-454.722808838,+8.417937279,+13.024684906,+19.731763840,+12.950139999,+20.967544556,+8.932162285,+58.877277374,+52.878570557,+61.956226349,+55.641483307,1,1,1,1,true,true
