# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.480000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-19.084550858,-18.625303268,+12.417269707,+0.734798849,-0.621269107,-0.159255981,-0.044508390,-0.131648898,-63.427886963,+12000.000000000,+39.013271332,-1.974063158,-0.481052309,-17.832973480,-15.855950356,-701.525756836,+77.688919067,+188.349365234,+7.760620117,-0.629153490,+0.173948780,-0.003340354,+0.022414289,+0.017780099,+0.094000965,+0.105768219,+0.057244133,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+22.826410294,+0.902240753,-132.163513184,-6.740996838,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-261.680633545,-33.235717773,+3.577783585,-18.332420349,+23.387439728,+24.635812759,+21.468852997,+23.757827759,+61.554851532,+55.125209808,+64.071189880,+59.139141083,1,1,1,1,true,true
0,0.016666668,released,-20.780574799,-18.865236282,+12.425413132,+0.565059423,-0.628604412,-0.122545242,-0.047019091,-0.203833327,+43.901329041,+43.901329041,+126.719863892,-2.157184362,-0.099680349,-19.788215637,-15.967210770,-738.798583984,+36.195041656,+186.487411499,+9.113017082,+0.446841270,+0.170599937,+0.002396093,+0.018720467,-0.012829963,+0.078934833,+0.114553332,+0.055163458,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+5.296229362,+29.500066757,-30.794990540,-222.484863281,+0.000002146,-0.000003815,+0.000000000,+0.000000000,-309.911743164,+53.513229370,-2.517247915,-15.452915192,+22.218996048,+24.087144852,+19.226238251,+23.773773193,+59.612037659,+55.767284393,+62.253086090,+59.606708527,1,1,1,1,true,true
1,0.033333335,released,-22.406465530,-18.964487076,+12.448059082,+0.426762760,-0.610692799,-0.092720032,-0.049451780,-0.175969705,+52.671981812,+52.671985626,+157.475341797,-1.805924773,-0.021169096,-21.138801575,-16.034090042,-750.883056641,-59.862052917,+176.603851318,+17.330314636,+0.862463236,+0.290794462,+0.004883604,+0.016779525,-0.026365861,+0.070151389,+0.122570619,+0.053417340,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+63.257968903,-18.862419128,-367.756286621,+142.994079590,+0.000001907,+0.000007629,+0.000000000,+0.000000000,-373.150634766,+42.417186737,-5.191399097,-13.794506073,+21.067092896,+23.833471298,+17.445962906,+23.857810974,+57.747798920,+55.965167999,+60.651481628,+59.798816681,1,1,1,1,true,true
2,0.050000004,released,-23.765420914,-18.931451797,+12.442697525,+0.377576023,-0.601667225,-0.081997871,-0.051653702,-0.192051262,+55.747535706,+55.747535706,+375.664733887,-1.841837168,+0.076523095,-22.140802383,-15.921507835,-824.800109863,-121.379981995,+167.951614380,+27.752838135,+0.936517835,+0.440514445,+0.005576117,+0.015872771,-0.032232795,+0.065116473,+0.121648170,+0.052954596,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+117.755928040,-59.471885681,-686.118347168,+451.908843994,-0.000011444,+0.000000000,+0.000000000,+0.000000000,-446.811737061,+22.463399887,-6.305796623,-12.840446472,+19.926130295,+23.744659424,+15.955077171,+23.993581772,+56.871097565,+56.165634155,+59.977245331,+60.008201599,1,1,1,1,true,true
3,0.066666670,released,-25.217395782,-18.886590958,+12.416225433,+0.262816995,-0.578012705,-0.056953907,-0.053855579,-0.202275157,+77.566474915,+77.566474915,+546.352233887,-1.997715235,-0.089624748,-23.510608673,-15.709574699,-918.240905762,-143.123352051,+172.461303711,+21.702957153,+1.135084748,+0.324806988,+0.006581678,+0.014966024,-0.039825171,+0.060243301,+0.119312465,+0.054721273,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+164.338989258,-94.690246582,-963.110351562,+718.554199219,+0.000007629,+0.000007629,+0.000000000,+0.000000000,-486.944549561,+18.271419525,-7.737827301,-11.897071838,+18.506393433,+23.643476486,+14.236101151,+24.089273453,+56.226490021,+56.703647614,+59.488956451,+60.381011963,1,1,1,1,true,true
4,0.083333336,released,-26.733453751,-18.994373322,+12.386085510,+0.078798585,-0.554292500,-0.017034531,-0.056205601,-0.229536697,+94.635223389,+94.635223389,+762.627075195,-1.998835206,-0.334048748,-25.032829285,-15.719142914,-1002.424621582,-212.312393188,+179.585723877,+23.614757538,+1.328837514,+0.334728479,+0.007399461,+0.014174546,-0.045262989,+0.056686312,+0.120365113,+0.055722710,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+227.150985718,-141.763229370,-1340.014038086,+1076.036621094,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-538.618347168,+24.753910065,-8.791393280,-11.206157684,+16.939947128,+23.373729706,+12.481606483,+23.949041367,+55.620201111,+57.410736084,+59.039535522,+60.858264923,1,1,1,1,true,true
5,0.100000009,released,-28.220005035,-19.322492599,+12.360723495,-0.098278143,-0.541654885,+0.021202087,-0.058926817,-0.242519975,+116.262710571,+116.262710571,+890.078857422,-1.816628337,-0.556420028,-26.558015823,-16.020118713,-1058.344726562,-293.172851562,+184.946990967,+22.823297501,+1.555589676,+0.306075782,+0.008411003,+0.013410673,-0.051852379,+0.053648159,+0.123867333,+0.055650968,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+268.762756348,-175.431472778,-1595.040771484,+1337.137573242,+0.000007629,+0.000000000,+0.000000000,+0.000000000,-583.982421875,+21.083364487,-10.116758347,-10.609760284,+15.493033409,+22.893367767,+10.765781403,+23.582592010,+54.680854797,+58.113471985,+58.290817261,+61.333259583,1,1,1,1,true,true
6,0.116666675,released,-29.563331604,-19.885334015,+12.339073181,-0.257501334,-0.534872591,+0.055455208,-0.061584413,-0.238788649,+129.007888794,+129.007888794,+944.590209961,-1.518363833,-0.730631292,-27.943450928,-16.522001266,-1082.090454102,-357.050323486,+189.759216309,+24.077093124,+1.798078775,+0.304424733,+0.009475580,+0.012643750,-0.060060363,+0.050588824,+0.127927199,+0.054471031,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+293.234222412,-195.291656494,-1748.931884766,+1502.238891602,+0.000000000,+0.000015259,+0.000000000,+0.000000000,-623.977233887,+12.975402832,-11.762479782,-10.006879807,+14.284204483,+22.217067719,+9.201551437,+23.030408859,+53.482563019,+58.615642548,+57.286762238,+61.690341949,1,1,1,1,true,true
7,0.133333340,released,-30.708082199,-20.637388229,+12.315675735,-0.413098156,-0.535611033,+0.088796616,-0.064050473,-0.239910424,+134.459014893,+134.459014893,+929.959167480,-1.240815639,-0.854197383,-29.058948517,-17.208755493,-1115.527099609,-399.534606934,+194.960922241,+26.717020035,+1.993706942,+0.316920638,+0.010226187,+0.011862125,-0.068131678,+0.047148913,+0.131906226,+0.052818567,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+298.982574463,-199.460205078,-1790.662597656,+1555.702514648,+0.000015259,+0.000000000,+0.000000000,+0.000000000,-647.318237305,+5.380867004,-13.356850624,-9.332681656,+13.306133270,+21.391656876,+7.841432571,+22.361705780,+52.194114685,+58.847412109,+56.206233978,+61.876598358,1,1,1,1,true,true
8,0.150000006,released,-31.701194763,-21.531990051,+12.284776688,-0.556993544,-0.541626036,+0.119428635,-0.066438355,-0.246047109,+132.995895386,+132.995910645,+880.614868164,-1.061690688,-0.968140066,-29.948604584,-18.011783600,-1171.092773438,-425.955993652,+197.857223511,+29.386531830,+2.103760242,+0.327293128,+0.010632719,+0.011137522,-0.075842083,+0.043612156,+0.135376751,+0.051407270,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+293.296936035,-194.508819580,-1763.955688477,+1544.132690430,-0.000007629,+0.000000000,+0.000000000,+0.000000000,-658.689941406,+1.944976807,-14.840608597,-8.645079613,+12.456604958,+20.446853638,+6.608306885,+21.598726273,+50.913513184,+58.859630585,+55.134456635,+61.913154602,1,1,1,1,true,true
