# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.410000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+14.966693878,+14.936152458,+12.751884460,-0.455995291,+0.632327795,+0.101489544,+0.035716612,+0.375962973,-34.184730530,+12000.000000000,+203.785110474,+0.114641204,+0.256617874,+11.961730957,+13.656407356,+176.398712158,-490.869476318,+15.720193863,+168.789062500,-0.344191939,+1.161518216,-0.021894891,+0.006881478,+0.090273291,+0.034149341,+0.053654253,+0.110332891,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-27.204755783,-55.791431427,+194.707092285,+320.912200928,+0.000000954,+0.000000000,+0.000000000,+0.000000000,+34.411903381,+197.485137939,+17.650583267,-6.679052353,+28.373092651,+27.670276642,+27.502996445,+26.393487930,+54.573524475,+63.441040039,+58.690910339,+65.582176208,1,1,1,1,true,true
0,0.016666668,released,+14.941247940,+15.755648613,+12.776257515,-0.366568118,+0.632940650,+0.081741333,+0.035287529,+0.408633202,-60.378509521,+60.378509521,+357.534271240,-0.308022052,+0.680882514,+11.588630676,+14.499203682,+185.575164795,-525.364562988,+17.800815582,+170.145156860,-0.334323972,+0.150205374,-0.018781384,+0.000882807,+0.076781914,+0.004688121,+0.051927447,+0.114367306,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-81.231750488,-22.662048340,+585.417419434,+130.586059570,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-91.235290527,+290.896087646,+15.082819939,-0.844208717,+28.121120453,+27.329599380,+27.779380798,+25.005401611,+54.677013397,+61.372661591,+58.832942963,+63.666305542,1,1,1,1,true,true
1,0.033333335,released,+14.594544411,+16.386308670,+12.793946266,-0.230423868,+0.617095470,+0.051453114,+0.036379386,+0.455012083,-75.753433228,+75.753433228,+254.102203369,-0.401296437,+0.306335479,+11.240602493,+14.954154968,+87.459182739,-565.990295410,+14.821043015,+168.455398560,-0.261875182,-0.171814919,-0.017669147,-0.001019943,+0.071183391,-0.004862949,+0.052224346,+0.118034720,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-44.065502167,-57.921463013,+316.095550537,+333.290161133,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-68.564392090,+324.592987061,+14.024700165,+1.052212954,+28.399833679,+26.876243591,+28.246639252,+24.136566162,+54.820468903,+60.015064240,+59.003734589,+62.553035736,1,1,1,1,true,true
2,0.050000004,released,+14.235740662,+16.836601257,+12.771245956,-0.199034050,+0.616145790,+0.044364929,+0.037167720,+0.436577052,-65.410217285,+65.410217285,+187.350189209,-0.279694945,+0.338007927,+10.824551582,+15.288663864,+27.468828201,-574.072753906,+12.817769051,+168.277709961,-0.222081870,-0.175373927,-0.017326094,-0.001042170,+0.069167189,-0.005217705,+0.054754250,+0.117034256,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-16.912284851,-86.776412964,+120.239135742,+499.013000488,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-19.417949677,+379.665008545,+13.631824493,+1.123987556,+28.706838608,+26.389429092,+28.610605240,+23.547098160,+55.459758759,+59.597904205,+59.457912445,+62.327861786,1,1,1,1,true,true
3,0.066666670,released,+13.984687805,+17.326280594,+12.734863281,-0.079523832,+0.600173414,+0.017675400,+0.037286505,+0.440822363,-58.735019684,+58.735019684,+158.951812744,-0.199045420,+0.356440127,+10.324593544,+15.874045372,-55.859844208,-585.719055176,+22.418067932,+174.137603760,-0.372491032,-0.386095822,-0.016615661,-0.002217188,+0.066644922,-0.011676054,+0.055207379,+0.115441591,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+1.065181255,-112.118011475,-7.539830208,+645.507934570,-0.000003815,+0.000000477,+0.000000000,+0.000000000,-58.331211090,+418.658050537,+13.143175125,+2.403823853,+28.796117783,+25.902103424,+28.778781891,+22.802307129,+56.274593353,+59.019550323,+60.032146454,+61.891456604,1,1,1,1,true,true
4,0.083333336,released,+13.730096817,+17.768487930,+12.710816383,+0.072430767,+0.589190185,-0.016068459,+0.037711609,+0.464067221,-55.895179749,+55.895179749,+282.769836426,-0.246657267,+0.252006143,+10.016947746,+16.390323639,-152.453765869,-614.365051270,+23.042119980,+179.133514404,-0.363598108,-0.559666991,-0.015779715,-0.003124301,+0.063607842,-0.016657855,+0.054907009,+0.115373060,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+26.992740631,-140.671630859,-190.470245361,+810.697631836,+0.000000000,-0.000002623,+0.000000000,+0.000000000,-101.650726318,+444.405975342,+12.564373016,+3.396338940,+28.862564087,+25.439167023,+28.931859970,+22.185516357,+57.107250214,+58.542476654,+60.624919891,+61.520835876,1,1,1,1,true,true
5,0.100000009,released,+13.431531906,+18.094356537,+12.696777344,+0.177379802,+0.581584394,-0.039307594,+0.038152661,+0.448867500,-68.276985168,+68.276985168,+365.951049805,-0.308500439,+0.133680940,+9.683344841,+16.699819565,-213.521987915,-649.181335449,+21.165687561,+180.654617310,-0.315212101,-0.665835381,-0.014892600,-0.003685681,+0.060111869,-0.019694414,+0.054780614,+0.115403660,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+46.685432434,-160.470535278,-327.889343262,+925.407104492,+0.000000000,+0.000000954,+0.000000000,+0.000000000,-99.510940552,+461.787506104,+11.893080711,+4.014097214,+29.023979187,+25.091308594,+29.181606293,+21.753225327,+57.903457642,+58.189998627,+61.186912537,+61.256343842,1,1,1,1,true,true
6,0.116666675,released,+13.121178627,+18.287570953,+12.683013916,+0.267402083,+0.578626096,-0.059192657,+0.038275231,+0.426259398,-76.595108032,+76.595108032,+426.269470215,-0.335562676,+0.002005683,+9.303000450,+16.836631775,-251.276016235,-691.129821777,+23.876634598,+181.179092407,-0.336014241,-0.763575792,-0.014072931,-0.004214481,+0.056779213,-0.022528611,+0.054335494,+0.115088828,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+62.501121521,-176.929809570,-436.634094238,+1021.018127441,+0.000000000,-0.000002861,+0.000000000,+0.000000000,-70.712249756,+474.599456787,+11.249095917,+4.591645718,+29.266057968,+24.889741898,+29.493473053,+21.479234695,+58.558574677,+57.881381989,+61.657882690,+61.018741608,1,1,1,1,true,true
7,0.133333340,released,+12.834079742,+18.334495544,+12.665750504,+0.358062625,+0.580991507,-0.079154015,+0.038172722,+0.408258319,-82.626953125,+82.626953125,+463.338562012,-0.319161117,-0.135417446,+8.956894875,+16.795675278,-281.353851318,-736.978942871,+26.467857361,+181.536514282,-0.353445262,-0.829232752,-0.013353754,-0.004567856,+0.053715672,-0.024319541,+0.053670112,+0.114712879,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+73.776748657,-188.608230591,-513.073730469,+1088.933837891,-0.000003815,+0.000001907,+0.000000000,+0.000000000,-41.009540558,+479.431518555,+10.651185036,+4.962313652,+29.523040771,+24.827531815,+29.812284470,+21.389743805,+59.046566010,+57.651874542,+62.014316559,+60.845726013,1,1,1,1,true,true
8,0.150000006,released,+12.587484360,+18.214929581,+12.637233734,+0.439087093,+0.573924303,-0.096847534,+0.037491273,+0.322158962,-86.333854675,+86.333862305,+451.141296387,-0.277170479,-0.696058273,+8.626097679,+16.526710510,-401.988220215,-856.970581055,+28.376983643,+181.875976562,-0.362065434,-0.754736245,-0.012759123,-0.004149730,+0.051011004,-0.021543551,+0.052844077,+0.120545939,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+75.746612549,-186.912796021,-525.467346191,+1076.093994141,+0.000007629,+0.000000417,+0.000000000,+0.000000000,-30.214584351,-317.705139160,+10.122014999,+4.494587898,+29.750370026,+24.233818054,+30.097818375,+21.836858749,+59.365139008,+59.003944397,+62.256885529,+60.683685303,1,1,1,1,true,true
