# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.480000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+17.379283905,+17.347085953,+12.545143127,-0.820961773,+0.650669336,+0.179765224,+0.041571382,+0.391098678,-181.542449951,+12000.000000000,+243.382049561,+0.326353580,+0.362690568,+14.659265518,+16.273138046,+209.390808105,-520.020874023,+14.633412361,+173.328140259,-0.323050618,+0.934023142,-0.022076232,+0.005388756,+0.092487156,+0.026847612,+0.054540880,+0.110981315,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-27.114995956,-79.737487793,+199.970382690,+460.119873047,+0.000001907,+0.000003815,+0.000000000,+0.000000000,+31.541034698,+208.588195801,+18.048461914,-5.262726784,+25.928630829,+25.318040848,+25.108877182,+23.717790604,+54.367469788,+62.801345825,+58.636192322,+65.072372437,1,1,1,1,true,true
0,0.016666668,released,+17.554328918,+18.413818359,+12.565877914,-0.698727727,+0.650483787,+0.153249741,+0.042074244,+0.448407352,-64.338203430,+64.338203430,+348.983856201,-0.127974570,+0.851980865,+14.527955055,+17.385631561,+182.606262207,-561.984741211,+15.663531303,+174.712570190,-0.295220882,-0.154332608,-0.018847657,-0.000883351,+0.078127995,-0.004216082,+0.052498735,+0.116932362,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-75.350563049,-25.727582932,+562.083312988,+148.705474854,+0.000000000,+0.000001907,+0.000000000,+0.000000000,-68.964797974,+290.960205078,+15.321830750,+0.897704840,+25.469837189,+24.780664444,+25.213794708,+22.068515778,+54.518589020,+60.334522247,+58.767429352,+62.817901611,1,1,1,1,true,true
1,0.033333335,released,+17.403560638,+19.292516708,+12.584522247,-0.560926557,+0.630408287,+0.123206615,+0.043924328,+0.485545993,-74.898391724,+74.898391724,+225.517196655,-0.215034828,+0.500812888,+14.301767349,+18.069610596,+91.719497681,-589.817443848,+12.940383911,+172.318176270,-0.229048595,-0.514585197,-0.017700294,-0.002986250,+0.072000973,-0.015325584,+0.052498698,+0.121861741,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-34.803241730,-62.431758881,+259.279083252,+360.354248047,+0.000003815,+0.000000596,+0.000000000,+0.000000000,-46.794639587,+340.676330566,+14.165620804,+3.103392601,+25.555292130,+24.157260895,+25.513132095,+20.943698883,+54.589786530,+58.641029358,+58.863132477,+61.415676117,1,1,1,1,true,true
2,0.050000004,released,+17.228940964,+20.023916245,+12.563403130,-0.493702739,+0.622042775,+0.108258247,+0.045323022,+0.471795022,-62.551719666,+62.551719666,+138.067672729,-0.107709952,+0.596761405,+14.062815666,+18.632625580,+27.801538467,-599.752929688,+15.574596405,+171.909835815,-0.269516706,-0.569585085,-0.017304892,-0.003313278,+0.069457002,-0.018190704,+0.054622117,+0.120693915,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-1.280688524,-99.381034851,+9.487609863,+573.847839355,+0.000003815,+0.000004217,+0.000000000,+0.000000000,-6.498540878,+413.402587891,+13.677727699,+3.655083179,+25.663658142,+23.442581177,+25.710098267,+20.014253616,+55.130462646,+57.956588745,+59.258758545,+60.950092316,1,1,1,1,true,true
3,0.066666670,released,+17.167528152,+20.855482101,+12.525449753,-0.366782308,+0.603947818,+0.080183506,+0.046274759,+0.492054641,-53.806766510,+53.806766510,+247.453674316,+0.044174533,+0.678454578,+13.790979385,+19.528486252,-50.068702698,-614.307189941,+19.166551590,+178.831481934,-0.318621814,-0.807816863,-0.016623847,-0.004517196,+0.066706248,-0.025894932,+0.055858456,+0.118897796,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+21.439872742,-129.593734741,-158.421905518,+750.290405273,+0.000000000,-0.000000954,+0.000000000,+0.000000000,-36.775535583,+457.113037109,+13.142978668,+5.154384136,+25.563133240,+22.604808807,+25.702556610,+18.871908188,+55.962551117,+57.260692596,+59.830821991,+60.415252686,1,1,1,1,true,true
4,0.083333336,released,+17.171535492,+21.699861526,+12.494945526,-0.188877404,+0.586349189,+0.041190147,+0.047581874,+0.519286215,-64.745368958,+64.745368958,+403.592407227,+0.065154821,+0.644730568,+13.721818924,+20.449316025,-159.504608154,-645.074584961,+22.977878571,+185.241546631,-0.362711579,-1.008597493,-0.015785251,-0.005444769,+0.063669398,-0.031686548,+0.055658758,+0.119191036,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+53.619224548,-168.278137207,-396.245574951,+976.803100586,+0.000000000,-0.000005722,+0.000000000,+0.000000000,-82.234107971,+494.462249756,+12.561680794,+6.292598724,+25.355270386,+21.730726242,+25.591989517,+17.805515289,+56.842132568,+56.690567017,+60.452568054,+59.973278046,1,1,1,1,true,true
5,0.100000009,released,+17.200336456,+22.518934250,+12.472698212,-0.049506232,+0.572028279,+0.010776997,+0.049092889,+0.512212694,-80.359237671,+80.359237671,+501.721557617,+0.082418814,+0.592458308,+13.748096466,+21.275999069,-235.347534180,-678.653564453,+19.165208817,+188.192291260,-0.284526497,-1.172090054,-0.014845990,-0.006228151,+0.060003113,-0.036589220,+0.055717088,+0.120127931,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+77.438880920,-193.378250122,-571.782348633,+1125.120483398,-0.000007629,-0.000003815,+0.000000000,+0.000000000,-79.758621216,+520.020996094,+11.854413986,+7.267013550,+25.167638779,+20.919912338,+25.511539459,+16.825927734,+57.724273682,+56.130748749,+61.064811707,+59.532402039,1,1,1,1,true,true
6,0.116666675,released,+17.279333115,+23.270011902,+12.451652527,+0.074105076,+0.565703750,-0.016104698,+0.050472945,+0.499596089,-90.172157288,+90.172157288,+590.096069336,+0.081017807,+0.505933464,+13.765500069,+21.976577759,-293.894165039,-719.071289062,+24.546951294,+189.837982178,-0.341396749,-1.335660458,-0.013907908,-0.007035791,+0.056256179,-0.041800242,+0.054765154,+0.120914541,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+100.738571167,-219.076690674,-743.835998535,+1277.429931641,+0.000015259,-0.000003815,+0.000000000,+0.000000000,-57.351535797,+547.920654297,+11.129310608,+8.302895546,+24.989349365,+20.216159821,+25.438661575,+15.942689896,+58.404384613,+55.545021057,+61.559494019,+59.053634644,1,1,1,1,true,true
7,0.133333340,released,+17.414257050,+23.925949097,+12.427873611,+0.192673236,+0.564043641,-0.041792393,+0.051820658,+0.489156991,-99.009613037,+99.009613037,+647.435607910,+0.131020322,+0.422367066,+13.865087509,+22.524824142,-332.724731445,-764.628295898,+25.852821350,+191.055969238,-0.336391479,-1.463327527,-0.013011790,-0.007659156,+0.052352842,-0.046052847,+0.053926848,+0.121342830,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+118.637847900,-237.947433472,-876.865356445,+1390.393432617,+0.000007629,-0.000015259,+0.000000000,+0.000000000,-24.159528732,+565.726745605,+10.367677689,+9.144064903,+24.799320221,+19.595275879,+25.366432190,+15.184002876,+58.901702881,+55.040332794,+61.922382355,+58.640476227,1,1,1,1,true,true
8,0.150000006,released,+17.638284683,+24.494203568,+12.400834084,+0.301093519,+0.567078829,-0.065167904,+0.053099357,+0.478325635,-104.743560791,+104.743560791,+685.763977051,+0.231072992,+0.357060909,+14.020766258,+22.958351135,-363.643463135,-810.746398926,+28.260965347,+192.458297729,-0.345719457,-1.564423084,-0.012233108,-0.008128634,+0.048760321,-0.049344264,+0.053009052,+0.121627443,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+132.355834961,-252.912902832,-981.545898438,+1480.915527344,+0.000007629,-0.000003815,+0.000000000,+0.000000000,-3.341096878,+579.699829102,+9.665281296,+9.793323517,+24.534492493,+19.038808823,+25.222082138,+14.527929306,+59.209999084,+54.612789154,+62.156246185,+58.295810699,1,1,1,1,true,true
