# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.420000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,-16.999080658,-16.787155151,+12.576913834,+0.851031423,-0.651531875,-0.186822414,-0.038954251,-0.097402789,+0.166647419,+12000.000000000,+157.198165894,-1.097333431,-0.370708704,-15.987786293,-14.079759598,-737.547302246,+144.509017944,+172.824981689,+9.256595612,-0.947126865,+0.206821620,-0.005480266,+0.022343162,+0.027220942,+0.093809687,+0.109515831,+0.056659028,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-19.130975723,+31.202861786,+110.467704773,-226.810211182,-0.000001907,-0.000000477,+0.000000000,+0.000000000,-184.696472168,-110.857749939,+5.324410439,-18.294122696,+25.609724045,+26.560287476,+24.061725616,+25.611148834,+62.928161621,+55.026950836,+65.180297852,+59.171798706,1,1,1,1,true,true
0,0.016666668,released,-17.945135117,-16.867527008,+12.595178604,+0.727034152,-0.655266821,-0.159830570,-0.040163584,-0.114399530,-0.973159015,+55.719818115,+329.763214111,-1.358616590,+0.152935818,-17.039096832,-13.899757385,-772.892395020,+129.565750122,+174.147415161,+17.695705414,+0.109111741,+0.335313797,+0.000626548,+0.018948879,-0.002855744,+0.079719841,+0.115649901,+0.053474359,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-46.009235382,+65.655532837,+265.964355469,-481.570800781,+0.000000000,+0.000001907,+0.000000000,+0.000000000,-251.641998291,+73.790962219,-0.633105278,-15.615033150,+25.173963547,+26.211502075,+22.553731918,+25.775671005,+60.617282867,+55.405300140,+63.058010101,+59.370780945,1,1,1,1,true,true
1,0.033333335,released,-18.802715302,-16.599096298,+12.617067337,+0.605318367,-0.633734107,-0.133301735,-0.040900655,-0.084267147,+36.131622314,+72.976318359,+116.591964722,-1.124616861,+0.410589218,-17.579591751,-13.538701057,-781.544006348,+0.301778913,+168.701538086,+23.526365280,+0.467139572,+0.410304248,+0.002769030,+0.017440189,-0.014134087,+0.072255895,+0.119848803,+0.051327221,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+4.170494080,+28.551906586,-24.072650909,-209.798812866,+0.000000715,-0.000003815,+0.000000000,+0.000000000,-309.847625732,+93.988037109,-2.849736691,-14.226146698,+24.560913086,+26.323307037,+21.451791763,+26.173969269,+59.009449005,+55.382946014,+61.709827423,+59.435413361,1,1,1,1,true,true
2,0.050000004,released,-19.461881638,-16.099872589,+12.599458694,+0.582279623,-0.620543599,-0.128048897,-0.041771688,-0.086617410,+51.659194946,+51.659194946,+61.545043945,-1.261699677,+0.386300743,-18.069814682,-13.053452492,-825.207031250,-26.312049866,+166.235153198,+9.857458115,+0.493048996,+0.169436783,+0.002965973,+0.017188689,-0.016170770,+0.069592811,+0.117629170,+0.054303374,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+35.741012573,+3.424289703,-206.412841797,-24.903251648,+0.000002086,-0.000003815,+0.000000000,+0.000000000,-362.050567627,+34.728141785,-3.226683617,-13.718235016,+23.879980087,+26.798345566,+20.613367081,+26.728923798,+58.525360107,+55.827812195,+61.406547546,+59.758331299,1,1,1,1,true,true
3,0.066666670,released,-20.256210327,-15.677000999,+12.560541153,+0.457519233,-0.600051820,-0.100300789,-0.042250946,-0.105304509,+46.154502869,+46.154502869,+234.645675659,-1.397061348,+0.265848845,-18.924026489,-12.412261963,-883.231506348,-91.407905579,+173.599380493,+22.192796707,+0.694072545,+0.364759058,+0.003998128,+0.016435921,-0.022486944,+0.066300988,+0.115713373,+0.055685099,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+87.680862427,-33.166091919,-507.737243652,+239.183410645,-0.000000954,+0.000000000,+0.000000000,+0.000000000,-416.015686035,+40.999748230,-4.451397896,-13.082065582,+23.050485611,+27.087163925,+19.540250778,+27.111936569,+57.982639313,+56.617000580,+61.011413574,+60.301399231,1,1,1,1,true,true
4,0.083333336,released,-21.087797165,-15.321218491,+12.529711723,+0.278715134,-0.582538247,-0.060951233,-0.043246247,-0.124216944,+63.464565277,+63.464569092,+417.076232910,-1.338324070,+0.213486746,-19.835777283,-11.995253563,-929.178771973,-199.945068359,+180.126098633,+23.934135437,+0.894938767,+0.368599504,+0.004968402,+0.015400577,-0.028063662,+0.062328435,+0.116611600,+0.055647895,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+134.402359009,-71.716789246,-780.106079102,+514.446228027,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-456.383361816,+71.410064697,-5.557275295,-12.318138123,+22.208957672,+27.245725632,+18.508752823,+27.385625839,+57.371242523,+57.507560730,+60.541645050,+60.907585144,1,1,1,1,true,true
5,0.100000009,released,-21.851203918,-15.018468857,+12.510884285,+0.136991292,-0.570264220,-0.029912949,-0.044423521,-0.112445213,+81.707626343,+81.707626343,+548.291015625,-1.193043828,+0.176202551,-20.629808426,-11.662639618,-960.365600586,-276.607818604,+183.707977295,+20.446985245,+1.075448990,+0.294916093,+0.005854122,+0.014423451,-0.033249427,+0.058523726,+0.118342146,+0.055353340,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+169.400833130,-104.015136719,-984.811035156,+742.417480469,-0.000001907,+0.000000000,+0.000000000,+0.000000000,-493.721343994,+68.882987976,-6.603329659,-11.581697464,+21.500064850,+27.391445160,+17.604381561,+27.630992889,+56.664299011,+58.346046448,+59.981174469,+61.485195160,1,1,1,1,true,true
6,0.116666675,released,-22.479635239,-14.798704147,+12.495429993,+0.008496583,-0.563774884,-0.001852989,-0.045318473,-0.103254221,+94.829101562,+94.829101562,+648.002502441,-0.999444842,+0.139157355,-21.238719940,-11.385955811,-986.804931641,-322.342315674,+186.299346924,+23.085212708,+1.255330801,+0.311041474,+0.006738246,+0.013473624,-0.038854495,+0.054680560,+0.119471297,+0.054412823,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+201.009750366,-131.048492432,-1170.079101562,+931.960876465,-0.000003815,+0.000007629,+0.000000000,+0.000000000,-529.800109863,+44.553512573,-7.728784084,-10.833768845,+20.954650879,+27.515020370,+16.848730087,+27.853706360,+55.940700531,+58.975402832,+59.385787964,+61.937721252,1,1,1,1,true,true
7,0.133333340,released,-22.922498703,-14.673540115,+12.476283073,-0.117553510,-0.563290715,+0.025597572,-0.046044059,-0.108392887,+104.800254822,+104.800254822,+700.915771484,-0.810150385,+0.066677317,-21.621942520,-11.203073502,-1015.997558594,-348.980255127,+189.016921997,+25.833679199,+1.391356587,+0.325211525,+0.007361016,+0.012588665,-0.043204568,+0.050817080,+0.119662389,+0.053248879,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+221.888992310,-148.111495972,-1293.096923828,+1051.609985352,+0.000007629,-0.000007629,+0.000000000,+0.000000000,-552.651245117,+16.687742233,-8.600814819,-10.077057838,+20.554952621,+27.590566635,+16.298212051,+28.036441803,+55.386207581,+59.354995728,+58.928356171,+62.223018646,1,1,1,1,true,true
8,0.150000006,released,-23.191768646,-14.655630112,+12.451151848,-0.234871805,-0.566074371,+0.051041126,-0.046636797,-0.113273107,+110.091575623,+110.091575623,+720.967956543,-0.658060133,-0.042059537,-21.797033310,-11.096482277,-1051.426513672,-368.652618408,+191.721771240,+28.265163422,+1.482343912,+0.335658431,+0.007731745,+0.011875340,-0.045928508,+0.047422063,+0.119271591,+0.052129935,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+233.463546753,-157.029327393,-1362.059570312,+1115.863525391,-0.000003815,+0.000000000,+0.000000000,+0.000000000,-564.226562500,+3.357479095,-9.151556015,-9.411349297,+20.272583008,+27.578783035,+15.937181473,+28.128326416,+55.028690338,+59.517547607,+58.642677307,+62.362819672,1,1,1,1,true,true
9,0.166666672,released,-22.985868454,-14.717352867,+12.412424088,-0.367632747,-0.564107537,+0.079644203,-0.046425372,-0.103070408,+112.096794128,+112.096794128,+682.046386719,+0.141738385,-0.127033159,-21.625772476,-11.031087875,-1079.043701172,-486.221252441,+179.026916504,+30.407381058,+0.955569386,+0.347616941,+0.005337574,+0.011431992,-0.031096924,+0.044991463,+0.130620569,+0.051181756,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+229.493453979,-150.127685547,-1331.292968750,+1070.303588867,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+448.860961914,+25.471641541,-6.395170212,-8.936623573,+20.274415970,+27.483579636,+16.827428818,+28.114147186,+55.287590027,+59.639194489,+58.205085754,+62.502052307,1,1,1,1,true,true
10,0.183333337,released,-22.423118591,-14.764086723,+12.396409988,-0.398081899,-0.587303698,+0.086129665,-0.046001144,-0.055321187,+102.456703186,+108.204643250,+533.509033203,+0.072859809,-0.060156316,-20.999036789,-11.015602112,-1174.229370117,-470.701812744,+181.021667480,+35.185417175,+1.122523785,+0.385410726,+0.006201047,+0.010953707,-0.037695423,+0.042395297,+0.129880592,+0.050955955,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+182.968719482,-121.226020813,-1058.119873047,+867.139282227,+0.000015259,+0.000000000,+0.000000000,+0.000000000,+437.490173340,+69.853813171,-7.804305077,-8.434109688,+21.507469177,+27.375860214,+17.225866318,+28.115339279,+52.928596497,+59.800521851,+57.202110291,+62.670772552,1,1,1,1,true,true
11,0.200000018,released,-21.874732971,-14.726510048,+12.393922806,-0.412965596,-0.615056336,+0.089332104,-0.044693910,-0.056852736,+93.350906372,+93.350906372,+387.743377686,+0.184273154,-0.030646604,-20.185106277,-10.801510811,-1204.840454102,-396.550384521,+188.729766846,+37.882839203,+1.475050688,+0.417191386,+0.007815676,+0.011012674,-0.052788831,+0.041960336,+0.123069882,+0.051089395,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+144.767349243,-88.074172974,-837.143798828,+630.494873047,+0.000015259,+0.000000000,+0.000000000,+0.000000000,+394.136962891,+91.939010620,-10.677075386,-8.356856346,+22.300165176,+27.422304153,+17.421262741,+28.178371429,+51.635017395,+59.774398804,+56.403781891,+62.700004578,1,1,1,1,true,true
