# schema=jv-steering-release-trace/v2
# commit=380378ef52df980c62d2db87641dec2aa07e97ae tree=eddb5ac0e1ca1da57df5dd279a3e1cf0acbea2f9 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.490000 artificial_centering=false
step,time_s,phase,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_steering_axis_speed_rps,right_steering_axis_speed_rps,left_slip_angle_deg,right_slip_angle_deg,left_suspension_load_N,right_suspension_load_N,left_normal_impulse_N_s,right_normal_impulse_N_s,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_normal_moment_arm_m,right_normal_moment_arm_m,left_contact_trail_positive_behind_m,right_contact_trail_positive_behind_m,left_contact_scrub_positive_outboard_m,right_contact_scrub_positive_outboard_m,left_contact_centroid_moment_residual_N_m_s,right_contact_centroid_moment_residual_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,left_tie_rod_axis_torque_N_m,right_tie_rod_axis_torque_N_m,left_tie_rod_rack_axis_force_N,right_tie_rod_rack_axis_force_N,left_upper_ball_axis_torque_N_m,right_upper_ball_axis_torque_N_m,left_lower_ball_axis_torque_N_m,right_lower_ball_axis_torque_N_m,left_spin_joint_axis_torque_on_knuckle_N_m,right_spin_joint_axis_torque_on_knuckle_N_m,left_gravity_axis_torque_N_m,right_gravity_axis_torque_N_m,left_upper_ball_twist_margin_deg,right_upper_ball_twist_margin_deg,left_lower_ball_twist_margin_deg,right_lower_ball_twist_margin_deg,left_upper_ball_cone_margin_deg,right_upper_ball_cone_margin_deg,left_lower_ball_cone_margin_deg,right_lower_ball_cone_margin_deg,left_loaded_contact_points,right_loaded_contact_points,left_contact_manifolds,right_contact_manifolds,left_contact_geometry_valid,right_contact_geometry_valid
-1,0.000000000,pre_release,+17.615077972,+17.864801407,+12.516772270,-0.815843344,+0.627756238,+0.178240299,+0.042659894,+0.438194185,-316.823486328,+12000.000000000,+280.173156738,+0.357604027,+0.840936363,+14.942977905,+16.762624741,+190.223632812,-515.649658203,+7.042266846,+182.086990356,-0.158713013,+0.910673678,-0.022537205,+0.005001311,+0.094299518,+0.025645688,+0.054906815,+0.109068125,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-22.844625473,-115.661956787,+168.700317383,+667.906372070,+0.000000000,-0.000003815,+0.000000000,+0.000000000,+46.408020020,+258.482910156,+18.388082504,-5.087029457,+25.713577271,+24.677242279,+24.844745636,+23.039836884,+54.334732056,+62.262893677,+58.616168976,+64.683418274,1,1,1,1,true,true
0,0.016666668,released,+17.899694443,+19.443307877,+12.528469086,-0.648641467,+0.631625235,+0.141839981,+0.044219024,+0.517479599,-68.017318726,+68.017318726,+307.233245850,+0.026347890,+1.248619080,+14.978704453,+18.525279999,+152.455276489,-548.160095215,+8.171814919,+182.542999268,-0.153382286,-0.258763313,-0.018769672,-0.001417547,+0.077965125,-0.007259596,+0.053599477,+0.118011676,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-58.059101105,-48.507656097,+433.539276123,+280.799316406,+0.000000000,-0.000001907,+0.000000000,+0.000000000,-31.430019379,+325.333557129,+15.278537750,+1.466850281,+25.117221832,+23.697572708,+24.871232986,+20.858985901,+54.817157745,+59.749938965,+58.935157776,+62.380306244,1,1,1,1,true,true
1,0.033333335,released,+18.004446030,+20.724929810,+12.549480438,-0.492876828,+0.615371823,+0.107957363,+0.047000539,+0.536821663,-70.723327637,+70.723327637,+159.237548828,+0.055567790,+0.798206985,+15.057746887,+19.598588943,+72.306640625,-562.681213379,+10.556143761,+177.816299438,-0.183001369,-0.710130215,-0.017336005,-0.003993617,+0.071100250,-0.021259442,+0.053153835,+0.124872304,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-10.326611519,-89.090339661,+77.317062378,+514.998901367,+0.000000000,+0.000000477,+0.000000000,+0.000000000,-7.131267548,+386.366760254,+13.975125313,+4.249711514,+24.942873001,+22.861141205,+24.941427231,+19.361345291,+54.895801544,+57.703395844,+59.035453796,+60.638286591,1,1,1,1,true,true
2,0.050000004,released,+18.118759155,+21.781740189,+12.537681580,-0.403306127,+0.609526932,+0.088254452,+0.049124546,+0.520858467,-55.923755646,+55.923755646,+297.758697510,+0.074952602,+0.898104727,+15.101324081,+20.350730896,+5.866467953,-572.919006348,+24.484001160,+174.623260498,-0.409524173,-0.790671647,-0.016726194,-0.004527871,+0.067728892,-0.026226949,+0.053225126,+0.123089075,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+31.362342834,-136.021713257,-235.618988037,+787.202148438,+0.000000000,+0.000011444,+0.000000000,+0.000000000,+3.532159805,+470.756103516,+13.336234093,+5.192451954,+24.718297958,+21.939216614,+24.871988297,+18.120590210,+55.127666473,+56.884742737,+59.266578674,+60.025726318,1,1,1,1,true,true
3,0.066666670,released,+18.239261627,+22.937332153,+12.507392883,-0.268721253,+0.589211345,+0.058660984,+0.050831765,+0.545087397,-69.775871277,+69.775871277,+433.767761230,+0.138816118,+1.029270291,+14.981961250,+21.460767746,-60.202548981,-609.489135742,+24.303264618,+180.839660645,-0.384402871,-1.012506247,-0.015816923,-0.005598917,+0.063271642,-0.034134820,+0.053816468,+0.120019294,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+57.687324524,-173.093261719,-435.242431641,+1006.286621094,+0.000000000,+0.000000000,+0.000000000,+0.000000000,-39.977870941,+511.885467529,+12.479959488,+6.696675301,+24.390180588,+20.757516861,+24.739347458,+16.638982773,+55.657855988,+56.310348511,+59.651733398,+59.590782166,1,1,1,1,true,true
4,0.083333336,released,+18.395545959,+24.154090881,+12.475980759,-0.101668902,+0.567824185,+0.022138119,+0.052995250,+0.570209563,-83.376777649,+83.376777649,+608.163574219,+0.283589661,+1.031041145,+15.043719292,+22.733667374,-144.856292725,-664.239624023,+19.522300720,+187.551986694,-0.292661756,-1.205343246,-0.014991151,-0.006426715,+0.059537161,-0.039530568,+0.055247042,+0.120119691,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+94.829154968,-218.096038818,-716.545715332,+1274.372802734,+0.000000000,+0.000011444,+0.000000000,+0.000000000,-61.843143463,+546.526306152,+11.759817123,+7.743992805,+24.037782669,+19.442411423,+24.523677826,+15.160401344,+56.474330902,+55.865875244,+60.210376740,+59.268115997,1,1,1,1,true,true
5,0.100000009,released,+18.701911926,+25.370252609,+12.447828293,+0.063559793,+0.551246107,-0.013808727,+0.055245634,+0.553421617,-100.816360474,+100.816360474,+730.734619141,+0.449213058,+0.947899103,+15.299194336,+23.975145340,-238.909759521,-715.253601074,+21.656494141,+190.934753418,-0.306550950,-1.400144696,-0.014155151,-0.007333105,+0.056284953,-0.045082651,+0.055838853,+0.122301519,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+125.116012573,-253.069366455,-947.835815430,+1485.410888672,+0.000007629,-0.000003815,+0.000000000,+0.000000000,-57.479587555,+581.535034180,+11.127765656,+8.859594345,+23.568273544,+18.220403671,+24.163732529,+13.739104271,+57.387424469,+55.216865540,+60.841922760,+58.759841919,1,1,1,1,true,true
6,0.116666675,released,+19.181089401,+26.491992950,+12.423374176,+0.213368520,+0.544858217,-0.046264648,+0.057419438,+0.532688081,-113.073463440,+113.073463440,+788.733215332,+0.574357688,+0.790931642,+15.729337692,+25.076337814,-317.029235840,-754.006286621,+24.746862411,+192.912948608,-0.329718292,-1.607530594,-0.013323640,-0.008332932,+0.053148083,-0.051844567,+0.055105176,+0.124856144,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+144.326980591,-273.695526123,-1100.106811523,+1612.456298828,+0.000015259,+0.000000000,+0.000000000,+0.000000000,-41.716087341,+608.773925781,+10.513553619,+10.214740753,+22.974531174,+17.190437317,+23.679779053,+12.448561668,+58.134208679,+54.366622925,+61.373622894,+58.052124023,1,1,1,1,true,true
7,0.133333340,released,+19.804821014,+27.455131531,+12.399646759,+0.340933472,+0.545152903,-0.073783875,+0.059602223,+0.520325243,-118.873321533,+118.873321533,+805.900085449,+0.686312377,+0.648525894,+16.312423706,+25.959062576,-362.253875732,-784.661437988,+25.851961136,+194.771423340,-0.323846787,-1.767374277,-0.012526972,-0.009074095,+0.049847383,-0.057912800,+0.053962041,+0.126580134,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+155.026687622,-283.291961670,-1192.897705078,+1674.454833984,+0.000000000,-0.000007629,+0.000000000,+0.000000000,-18.372835159,+627.451354980,+9.866216660,+11.414607048,+22.284915924,+16.325536728,+23.116523743,+11.348464966,+58.624092102,+53.573680878,+61.732707977,+57.381385803,1,1,1,1,true,true
8,0.150000006,released,+20.552682877,+28.310092926,+12.372285843,+0.462709635,+0.550773263,-0.099918365,+0.061662525,+0.508858204,-120.590003967,+120.590011597,+789.931762695,+0.790511370,+0.582943201,+16.997238159,+26.654247284,-388.648223877,-839.565673828,+28.758464813,+197.492919922,-0.338997483,-1.888599634,-0.011787746,-0.009562872,+0.046473756,-0.062877692,+0.052631546,+0.128170907,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+156.972625732,-285.457061768,-1223.946411133,+1692.852539062,+0.000000000,+0.000007629,+0.000000000,+0.000000000,-5.836017609,+635.040039062,+9.207935333,+12.378946304,+21.492897034,+15.535181999,+22.474002838,+10.354535103,+58.847267151,+52.829292297,+61.912689209,+56.772487640,1,1,1,1,true,true
