phase,step,time_s,chassis_y,chassis_vy,chassis_accel,wheel_y,wheel_vy,compression,suspension_travel,normal_impulse,loaded_points,persisted_points,step_ms
static,0,0,1.3523674011230469,-8.164842597579991e-07,-2.7307866048431606e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666721343994141,2,2,0.006103515625
static,1,0.0166666667,1.3523674011230469,-1.2587011042342056e-06,-2.6533010668572388e-05,0.51347815990447998,-4.0639740461756446e-09,0.00062184009552002095,0.11111075878143306,64.666728973388672,2,2,0.006103515625
static,2,0.0333333333,1.3523674011230469,-1.6433994005637942e-06,-2.3081897779775318e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666744232177734,2,2,0.006103515625
static,3,0.05,1.3523674011230469,-2.0084778498130618e-06,-2.1904706954956055e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666744232177734,2,2,0.005859375
static,4,0.0666666667,1.3523674011230469,-2.3469328880310059e-06,-2.0307302293076646e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666759490966797,2,2,0.005859375
static,5,0.0833333333,1.3523674011230469,-2.6524066925048828e-06,-1.8328428268432617e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666767120361328,2,2,0.006103515625
static,6,0.1,1.3523674011230469,-2.9429793357849121e-06,-1.7434358596801758e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666770935058594,2,2,0.005859375
static,7,0.116666667,1.3523674011230469,-3.2149255275726318e-06,-1.6316771507263184e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666778564453125,2,2,0.005859375
static,8,0.133333333,1.3523674011230469,-3.4719705581665039e-06,-1.5422701835632324e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111075878143306,64.666786193847656,2,2,0.006103515625
static,9,0.15,1.3523672819137573,-3.7146608065086184e-06,-1.456141490052687e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111087799072261,64.666790008544922,2,2,0.005859375
static,10,0.166666667,1.3523671627044678,-3.769993782043457e-06,-3.3199785320903175e-06,0.51347815990447998,0,0.00062184009552002095,0.11111099720001216,64.666843414306641,2,2,0.005859375
static,11,0.183333333,1.3523670434951782,-3.6619603633880615e-06,6.4820051193237305e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666893005371094,2,2,0.006103515625
static,12,0.2,1.3523670434951782,-3.382563591003418e-06,1.6763806343078613e-05,0.51347815990447998,-7.4504775682271429e-09,0.00062184009552002095,0.11111111640930171,64.666942596435547,2,2,0.005859375
static,13,0.216666667,1.3523670434951782,-3.1180679798126221e-06,1.5869736671447754e-05,0.51347815990447998,0,0.00062184009552002095,0.11111111640930171,64.666938781738281,2,2,0.005859375
static,14,0.233333333,1.3523670434951782,-2.8684735298156738e-06,1.4975666999816895e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.66693115234375,2,2,0.005859375
static,15,0.25,1.3523670434951782,-2.6375055313110352e-06,1.385807991027832e-05,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.66693115234375,2,2,0.006103515625
static,16,0.266666667,1.3523670434951782,-2.4177134037017822e-06,1.3187527656555176e-05,0.51347815990447998,0,0.00062184009552002095,0.11111111640930171,64.666923522949219,2,2,0.020263671875
static,17,0.283333333,1.3523670434951782,-2.2314488887786865e-06,1.1175870895385742e-05,0.51347815990447998,-3.3866278670302563e-09,0.00062184009552002095,0.11111111640930171,64.666908264160156,2,2,0.00634765625
static,18,0.3,1.3523670434951782,-2.0600855350494385e-06,1.0281801223754883e-05,0.51347815990447998,-4.0639740461756446e-09,0.00062184009552002095,0.11111111640930171,64.666915893554688,2,2,0.006103515625
static,19,0.316666667,1.3523670434951782,-1.8998980522155762e-06,9.6112489700317383e-06,0.51347815990447998,0,0.00062184009552002095,0.11111111640930171,64.666912078857422,2,2,0.005859375
static,20,0.333333333,1.3523670434951782,-1.7434358596801758e-06,9.3877315521240234e-06,0.51347815990447998,-3.3866278670302563e-09,0.00062184009552002095,0.11111111640930171,64.666908264160156,2,2,0.005859375
static,21,0.35,1.3523670434951782,-1.5901525785011472e-06,9.1969968707417138e-06,0.51347815990447998,-1.1368683772161603e-13,0.00062184009552002095,0.11111111640930171,64.666904449462891,2,2,0.005859375
static,22,0.366666667,1.3523670434951782,-1.4491379261016846e-06,8.4608791439677589e-06,0.51347815990447998,-6.7723249230766669e-10,0.00062184009552002095,0.11111111640930171,64.666900634765625,2,2,0.006103515625
static,23,0.383333333,1.3523670434951782,-1.3107558061165037e-06,8.3029271991108544e-06,0.51347815990447998,-6.7734617914538831e-10,0.00062184009552002095,0.11111111640930171,64.666900634765625,2,2,0.005859375
static,24,0.4,1.3523670434951782,-1.1846423149108887e-06,7.5668094723368995e-06,0.51347815990447998,-4.0639740461756446e-09,0.00062184009552002095,0.11111111640930171,64.666896820068359,2,2,0.005859375
static,25,0.416666667,1.3523670434951782,-1.0793407909659436e-06,6.3180914366967045e-06,0.51347815990447998,-1.1368683772161603e-13,0.00062184009552002095,0.11111111640930171,64.666893005371094,2,2,0.006103515625
static,26,0.433333333,1.3523670434951782,-9.8675491244648583e-07,5.5551527111674659e-06,0.51347815990447998,-7.4507049419025861e-09,0.00062184009552002095,0.11111111640930171,64.666889190673828,2,2,0.005859375
static,27,0.45,1.3523670434951782,-8.9362259814151912e-07,5.5879388582980027e-06,0.51347815990447998,-7.4507049419025861e-09,0.00062184009552002095,0.11111111640930171,64.666889190673828,2,2,0.005859375
static,28,0.466666667,1.3523670434951782,-8.1166621157535701e-07,4.9173831939697266e-06,0.51347815990447998,-1.1368683772161603e-13,0.00062184009552002095,0.11111111640930171,64.666881561279297,2,2,0.005859375
static,29,0.483333333,1.3523670434951782,-7.3343511530765682e-07,4.6938657760620117e-06,0.51347815990447998,-1.1368683772161603e-13,0.00062184009552002095,0.11111111640930171,64.666885375976562,2,2,0.006103515625
static,30,0.5,1.3523670434951782,-6.5520401903995662e-07,4.6938657760620117e-06,0.51347815990447998,-1.1368683772161603e-13,0.00062184009552002095,0.11111111640930171,64.666885375976562,2,2,0.006103515625
static,31,0.516666667,1.3523670434951782,-6.0722231864929199e-07,2.8789020234398777e-06,0.51347815990447998,-7.4504775682271429e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.196044921875
static,32,0.533333333,1.3523670434951782,-5.6251883506774902e-07,2.6822090148925781e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666873931884766,2,2,0.006591796875
static,33,0.55,1.3523670434951782,-5.1781535148620605e-07,2.6822090148925781e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.005859375
static,34,0.566666667,1.3523670434951782,-4.7311186790466309e-07,2.6822090148925781e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.005859375
static,35,0.583333333,1.3523670434951782,-4.2840838432312012e-07,2.6822090148925781e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.006103515625
static,36,0.6,1.3523670434951782,-3.8370490074157715e-07,2.6822090148925781e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.006103515625
static,37,0.616666667,1.3523670434951782,-3.5390257835388184e-07,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666873931884766,2,2,0.005859375
static,38,0.633333333,1.3523670434951782,-3.2410025596618652e-07,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.005859375
static,39,0.65,1.3523670434951782,-2.9429793357849121e-07,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.005859375
static,40,0.666666667,1.3523670434951782,-2.644956111907959e-07,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.006103515625
static,41,0.683333333,1.3523670434951782,-2.3469327459224587e-07,1.7881401959130017e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.006103515625
static,42,0.7,1.3523670434951782,-2.0489096641540527e-07,1.7881384906104358e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.005859375
static,43,0.716666667,1.3523670434951782,-1.7508864402770996e-07,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.005859375
static,44,0.733333333,1.3523670434951782,-1.4528632164001465e-07,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666877746582031,2,2,0.006103515625
static,45,0.75,1.3523670434951782,-1.1920928955078125e-07,1.5646219253540039e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.666873931884766,2,2,0.006103515625
static,46,0.766666667,1.3523670434951782,-8.9406967163085938e-08,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.6668701171875,2,2,0.005859375
static,47,0.783333333,1.3523670434951782,-5.9604644775390625e-08,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.6668701171875,2,2,0.005859375
static,48,0.8,1.3523670434951782,-2.9802322387695312e-08,1.7881393432617188e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.6668701171875,2,2,0.006103515625
static,49,0.816666667,1.3523670434951782,5.9642832170306039e-22,1.7881393432617545e-06,0.51347815990447998,-7.4505912550648645e-09,0.00062184009552002095,0.11111111640930171,64.6668701171875,2,2,0.006103515625
